G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3,7.333333333333333,28,6,3.0,3.0,1,0,0,3,1,4,4,1,4,9,0,2.4545454545454546,0.9545454545454546,4.909090909090909,0.8181818181818183,0.8181818181818183,2.4545454545454546,3.0,0.2222222222222222,0.25,0.37037037037037035,0.6203703703703703,0.21739130434782608,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.3157894736842105,0.6842105263157895,0.46153846153846156,261.43333333333334,-2.31053454344628,0.1285,27,0,0,1,0,6,13,2,0,1.0,WC-S,S10,301,False,GRS,GRS,2.373274917853231,7.666666666666667,38,2.0,1.0,1.0,0.0,0.0,1,0,0,0,1.0,0.3433822214679157
7,32.333333333333336,134,33,18.0,18.0,12,0,0,32,8,18,13,17,17,10,0,3.34020618556701,1.3917525773195876,6.123711340206185,1.4845360824742266,2.22680412371134,5.9381443298969065,2.6666666666666665,0.2727272727272727,0.3358208955223881,0.5537190082644629,0.889539903786851,0.3048780487804878,0.05970149253731343,0.23880597014925373,0.08955223880597014,0.5714285714285714,0.42857142857142855,1.3333333333333333,267.56115107913666,-3.6550464213465643,-0.5131999999999999,121,1,0,4,3,36,27,3,2,0.6,TT-H,S10,310,False,KRK,KRK,3.3601540181343927,32.0,76,16.84288167641118,6.0,4.0,3.0,1.0,4,3,0,0,0.5714285714285714,0.9030780276532475
3,9.0,32,6,4.0,4.0,1,0,0,6,4,2,1,5,10,3,0,2.6666666666666665,0.7777777777777778,4.0,2.6666666666666665,0.6666666666666666,4.0,6.0,0.1935483870967742,0.21875,0.5806451612903226,0.7993951612903226,0.09523809523809523,0.125,0.1875,0.03125,0.35,0.65,0.5384615384615384,270.57575757575756,-2.336633663366337,0.48449999999999993,31,0,0,0,0,7,13,0,1,0.0,FP-S,S10,361,False,GOB,GOB,5.7874163319946454,8.333333333333334,77,4.407418745437533,1.0,2.0,0.0,0.0,2,0,0,0,1.0,0.3620391001918196
1,0.6666666666666666,2,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,253.0,-0.6231884057971014,0.017,2,0,0,0,0,0,1,1,0,1.0,NH-B,S10,367,False,KRK,KRK,-1.9903614457831327,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.07034232394565927
5,9.333333333333334,45,10,10.0,10.0,9,0,0,6,2,7,11,4,4,1,0,6.428571428571428,2.0357142857142856,6.428571428571429,1.2857142857142856,5.785714285714285,3.8571428571428568,0.6666666666666666,0.2857142857142857,0.4222222222222222,0.4857142857142857,0.9079365079365079,0.2857142857142857,0.044444444444444446,0.13333333333333333,0.2,0.7727272727272727,0.22727272727272727,3.4,232.28571428571428,2.5717058995838604,-0.20939999999999998,35,1,0,1,0,17,5,4,0,1.0,EG-H,S10,378,False,GRS,GRS,5.402495697074009,10.333333333333334,61,4.385749952240733,4.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.07664221422453085
4,8.333333333333334,37,7,5.0,5.0,5,0,1,6,1,4,2,4,10,3,0,3.5999999999999996,1.44,5.04,0.72,3.5999999999999996,4.32,1.2,0.22580645161290322,0.32432432432432434,0.45161290322580644,0.7759372275501308,0.24,0.02702702702702703,0.16216216216216217,0.13513513513513514,0.3157894736842105,0.6842105263157895,0.46153846153846156,244.94444444444446,-1.1843133040848999,0.1684000000000001,31,1,0,0,2,6,13,0,0,,TD-S,S10,413,False,SEO,SEO,2.9296385542168673,9.0,87,5.385749952240733,2.0,2.0,0.0,0.0,2,0,0,0,1.0,0.2668657726785487
7,25.666666666666668,108,27,13.0,13.0,7,0,0,11,3,12,7,11,10,35,0,3.038961038961039,1.3246753246753247,6.311688311688312,0.7012987012987013,1.6363636363636362,2.571428571428571,1.5714285714285714,0.26732673267326734,0.3148148148148148,0.504950495049505,0.8197653098643198,0.27586206896551724,0.027777777777777776,0.10185185185185185,0.06481481481481481,0.296875,0.703125,0.4222222222222222,268.6126126126126,-5.767514168234393,0.1917000000000002,101,0,0,9,3,19,45,1,2,0.3333333333333333,WC-H,S10,516,False,SSS,SSS,2.4901580347363477,25.0,95,16.45368663224376,6.0,2.0,1.0,1.0,4,2,0,0,0.6666666666666666,1.0100195185846919
1,3.3333333333333335,16,5,3.0,3.0,1,0,0,1,2,3,3,4,1,1,0,5.3999999999999995,1.7999999999999998,9.0,3.5999999999999996,1.7999999999999998,1.7999999999999998,1.0,0.3333333333333333,0.375,0.7333333333333333,1.1083333333333334,0.25,0.125,0.0625,0.0625,0.7777777777777778,0.2222222222222222,3.5,251.94736842105263,0.600266160710222,-0.2996,15,0,0,0,0,7,2,3,0,1.0,EG-S,S10,606,False,SSS,SSS,9.109638554216867,3.6666666666666665,79,2.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.004161250856570753
2,4.0,22,9,9.0,9.0,1,0,0,1,2,4,2,2,5,2,0,13.5,2.5,13.5,3.0,1.5,1.5,1.0,0.42857142857142855,0.45454545454545453,0.9523809523809523,1.406926406926407,0.3888888888888889,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.6363636363636364,0.5714285714285714,201.22727272727272,5.622505107653623,-0.38170000000000004,21,0,0,1,2,4,7,0,0,,BF-H,S10,703,False,ZAH,ZAH,7.759638554216867,3.6666666666666665,381,9.656317710131102,2.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.473992193739922
2,7.333333333333333,32,8,6.0,6.0,2,0,0,6,3,2,3,2,8,2,1,4.909090909090909,1.3636363636363638,6.545454545454547,2.4545454545454546,1.6363636363636367,4.909090909090909,3.0,0.26666666666666666,0.3125,0.7333333333333333,1.0458333333333334,0.23809523809523808,0.09375,0.1875,0.0625,0.3333333333333333,0.6666666666666666,0.5,250.15625,1.1723147924548551,-0.17240000000000003,30,0,0,1,2,5,10,0,0,,FP-S,S10,716,False,BEE,BEE,5.509638554216867,7.0,145,7.0,2.0,0.0,0.0,0.0,1,1,0,0,0.5,0.011144254609700388
