OBC,Outs,RunExpectancy
0,0,0.5765636232925953
0,1,0.3289099526066351
0,2,0.16943521594684385
1,0,0.8014981273408239
1,1,0.48299319727891155
1,2,0.4088235294117647
2,0,1.208955223880597
2,1,0.8532608695652174
2,2,0.39903846153846156
3,0,1.625
3,1,1.1587301587301588
3,2,0.16091954022988506
4,0,0.7833333333333333
4,1,0.8173076923076923
4,2,0.375
5,0,1.6666666666666667
5,1,1.5277777777777777
5,2,0.4264705882352941
6,0,2.0
6,1,1.048780487804878
6,2,0.5294117647058824
7,0,1.9285714285714286
7,1,1.372093023255814
7,2,0.6956521739130435
