G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
6,18,17,8,6.0,2,3,0,3,20,6.0,1,0,1,0,0,0,0,0,2,2,2,3,1,0,0.47058823529411764,0.5,1.1764705882352942,1.6764705882352942,0.7058823529411765,0.38461538461538464,,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.6,0.4,1.5,196.22222222222223,0.5,1.1764705882352942,3.481992640471705,-0.20890000000000006,6,4,1B,18,17,8,20,1,0,0,S-8,1717.0,False,MMM,MMM,8,0.4183735905130976
4,10,9,2,2.0,0,1,0,1,6,2.0,1,0,3,0,0,0,0,0,0,2,2,0,0,0,0.2222222222222222,0.3,0.6666666666666666,0.9666666666666666,0.4444444444444444,0.2,,0.1,0.3,0.1,1.0,0.0,,296.9,0.2,0.6,-0.6294780557065222,0.20780000000000004,4,0,BN,10,10,2,6,0,0,0,S-8,1724.0,False,LAC,LAC,6,-0.02396206864513716
2,4,4,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.25,0.25,0.25,0.5,0.0,0.25,,0.0,0.0,0.0,0.0,1.0,0.0,185.5,0.25,0.25,-0.8008487119145711,-0.035699999999999996,0,3,WC,4,4,1,1,0,0,0,S-8,1725.0,False,CDT,CDT,4,-0.06449057642125108
7,19,17,3,2.0,1,0,0,2,9,5.0,2,0,5,0,0,0,0,0,1,2,3,0,4,0,0.17647058823529413,0.2631578947368421,0.5294117647058824,0.7925696594427245,0.3529411764705882,0.1,,0.10526315789473684,0.2631578947368421,0.10526315789473684,0.6,0.4,1.5,293.8421052631579,0.21052631578947367,0.5,-1.9241594138243632,-0.3433,6,4,WC,19,18,3,9,1,0,0,S-8,1733.0,False,GND,GND,8,-0.11834304122395771
7,19,17,6,5.0,1,3,0,2,15,5.0,2,0,3,0,0,1,0,0,0,0,2,5,1,0,0.35294117647058826,0.42105263157894735,0.8823529411764706,1.303405572755418,0.5294117647058822,0.3333333333333333,0.0,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.25,0.75,0.3333333333333333,201.9,0.42105263157894735,0.8823529411764706,1.7105563155217527,0.2124999999999999,2,6,BP,19,17,6,15,2,0,0,S-8,1745.0,False,BIS,BIS,8,0.24512853171065388
7,24,22,7,6.0,2,3,2,0,14,1.0,2,0,6,0,2,0,0,0,0,2,1,3,3,0,0.3181818181818182,0.375,0.6363636363636364,1.0113636363636362,0.3181818181818182,0.4375,1.0,0.0,0.25,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.5,224.57692307692307,0.375,0.5454545454545454,-1.559941213452411,0.08990000000000002,3,6,BC,24,22,7,12,2,0,0,S-8,1773.0,False,CCD,CCD,8,-0.06242835272400497
7,20,20,8,2.0,5,2,1,0,12,0.0,0,0,3,0,1,1,0,0,2,2,0,3,4,0,0.4,0.4,0.6,1.0,0.19999999999999996,0.47058823529411764,0.5,0.0,0.15,0.0,0.36363636363636365,0.6363636363636364,0.5714285714285714,241.77272727272728,0.45,0.6111111111111112,-1.8101590240560672,-0.3437,4,7,S,20,18,7,11,2,0,0,S-8,1776.0,False,BIS,BIS,8,-0.1030444285545766
7,17,15,6,5.0,5,1,0,0,7,1.0,2,0,2,0,0,0,0,0,0,2,0,4,1,0,0.4,0.47058823529411764,0.4666666666666667,0.9372549019607843,0.06666666666666665,0.46153846153846156,,0.0,0.11764705882352941,0.11764705882352941,0.2857142857142857,0.7142857142857143,0.4,199.88235294117646,0.5882352941176471,0.5384615384615384,2.6364691152685844,0.06839999999999999,2,5,HK,17,13,6,7,4,0,0,S-8,1801.0,False,MKW,MKW,8,0.32992266430023404
5,10,8,2,1.0,1,0,0,1,5,3.0,1,0,1,0,0,0,0,1,0,2,0,2,2,0,0.25,0.3,0.625,0.925,0.375,0.14285714285714285,,0.1,0.1,0.1,0.2857142857142857,0.7142857142857143,0.4,229.6,0.3,0.6,0.027876048102553286,0.5482,2,5,HK,10,10,3,6,0,0,0,S-8,1830.0,False,NXS,NXS,8,0.04177334173577039
5,14,13,1,1.0,0,0,0,1,4,2.0,1,0,7,3,0,0,0,0,0,1,0,2,2,0,0.07692307692307693,0.14285714285714285,0.3076923076923077,0.45054945054945056,0.23076923076923078,0.0,,0.07142857142857142,0.5,0.07142857142857142,0.2,0.8,0.25,272.54545454545456,0.14285714285714285,0.3076923076923077,-1.8741704186849537,-0.12510000000000002,1,4,WC,14,13,1,4,1,0,0,S-8,1838.0,False,BIS,BIS,7,-0.13283701017277427
5,14,14,1,1.0,0,1,0,0,2,0.0,0,0,2,0,0,0,0,0,0,4,1,3,3,0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.08333333333333333,,0.0,0.14285714285714285,0.0,0.45454545454545453,0.5454545454545454,0.8333333333333334,317.7857142857143,0.07142857142857142,0.14285714285714285,-3.80591805110706,-0.2515,5,6,HK,14,14,1,2,0,0,0,S-8,1844.0,False,NXS,NXS,7,-0.3260117734149849
2,4,4,1,0.0,0,1,0,0,2,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,0.5,0.5,1.0,240.25,0.25,0.5,-0.4950205526375885,-0.0115,1,1,SF,4,4,1,2,0,0,0,S-8,2206.0,False,MMM,MMM,8,-0.033907760493552826
7,23,21,8,2.0,5,2,0,1,13,2.0,2,0,0,0,0,0,0,0,0,3,3,4,3,0,0.38095238095238093,0.43478260869565216,0.6190476190476191,1.0538302277432712,0.23809523809523814,0.35,,0.043478260869565216,0.0,0.08695652173913043,0.46153846153846156,0.5384615384615384,0.8571428571428571,232.6086956521739,0.43478260869565216,0.6190476190476191,1.6568858133254154,0.010299999999999988,6,7,1B,23,21,8,13,2,0,0,S-8,2207.0,False,BIS,BIS,8,0.2553557762612262
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,418.0,0.0,0.0,-0.5344827586206896,-0.054299999999999994,0,1,S,1,1,0,0,0,0,0,S-8,2224.0,False,BAG,BAG,4,-0.04954970216951746
2,4,3,2,0.0,0,2,0,0,4,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.75,1.3333333333333333,2.083333333333333,0.6666666666666666,0.6666666666666666,,0.0,0.0,0.25,1.0,0.0,,180.75,0.75,1.3333333333333333,1.338939954086154,0.1982,1,0,SF,4,3,2,4,1,0,0,S-8,2225.0,False,GND,GND,5,0.14948829017882143
6,14,12,2,2.0,1,1,0,0,3,0.0,2,0,5,0,0,0,0,0,1,2,1,1,1,0,0.16666666666666666,0.2857142857142857,0.25,0.5357142857142857,0.08333333333333334,0.2857142857142857,,0.0,0.35714285714285715,0.14285714285714285,0.6666666666666666,0.3333333333333333,2.0,300.07142857142856,0.2857142857142857,0.25,-3.051507019016778,-0.2566,4,2,TT,14,12,2,3,2,0,0,S-8,2229.0,False,2TM,BLO,8,-0.2505706702059567
3,7,5,1,1.0,0,1,0,0,2,0.0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0.2,0.42857142857142855,0.4,0.8285714285714285,0.2,0.5,,0.0,0.42857142857142855,0.2857142857142857,1.0,0.0,,282.7142857142857,0.42857142857142855,0.4,-0.9380242876061331,0.009099999999999987,1,0,TT,7,5,1,2,2,0,0,S-8,2229.0,True,PPM,PPM,5,-0.06651241291275276
3,7,7,1,1.0,1,0,0,0,1,0.0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2,,0.0,0.2857142857142857,0.0,0.6,0.4,1.5,317.42857142857144,0.14285714285714285,0.14285714285714285,-2.113482731410645,-0.2657,3,2,TT,7,7,1,1,0,0,0,S-8,2229.0,True,BLO,BLO,8,-0.18405825729320394
6,14,14,3,1.0,3,0,0,0,3,1.0,0,0,5,0,0,0,0,0,1,2,1,2,1,0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0,0.3333333333333333,,0.0,0.35714285714285715,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,275.64285714285717,0.21428571428571427,0.21428571428571427,-2.8964482310840434,-0.10169999999999997,4,3,BP,14,14,3,3,0,0,0,S-8,2230.0,False,CDT,CDT,8,-0.23506479141268324
2,5,4,0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0.0,0.2,0.0,0.2,0.0,0.0,,0.0,0.0,0.2,0.0,1.0,0.0,243.4,0.2,0.0,-0.15051827547428331,0.004399999999999994,0,4,SM,5,4,0,0,1,0,0,S-8,2236.0,False,GND,GND,2,0.004441040915329197
6,12,10,3,3.0,0,1,0,2,10,5.0,2,0,1,0,0,0,0,0,0,2,2,2,0,0,0.3,0.4166666666666667,1.0,1.4166666666666667,0.7,0.14285714285714285,,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,238.16666666666666,0.4166666666666667,1.0,2.818654599343707,0.49510000000000004,4,2,BC,12,11,4,11,1,0,0,S-8,2252.0,False,CDT,CDT,8,0.3286483442449888
5,14,14,4,2.0,2,1,0,1,8,2.0,0,0,3,1,0,0,0,0,0,2,2,0,3,0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.3,,0.07142857142857142,0.21428571428571427,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,282.84615384615387,0.2857142857142857,0.5714285714285714,-1.1395833245498557,0.06860000000000002,4,3,BC,14,14,4,8,0,0,0,S-8,2253.0,False,BIS,BIS,7,-0.05937830075926448
5,15,12,4,3.0,1,1,0,2,11,4.0,3,0,2,0,0,0,0,0,0,0,2,3,1,0,0.3333333333333333,0.4666666666666667,0.9166666666666666,1.3833333333333333,0.5833333333333333,0.25,,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.5,221.6,0.4666666666666667,0.9166666666666666,2.35753656687814,0.12439999999999998,2,4,WC,15,12,4,11,3,0,0,S-8,2256.0,False,BAG,BAG,7,0.29423226207608655
4,10,10,2,2.0,1,0,0,1,5,3.0,0,0,4,0,0,0,0,0,2,0,2,2,0,0,0.2,0.2,0.5,0.7,0.3,0.2,,0.1,0.4,0.0,0.6666666666666666,0.3333333333333333,2.0,254.3,0.3,0.5555555555555556,-2.885687489618296,0.08709999999999996,4,2,HK,10,9,2,5,1,0,0,S-8,2258.0,False,BAG,BAG,6,-0.24958301203631456
7,20,17,3,2.0,1,1,0,1,7,3.0,3,0,6,0,0,0,0,0,0,3,0,3,2,0,0.17647058823529413,0.3,0.4117647058823529,0.7117647058823529,0.2352941176470588,0.2,,0.05,0.3,0.15,0.375,0.625,0.6,241.85,0.3,0.4117647058823529,0.16633029633451277,-0.08879999999999996,3,5,BP,20,17,3,7,3,0,0,S-8,2260.0,False,GND,GND,8,0.09460450348448139
6,18,18,9,3.0,5,4,0,0,13,2.0,0,0,0,0,1,0,0,0,0,2,3,2,2,0,0.5,0.5,0.7222222222222222,1.2222222222222223,0.2222222222222222,0.5,1.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,1.25,232.31578947368422,0.5,0.6875,2.6231533344030598,0.44220000000000004,5,4,BC,18,16,7,11,2,0,0,S-8,2275.0,False,GND,GND,7,0.3324896599062331
5,14,12,3,3.0,2,0,0,1,6,3.0,2,0,4,0,0,0,0,0,0,1,1,1,2,0,0.25,0.35714285714285715,0.5,0.8571428571428572,0.25,0.2857142857142857,,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.4,0.6,0.6666666666666666,255.71428571428572,0.35714285714285715,0.5,0.5914192128647222,0.10690000000000005,2,3,TT,14,12,3,6,2,0,0,S-8,2276.0,False,BIS,BIS,7,0.1137219529821933
6,14,10,2,3.0,1,1,0,0,3,0.0,4,0,4,0,0,0,0,0,0,1,2,0,1,0,0.2,0.42857142857142855,0.3,0.7285714285714285,0.09999999999999998,0.3333333333333333,,0.0,0.2857142857142857,0.2857142857142857,0.75,0.25,3.0,251.42857142857142,0.42857142857142855,0.4166666666666667,-1.434306357827107,-0.08349999999999998,3,1,1B,14,12,4,5,2,0,0,S-8,2329.0,False,NXS,NXS,8,-0.08885060408698961
5,12,12,2,1.0,0,2,0,0,4,1.0,0,0,3,0,0,0,0,0,1,3,1,0,3,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.2222222222222222,,0.0,0.25,0.0,0.625,0.375,1.6666666666666667,303.1666666666667,0.16666666666666666,0.3333333333333333,-1.9134060545021951,-0.21330000000000002,5,3,HK,12,12,2,4,0,0,0,S-8,2332.0,False,BLO,BLO,8,-0.14455772113960144
4,10,9,4,1.0,2,1,0,1,8,1.0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0.4444444444444444,0.5,0.8888888888888888,1.3888888888888888,0.4444444444444444,0.375,,0.1,0.0,0.1,0.6,0.4,1.5,222.8,0.5,0.7777777777777778,0.14640030561201967,0.2458,3,2,BC,10,9,4,7,1,0,0,S-8,2354.0,False,GND,GND,8,0.053625767486717026
5,11,9,0,0.0,0,0,0,0,0,1.0,2,0,4,0,0,0,0,0,0,0,3,2,0,0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,,0.0,0.36363636363636365,0.18181818181818182,0.6,0.4,1.5,278.45454545454544,0.18181818181818182,0.0,0.11548295430568564,-0.04209999999999999,3,2,EN,11,9,0,0,2,0,0,S-8,2377.0,False,MMM,MMM,8,0.05443260604863513
5,15,14,5,3.0,3,0,0,2,11,4.0,1,0,0,0,0,0,0,0,1,5,3,0,1,0,0.35714285714285715,0.4,0.7857142857142857,1.1857142857142857,0.42857142857142855,0.25,,0.13333333333333333,0.0,0.06666666666666667,0.9,0.1,9.0,242.06666666666666,0.4,0.7857142857142857,0.765410802729301,0.28280000000000005,9,1,MH,15,14,5,11,1,0,0,S-8,2389.0,False,MMM,MMM,8,0.13501968566120268
5,11,10,1,1.0,0,0,0,1,4,2.0,0,0,4,0,0,0,0,1,0,0,1,5,0,0,0.1,0.09090909090909091,0.4,0.49090909090909096,0.30000000000000004,0.0,,0.09090909090909091,0.36363636363636365,0.0,0.14285714285714285,0.8571428571428571,0.16666666666666666,261.8181818181818,0.09090909090909091,0.2727272727272727,-2.1214666606108334,-0.1773,1,6,BP,11,11,1,3,0,0,0,S-8,2467.0,False,MKW,MKW,8,-0.16926235544301677
5,15,13,2,2.0,1,1,0,0,3,0.0,2,0,2,0,0,2,0,0,0,3,0,5,1,0,0.15384615384615385,0.26666666666666666,0.23076923076923078,0.49743589743589745,0.07692307692307693,0.18181818181818182,0.0,0.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.5,257.6470588235294,0.26666666666666666,0.23076923076923078,-4.086879322314912,-0.2191,3,6,WC,15,13,2,3,2,0,0,S-8,2474.0,False,PPM,PPM,8,-0.3502093268432186
3,9,9,4,2.0,2,2,0,0,6,2.0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0.4444444444444444,0.4444444444444444,0.6666666666666666,1.1111111111111112,0.2222222222222222,0.5714285714285714,,0.0,0.2222222222222222,0.0,1.0,0.0,,256.55555555555554,0.4444444444444444,0.6666666666666666,-0.28529900975479816,0.1181,5,0,TT,9,9,4,6,0,0,0,S-8,2476.0,False,GND,GND,6,0.006557262257483737
5,13,12,5,5.0,4,0,0,1,8,3.0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0.4166666666666667,0.46153846153846156,0.6666666666666666,1.1282051282051282,0.24999999999999994,0.5,,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.25,0.75,0.3333333333333333,197.46153846153845,0.38461538461538464,0.6153846153846154,2.387558649966682,0.2409,1,3,BC,13,13,5,8,0,0,0,S-8,2487.0,False,BAG,BAG,8,0.2894373229998378
4,8,8,1,1.0,0,0,0,1,4,1.0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0.125,0.125,0.5,0.625,0.375,0.0,,0.125,0.625,0.0,0.5,0.5,1.0,267.75,0.125,0.5,-1.5949172396725781,-0.15590000000000004,1,1,TT,8,8,1,4,0,0,0,S-8,2496.0,False,GND,GND,8,-0.12830313442684577
4,10,10,3,2.0,2,0,0,1,6,1.0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0.3,0.3,0.6,0.8999999999999999,0.3,0.2857142857142857,,0.1,0.2,0.0,1.0,0.0,,277.5,0.3,0.6,-1.4261382610754585,-0.05540000000000002,6,0,XB,10,10,3,6,0,0,0,S-8,2499.0,False,MKW,MKW,8,-0.10362808918203079
4,11,10,2,0.0,1,0,1,0,4,1.0,1,0,0,0,0,1,0,0,0,0,2,4,2,0,0.2,0.2727272727272727,0.4,0.6727272727272727,0.2,0.2,0.0,0.0,0.0,0.09090909090909091,0.25,0.75,0.3333333333333333,284.0833333333333,0.2727272727272727,0.4,-1.286153424170857,-0.1363,2,6,S,11,10,2,4,1,0,0,S-8,2501.0,False,MKW,MKW,8,-0.08573103179901913
7,18,15,5,3.0,1,3,0,1,11,3.0,3,0,4,0,0,0,0,0,0,2,2,0,2,0,0.3333333333333333,0.4444444444444444,0.7333333333333333,1.1777777777777776,0.39999999999999997,0.4,,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,218.33333333333334,0.4444444444444444,0.8125,3.5495482547438666,0.6683,4,2,XB,18,16,6,13,2,0,0,S-8,2504.0,False,PPM,PPM,8,0.42512915194031375
6,15,15,5,4.0,1,1,0,3,15,7.0,0,0,0,0,0,0,0,0,1,2,4,3,1,0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666667,0.16666666666666666,,0.2,0.0,0.0,0.6363636363636364,0.36363636363636365,1.75,250.86666666666667,0.3333333333333333,1.0,2.138757649598001,-0.060299999999999986,7,4,BC,15,15,5,15,0,0,0,S-8,2505.0,False,CDT,CDT,8,0.27235437034807275
2,4,2,0,0.0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,,354.4,0.25,0.0,-0.9596390584253073,-0.0838,3,0,WC,4,3,0,0,1,0,0,S-8,2507.0,False,LAC,LAC,7,-0.0803696110723247
3,7,6,3,2.0,2,1,0,0,4,3.0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0.5,0.5714285714285714,0.6666666666666666,1.2380952380952381,0.16666666666666663,0.5,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,,267.875,0.5714285714285714,0.6666666666666666,1.0360367802409276,0.48319999999999996,4,0,BC,7,6,3,4,1,0,0,S-8,2508.0,False,MKW,MKW,8,0.13089369387195332
