G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,is_sub_row,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
7.0,21.333333333333332,93.0,29.0,18.0,4.0,0.0,0.0,7.0,4.0,11.0,24.0,9.0,14.0,6.0,0.0,5.0625,1.546875,8.15625,1.125,1.125,1.96875,1.75,0.3333333333333333,0.3548387096774194,0.6551724137931034,1.0100111234705227,0.32051282051282054,0.043010752688172046,0.07526881720430108,0.043010752688172046,0.6491228070175439,0.3508771929824561,1.85,236.2688172043011,2.623932095923398,-0.4788000000000001,87.0,2.0,0.0,12.0,2.0,37.0,20.0,S9,1,TBR,False,3.71951527665473,22.333333333333332,64,4.0,2.0,1.0,0.0,1,5,0,2,0.16666666666666666,0.08143721509494957
8.0,13.333333333333334,55.0,14.0,7.0,4.0,0.0,0.0,7.0,5.0,6.0,8.0,7.0,8.0,5.0,1.0,3.15,1.3499999999999999,6.300000000000001,2.25,1.7999999999999998,3.1500000000000004,1.75,0.27450980392156865,0.32727272727272727,0.6274509803921569,0.9547237076648841,0.23076923076923078,0.09090909090909091,0.12727272727272726,0.07272727272727272,0.5666666666666667,0.43333333333333335,1.3076923076923077,248.30357142857142,-2.3216756457633636,-0.0591,51.0,0.0,0.0,3.0,0.0,17.0,13.0,S9,3,KCR,False,6.10076527665473,13.333333333333334,72,0.0,7.0,0.0,0.0,0,0,2,1,0.0,0.4355081383161311
9.0,18.333333333333332,82.0,22.0,15.0,8.0,0.0,0.0,7.0,5.0,10.0,5.0,10.0,14.0,16.0,0.0,4.909090909090909,1.6363636363636365,7.200000000000001,1.6363636363636367,2.618181818181818,2.290909090909091,0.875,0.3013698630136986,0.36585365853658536,0.6301369863013698,0.9959906448379552,0.27419354838709675,0.06097560975609756,0.08536585365853659,0.0975609756097561,0.3617021276595745,0.6382978723404256,0.5666666666666667,239.16470588235293,4.130851361705588,-0.5439,73.0,1.0,0.0,5.0,2.0,17.0,30.0,S9,5,TEX,False,5.4666743675638205,20.0,75,3.0,4.0,0.0,0.0,1,0,0,1,1.0,-0.1099228262312284
7.0,30.333333333333332,129.0,28.0,17.0,14.0,0.0,0.0,32.0,4.0,15.0,11.0,13.0,27.0,4.0,0.0,3.3626373626373627,1.3846153846153846,5.538461538461538,0.7912087912087913,2.769230769230769,6.32967032967033,2.2857142857142856,0.2545454545454545,0.32558139534883723,0.4727272727272727,0.79830866807611,0.3037974683544304,0.031007751937984496,0.24806201550387597,0.10852713178294573,0.46551724137931033,0.5344827586206896,0.8709677419354839,255.41538461538462,-4.460186970419797,-0.48539999999999994,110.0,5.0,0.0,6.0,3.0,27.0,31.0,S9,37,MIA,False,2.364776265665719,30.666666666666668,111,5.0,5.0,3.0,1.0,2,4,0,0,0.3333333333333333,0.9229447699953166
7.0,21.333333333333332,98.0,28.0,19.0,8.0,0.0,0.0,20.0,3.0,16.0,9.0,6.0,20.0,7.0,0.0,5.34375,1.6875,7.875,0.84375,2.25,5.625,2.5,0.3218390804597701,0.3673469387755102,0.5632183908045977,0.930565329580108,0.373134328358209,0.030612244897959183,0.20408163265306123,0.08163265306122448,0.38636363636363635,0.6136363636363636,0.6296296296296297,231.5252525252525,2.259844167897823,-1.1678,87.0,3.0,0.0,6.0,3.0,17.0,27.0,S9,39,MIA,False,2.45389027665473,22.0,83,5.0,3.0,2.0,1.0,1,4,0,0,0.2,0.1363315146011248
3.0,4.333333333333333,17.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,5.0,0.0,4.153846153846154,1.153846153846154,2.769230769230769,0.0,4.153846153846154,2.769230769230769,0.6666666666666666,0.14285714285714285,0.29411764705882354,0.14285714285714285,0.4369747899159664,0.16666666666666666,0.0,0.11764705882352941,0.17647058823529413,0.36363636363636365,0.6363636363636364,0.5714285714285714,265.11764705882354,0.9966477736640798,-0.030099999999999988,14.0,0.0,0.0,0.0,0.0,4.0,7.0,S9,45,ATL,False,2.529611430500884,5.666666666666667,540,0.0,2.0,0.0,0.0,0,1,0,0,0.0,-0.03681405457410777
9.0,25.333333333333332,114.0,37.0,17.0,7.0,1.0,0.0,11.0,5.0,25.0,8.0,9.0,13.0,29.0,0.0,4.026315789473684,1.736842105263158,8.763157894736842,1.1842105263157894,1.6578947368421053,2.605263157894737,1.5714285714285714,0.34579439252336447,0.38596491228070173,0.5700934579439252,0.9560583702246269,0.3516483516483517,0.043859649122807015,0.09649122807017543,0.06140350877192982,0.3114754098360656,0.6885245901639344,0.4523809523809524,240.88135593220338,1.9534499348578478,-0.7327999999999999,107.0,0.0,0.0,5.0,2.0,19.0,42.0,S9,63,CHC,False,3.9020810661284147,25.333333333333332,64,5.0,3.0,0.0,0.0,2,3,0,1,0.4,0.2261245593566989
1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,321.0,-0.21446765155374428,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,S9,73,COL,False,-4.624234723345269,1.0,0,,,,,0,0,0,0,0.0,0.025143866496097973
4.0,23.0,93.0,19.0,8.0,8.0,0.0,0.0,19.0,3.0,9.0,8.0,11.0,23.0,5.0,0.0,2.0869565217391304,1.173913043478261,4.956521739130435,0.7826086956521738,2.0869565217391304,4.956521739130435,2.375,0.2261904761904762,0.2903225806451613,0.4523809523809524,0.7427035330261137,0.25396825396825395,0.03225806451612903,0.20430107526881722,0.08602150537634409,0.42857142857142855,0.5714285714285714,0.75,257.531914893617,-7.867314184824102,0.5595,84.0,1.0,0.0,4.0,3.0,21.0,28.0,S9,74,CIN,False,2.4627217983938605,23.0,222,4.0,3.0,3.0,0.0,3,1,0,0,0.75,1.1305618431696995
9.0,37.0,158.0,45.0,16.0,7.0,0.0,0.0,27.0,5.0,32.0,24.0,17.0,23.0,15.0,0.0,2.5945945945945947,1.4054054054054055,7.297297297297297,0.8108108108108109,1.135135135135135,4.378378378378378,3.857142857142857,0.2980132450331126,0.3291139240506329,0.47019867549668876,0.7993125995473216,0.33613445378151263,0.03164556962025317,0.17088607594936708,0.04430379746835443,0.5476190476190477,0.4523809523809524,1.2105263157894737,254.0125,-11.313869126246848,0.10719999999999982,151.0,0.0,0.0,5.0,3.0,46.0,38.0,S9,76,COL,False,2.240630141519595,37.0,118,6.0,6.0,3.0,1.0,4,1,1,0,0.8,1.7155289244590044
