G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4.0,22.333333333333332,92.0,16.0,13.0,16.0,0.0,0.0,11.0,5.0,6.0,13.0,13.0,19.0,4.0,0.0,3.492537313432836,1.4328358208955225,4.298507462686567,1.3432835820895523,4.298507462686567,2.955223880597015,0.6875,0.21333333333333335,0.34782608695652173,0.48,0.8278260869565217,0.18333333333333332,0.05434782608695652,0.11956521739130435,0.17391304347826086,0.5892857142857143,0.4107142857142857,1.434782608695652,249.38297872340425,-2.4337679399782095,0.265,75.0,1.0,0.0,5.0,0.0,33.0,23.0,2.0,0.0,1.0,S10,207,MIL,False,MIL,5.31425342168824,22.666666666666668,117.0,8.214141414141414,4.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.5,0.6075695921372066
5.0,15.0,69.0,19.0,14.0,8.0,0.0,0.0,16.0,6.0,8.0,4.0,7.0,8.0,7.0,0.0,5.6,1.8,7.6,2.4000000000000004,3.2,6.4,2.0,0.3220338983050847,0.391304347826087,0.711864406779661,1.103168754605748,0.3333333333333333,0.08695652173913043,0.2318840579710145,0.11594202898550725,0.4827586206896552,0.5172413793103449,0.9333333333333333,239.8,4.462453764600065,-0.6042000000000001,59.0,2.0,0.0,5.0,0.0,14.0,15.0,2.0,0.0,1.0,S10,212,CLE,False,CLE,5.9062932226832645,16.0,74.0,9.187618927867891,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.17310077785546724
5.0,19.666666666666668,80.0,20.0,9.0,6.0,2.0,0.0,9.0,6.0,8.0,11.0,23.0,8.0,3.0,0.0,2.7457627118644066,1.3220338983050848,6.101694915254237,1.830508474576271,1.830508474576271,2.7457627118644066,1.5,0.2702702702702703,0.325,0.5945945945945946,0.9195945945945947,0.23728813559322035,0.075,0.1125,0.075,0.78,0.22,3.5454545454545454,267.0126582278481,-8.41813334160115,-0.5419999999999996,74.0,0.0,0.0,6.0,0.0,39.0,11.0,1.0,0.0,1.0,S10,219,CHC,False,CHC,5.205728250931852,20.666666666666668,68.0,12.880915193061723,2.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,1.1585027238465373
9.0,12.666666666666666,59.0,17.0,9.0,7.0,0.0,0.0,13.0,2.0,9.0,8.0,2.0,8.0,4.0,0.0,4.2631578947368425,1.8947368421052633,8.052631578947368,0.9473684210526316,3.3157894736842106,6.157894736842106,1.8571428571428572,0.3333333333333333,0.4067796610169492,0.5882352941176471,0.9950149551345963,0.40540540540540543,0.03389830508474576,0.22033898305084745,0.11864406779661017,0.52,0.48,1.0833333333333333,235.71186440677965,0.22709798065376985,-0.28469999999999995,51.0,1.0,0.0,5.0,1.0,13.0,12.0,0.0,0.0,0.0,S10,220,PHI,False,PHI,2.897521292858703,14.0,83.0,7.169871794871795,1.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.2108486268283595
6.0,17.666666666666668,83.0,27.0,15.0,6.0,0.0,0.0,6.0,3.0,20.0,8.0,9.0,14.0,13.0,0.0,5.094339622641509,1.8679245283018866,9.169811320754716,1.0188679245283019,2.0377358490566038,2.0377358490566038,1.0,0.35526315789473684,0.39759036144578314,0.5263157894736842,0.9239061509194673,0.35294117647058826,0.03614457831325301,0.07228915662650602,0.07228915662650602,0.41304347826086957,0.5869565217391305,0.7037037037037037,234.5581395348837,4.50238287334401,-0.6687,76.0,1.0,0.0,4.0,0.0,19.0,27.0,2.0,1.0,0.6666666666666666,S10,233,CLE,False,CLE,3.786796367337352,18.0,73.0,10.526927145677147,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,-0.12167304553473786
6.0,24.666666666666668,107.0,30.0,16.0,10.0,1.0,1.0,10.0,3.0,13.0,15.0,12.0,22.0,8.0,0.0,3.8918918918918917,1.6216216216216215,7.297297297297297,0.7297297297297297,2.4324324324324325,2.4324324324324325,1.0,0.3125,0.37383177570093457,0.5729166666666666,0.9467484423676011,0.32142857142857145,0.028037383177570093,0.09345794392523364,0.09345794392523364,0.4915254237288136,0.5084745762711864,0.9666666666666667,247.52212389380531,2.7564334721653676,-0.6842999999999999,96.0,1.0,0.0,12.0,2.0,29.0,30.0,3.0,5.0,0.375,S10,249,CWS,False,CWS,3.226113042503084,24.666666666666668,98.0,10.712940153600927,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.5,0.14792871148905312
5.0,4.333333333333333,14.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.46153846153846156,1.3846153846153846,0.0,1.3846153846153846,4.153846153846154,3.0,0.07692307692307693,0.14285714285714285,0.07692307692307693,0.21978021978021978,0.1,0.0,0.21428571428571427,0.07142857142857142,0.6666666666666666,0.3333333333333333,2.0,319.1333333333333,-3.8212043239360476,0.2415,13.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,S10,258,BOS,False,BOS,0.5473188637089051,5.0,213.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4375410755887287
6.0,26.0,110.0,19.0,16.0,14.0,0.0,0.0,37.0,7.0,8.0,5.0,14.0,18.0,3.0,0.0,3.6923076923076925,1.2692307692307692,4.384615384615384,1.6153846153846154,3.230769230769231,8.538461538461538,2.642857142857143,0.19791666666666666,0.3,0.46875,0.76875,0.23076923076923078,0.06363636363636363,0.33636363636363636,0.12727272727272726,0.475,0.525,0.9047619047619048,252.09734513274336,-1.5663614903018486,-0.06609999999999992,96.0,0.0,0.0,3.0,1.0,19.0,21.0,2.0,1.0,0.6666666666666666,S10,270,CIN,False,CIN,3.5088573252473667,27.0,230.0,5.0,5.0,5.0,4.0,0.0,2.0,3.0,0.0,0.0,0.4,0.5920840598490156
8.0,17.0,89.0,25.0,25.0,14.0,0.0,0.0,14.0,6.0,12.0,7.0,8.0,13.0,8.0,0.0,8.823529411764707,2.2941176470588234,8.823529411764707,2.1176470588235294,4.9411764705882355,4.9411764705882355,1.0,0.33783783783783783,0.43820224719101125,0.7027027027027027,1.140904949893714,0.34545454545454546,0.06741573033707865,0.15730337078651685,0.15730337078651685,0.43243243243243246,0.5675675675675675,0.7619047619047619,222.2111111111111,13.49816127822687,-1.7211999999999998,74.0,1.0,0.0,5.0,2.0,16.0,21.0,1.0,0.0,1.0,S10,271,LAD,False,LAD,6.651391261898951,20.0,60.0,14.18761892786789,5.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,-0.9974991817965421
9.0,33.666666666666664,144.0,40.0,28.0,11.0,0.0,1.0,19.0,6.0,15.0,18.0,21.0,27.0,7.0,0.0,4.99009900990099,1.5148514851485149,7.12871287128713,1.0693069306930694,1.9603960396039604,3.3861386138613865,1.7272727272727273,0.31007751937984496,0.3541666666666667,0.6511627906976745,1.0053294573643412,0.3148148148148148,0.041666666666666664,0.13194444444444445,0.0763888888888889,0.5641025641025641,0.4358974358974359,1.2941176470588236,247.6887417218543,7.383145794279824,-0.07859999999999978,129.0,4.0,0.0,12.0,7.0,44.0,34.0,5.0,3.0,0.625,S10,275,SDP,False,SDP,3.407943387699766,33.666666666666664,74.0,19.35351529363873,7.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.3333333333333333,-0.16827367799242215
7.0,26.0,101.0,18.0,13.0,8.0,0.0,0.0,31.0,6.0,9.0,13.0,8.0,14.0,9.0,0.0,3.0,1.0,4.153846153846153,1.3846153846153846,1.8461538461538463,7.153846153846153,3.875,0.1978021978021978,0.25742574257425743,0.43956043956043955,0.696986182134697,0.21428571428571427,0.0594059405940594,0.3069306930693069,0.07920792079207921,0.5106382978723404,0.48936170212765956,1.0434782608695652,275.3137254901961,-4.630055399022977,0.3752000000000001,91.0,2.0,0.0,2.0,1.0,24.0,23.0,1.0,0.0,1.0,S10,296,NYM,False,NYM,2.778088094478136,27.0,164.0,7.0,5.0,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.75,0.8628258943814059
5.0,10.333333333333334,50.0,16.0,9.0,4.0,0.0,0.0,8.0,4.0,7.0,8.0,2.0,9.0,3.0,0.0,5.225806451612903,1.9354838709677418,9.29032258064516,2.32258064516129,2.32258064516129,4.64516129032258,2.0,0.34782608695652173,0.4,0.7391304347826086,1.1391304347826088,0.35294117647058826,0.08,0.16,0.08,0.45454545454545453,0.5454545454545454,0.8333333333333334,229.98076923076923,2.235340264972675,-0.8019,46.0,0.0,0.0,4.0,1.0,10.0,12.0,1.0,1.0,0.5,S10,305,PIT,False,PIT,5.884787846339178,12.0,57.0,9.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.02560315794325352
6.0,29.333333333333332,130.0,30.0,22.0,15.0,0.0,0.0,38.0,11.0,11.0,9.0,7.0,24.0,7.0,0.0,4.5,1.5340909090909092,6.136363636363637,2.25,3.0681818181818183,7.7727272727272725,2.533333333333333,0.2631578947368421,0.34615384615384615,0.631578947368421,0.9777327935222672,0.2878787878787879,0.08461538461538462,0.2923076923076923,0.11538461538461539,0.3673469387755102,0.6326530612244898,0.5806451612903226,234.25757575757575,3.565042581504774,-0.8992999999999998,114.0,1.0,0.0,7.0,1.0,18.0,31.0,1.0,1.0,0.5,S10,310,CIN,False,CIN,5.057808374198416,31.0,65.0,20.20925143859129,4.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.25,0.15811600008995894
3.0,9.333333333333334,44.0,16.0,8.0,2.0,0.0,0.0,10.0,1.0,8.0,4.0,2.0,4.0,6.0,0.0,5.142857142857142,1.9285714285714284,10.285714285714285,0.6428571428571428,1.2857142857142856,6.428571428571429,5.0,0.3902439024390244,0.4090909090909091,0.6585365853658537,1.0676274944567627,0.4838709677419355,0.022727272727272728,0.22727272727272727,0.045454545454545456,0.4117647058823529,0.5882352941176471,0.7,236.55555555555554,1.0790211016607583,-0.09019999999999997,41.0,1.0,0.0,6.0,1.0,7.0,10.0,0.0,1.0,0.0,S10,331,SDP,False,SDP,1.1324836988737403,9.666666666666666,53.0,7.706467661691542,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627705416145646
7.0,21.666666666666668,100.0,32.0,21.0,6.0,0.0,0.0,23.0,7.0,14.0,8.0,8.0,16.0,7.0,0.0,5.815384615384615,1.7538461538461538,8.86153846153846,1.9384615384615382,1.6615384615384614,6.36923076923077,3.8333333333333335,0.34408602150537637,0.38,0.6989247311827957,1.0789247311827959,0.390625,0.07,0.23,0.06,0.43902439024390244,0.5609756097560976,0.782608695652174,228.97142857142856,6.137440454123892,-0.9673,93.0,1.0,0.0,10.0,1.0,18.0,23.0,5.0,1.0,0.8333333333333334,S10,337,TOR,False,TOR,4.147318863708906,22.0,61.0,15.265734580156773,5.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.25,-0.21788230830436128
8.0,30.0,132.0,37.0,26.0,10.0,0.0,0.0,18.0,10.0,17.0,15.0,15.0,29.0,8.0,0.0,5.2,1.5666666666666667,7.4,2.0,2.0,3.5999999999999996,1.8,0.30578512396694213,0.3560606060606061,0.6528925619834711,1.0089531680440773,0.2872340425531915,0.07575757575757576,0.13636363636363635,0.07575757575757576,0.4714285714285714,0.5285714285714286,0.8918918918918919,239.79856115107913,6.538333927590444,-0.6492000000000001,121.0,1.0,0.0,8.0,2.0,33.0,37.0,5.0,2.0,0.7142857142857143,S10,361,PIT,False,PIT,5.372959889349931,30.0,58.0,21.94929913283961,5.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.5,-0.13129589977644757
