OBC,Outs,RunExpectancy
0,0,0.6261834802481228
0,1,0.38214599824098505
0,2,0.19532908704883228
1,0,0.9435975609756098
1,1,0.6351351351351351
1,2,0.4046740467404674
2,0,1.2024922118380061
2,1,0.7298474945533769
2,2,0.4471830985915493
3,0,1.5846153846153845
3,1,1.1136363636363635
3,2,0.4619289340101523
4,0,1.4285714285714286
4,1,0.946969696969697
4,2,0.7254237288135593
5,0,2.3333333333333335
5,1,1.1555555555555554
5,2,0.4689265536723164
6,0,2.0714285714285716
6,1,1.46875
6,2,0.4411764705882353
7,0,2.4615384615384617
7,1,1.6565656565656566
7,2,1.2261904761904763
