OBC,Outs,RunExpectancy
0,0,0.6484018264840182
0,1,0.40388349514563104
0,2,0.16009852216748768
1,0,1.1367521367521367
1,1,0.6535947712418301
1,2,0.40764331210191085
2,0,1.2121212121212122
2,1,0.6847826086956522
2,2,0.5609756097560976
3,0,1.1875
3,1,1.0454545454545454
3,2,0.1951219512195122
4,0,1.3548387096774193
4,1,0.9038461538461539
4,2,0.6956521739130435
5,0,1.7142857142857142
5,1,0.6470588235294118
5,2,0.21621621621621623
6,0,2.3636363636363638
6,1,1.09375
6,2,0.26666666666666666
7,0,2.7
7,1,1.3928571428571428
7,2,1.0
