IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,W,L,SV,HLD,GS,GF,CG,SHO,RE24,WPA,WAR,AB_A,SF_A,SH_A,1B,2B_A,3B_A,RGO,LGO,FO,PO,LO,GB_outs_A,FB_outs_A,SB_A,CS_A,G,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,SB%_A,Avg Diff,FIP,ERA+,W-L%,Season,Team
90.66666666666667,395.0,101.0,53.0,53.0,33.0,3.0,2.0,78.0,13.0,7.0,10.0,1.0,0.0,16.0,16.0,2.0,0.0,5.501769050391614,-1.3176,0.8500932922048268,359.0,3.0,0.0,44.0,34.0,10.0,39.0,35.0,56.0,38.0,0.0,86.0,94.0,8.0,2.0,16.0,3.5073529411764706,1.477941176470588,6.6838235294117645,0.8602941176470588,2.1838235294117645,5.161764705882352,2.3636363636363638,0.28133704735376047,0.3392405063291139,0.5403899721448467,0.8796304784739606,0.3247232472324723,0.03291139240506329,0.19746835443037974,0.08354430379746836,0.4777777777777778,0.5222222222222223,0.9148936170212766,0.8,251.19480156517673,2.368729465772537,95.0,0.4117647058823529,S3,ARI
87.66666666666666,372.0,87.0,46.0,46.0,37.0,0.0,5.0,71.0,19.0,8.0,8.0,0.0,2.0,16.0,16.0,8.0,3.0,-3.070940157917615,0.6046,1.625829492689897,333.0,2.0,0.0,38.0,21.0,9.0,36.0,36.0,68.0,20.0,0.0,87.0,88.0,4.0,2.0,16.0,3.1482889733840307,1.414448669201521,5.954372623574145,1.3003802281368824,2.5323193916349815,4.859315589353613,1.9189189189189189,0.26126126126126126,0.3333333333333333,0.5495495495495496,0.882882882882883,0.27755102040816326,0.051075268817204304,0.19086021505376344,0.09946236559139784,0.49714285714285716,0.5028571428571429,0.9886363636363636,0.6666666666666666,244.7753084964265,3.597313675121676,98.0,0.5,S3,BOS
91.0,385.0,89.0,58.0,58.0,41.0,1.0,3.0,105.0,24.0,7.0,9.0,2.0,0.0,16.0,16.0,5.0,1.0,8.069391759319817,1.2602000000000002,0.5578811429007662,344.0,0.0,0.0,35.0,28.0,2.0,33.0,29.0,68.0,9.0,0.0,73.0,77.0,3.0,7.0,16.0,3.8241758241758244,1.4285714285714286,5.868131868131868,1.5824175824175826,2.7032967032967035,6.9230769230769225,2.5609756097560976,0.25872093023255816,0.33766233766233766,0.561046511627907,0.8987088492902446,0.3023255813953488,0.06233766233766234,0.2727272727272727,0.10649350649350649,0.4866666666666667,0.5133333333333333,0.948051948051948,0.3,242.92007571645414,3.605962820652951,90.0,0.4375,S3,CHC
87.33333333333333,374.0,87.0,54.0,54.0,36.0,1.0,4.0,82.0,22.0,6.0,10.0,4.0,0.0,16.0,16.0,3.0,0.0,6.550101293687887,0.9509,0.670815323211595,334.0,4.0,0.0,36.0,26.0,3.0,31.0,33.0,76.0,15.0,0.0,74.0,91.0,7.0,5.0,16.0,3.7099236641221376,1.4083969465648856,5.977099236641221,1.5114503816793894,2.4732824427480917,5.633587786259542,2.2777777777777777,0.26047904191616766,0.32887700534759357,0.5538922155688623,0.8827692209164558,0.2777777777777778,0.058823529411764705,0.2192513368983957,0.0962566844919786,0.4484848484848485,0.5515151515151515,0.8131868131868132,0.5833333333333334,243.4965460257117,3.7670231343850205,81.0,0.375,S3,CLE
94.33333333333334,363.0,64.0,33.0,33.0,33.0,2.0,0.0,92.0,12.0,12.0,4.0,0.0,0.0,16.0,16.0,14.0,2.0,-19.556111917561296,4.567,3.2424417780841495,329.0,1.0,0.0,30.0,16.0,6.0,26.0,41.0,68.0,23.0,0.0,81.0,91.0,6.0,4.0,16.0,2.0989399293286217,1.028268551236749,4.070671378091872,0.763250883392226,2.0989399293286217,5.851590106007067,2.787878787878788,0.1945288753799392,0.26721763085399447,0.3890577507598784,0.6562753816138729,0.23008849557522124,0.03305785123966942,0.2534435261707989,0.09090909090909091,0.47093023255813954,0.5290697674418605,0.8901098901098901,0.6,264.2738667807079,1.8860855248039234,153.0,0.75,S3,COL
91.66666666666666,385.0,79.0,47.0,47.0,43.0,1.0,1.0,86.0,19.0,9.0,7.0,1.0,0.0,16.0,16.0,6.0,2.0,-3.094877371782884,2.3318,1.6743080560110364,340.0,2.0,0.0,34.0,22.0,4.0,26.0,37.0,78.0,23.0,0.0,73.0,101.0,7.0,4.0,16.0,3.0763636363636366,1.330909090909091,5.170909090909092,1.2436363636363639,2.8145454545454545,5.629090909090909,2.0,0.2323529411764706,0.3168831168831169,0.48823529411764705,0.8051184110007639,0.25316455696202533,0.04935064935064935,0.22337662337662337,0.11168831168831168,0.41954022988505746,0.5804597701149425,0.7227722772277227,0.6363636363636364,242.93010741864754,3.3588898935800238,109.0,0.5625,S3,DET
87.66666666666667,377.0,81.0,58.0,58.0,44.0,6.0,5.0,95.0,26.0,6.0,10.0,0.0,0.0,16.0,16.0,4.0,0.0,10.799999999999999,-0.4724999999999997,0.25646041610375614,332.0,1.0,0.0,29.0,24.0,2.0,34.0,38.0,57.0,18.0,0.0,80.0,75.0,6.0,4.0,16.0,3.9695817490494294,1.4258555133079847,5.5437262357414445,1.779467680608365,3.011406844106464,6.501901140684411,2.159090909090909,0.24397590361445784,0.33156498673740054,0.5632530120481928,0.8948179987855933,0.25943396226415094,0.06896551724137931,0.2519893899204244,0.11671087533156499,0.5161290322580645,0.4838709677419355,1.0666666666666667,0.6,250.58357938864745,4.327351697935364,81.0,0.375,S3,HOU
90.0,398.0,100.0,51.0,51.0,38.0,3.0,2.0,74.0,21.0,11.0,5.0,3.0,2.0,16.0,16.0,2.0,0.0,1.0937867887508166,0.7660000000000001,1.3015264818922785,354.0,6.0,0.0,42.0,29.0,8.0,30.0,28.0,59.0,48.0,0.0,73.0,107.0,7.0,1.0,16.0,3.4,1.5333333333333334,6.666666666666667,1.4,2.533333333333333,4.933333333333334,1.9473684210526316,0.2824858757062147,0.34673366834170855,0.5875706214689266,0.9343042898106351,0.2981132075471698,0.052763819095477386,0.18592964824120603,0.09547738693467336,0.40555555555555556,0.5944444444444444,0.6822429906542056,0.875,245.22055589367545,3.7889909036810336,100.0,0.6875,S3,KCR
92.66666666666666,390.0,86.0,54.0,54.0,44.0,1.0,3.0,105.0,26.0,9.0,7.0,2.0,0.0,16.0,16.0,4.0,3.0,3.8682831118697045,0.26749999999999946,0.9957169468513976,343.0,3.0,0.0,35.0,23.0,2.0,39.0,24.0,58.0,15.0,0.0,79.0,73.0,6.0,5.0,16.0,3.496402877697842,1.4028776978417268,5.568345323741008,1.6834532374100721,2.8489208633093526,6.798561151079137,2.3863636363636362,0.25072886297376096,0.3333333333333333,0.5568513119533528,0.8901846452866862,0.27906976744186046,0.06666666666666667,0.2692307692307692,0.11282051282051282,0.5197368421052632,0.48026315789473684,1.082191780821918,0.5454545454545454,247.79324216340868,3.9391907438089317,95.0,0.5625,S3,LAA
97.33333333333333,409.0,82.0,56.0,56.0,46.0,2.0,0.0,102.0,29.0,7.0,9.0,0.0,3.0,16.0,16.0,2.0,1.0,-1.6940174641613504,3.0872999999999995,1.6193017734358595,356.0,7.0,0.0,32.0,17.0,4.0,43.0,36.0,64.0,14.0,0.0,94.0,78.0,3.0,3.0,16.0,3.452054794520548,1.315068493150685,5.054794520547945,1.7876712328767126,2.8356164383561646,6.287671232876712,2.217391304347826,0.2303370786516854,0.31295843520782396,0.5449438202247191,0.8579022554325431,0.22844827586206898,0.07090464547677261,0.24938875305623473,0.11246943765281174,0.5465116279069767,0.45348837209302323,1.205128205128205,0.5,249.46571566954253,4.328640827577534,92.0,0.4375,S3,LAD
94.99999999999999,404.0,89.0,39.0,39.0,45.0,1.0,2.0,75.0,10.0,9.0,7.0,3.0,1.0,16.0,16.0,5.0,2.0,-7.738975970877615,3.9317,2.2060726849018657,358.0,1.0,0.0,40.0,33.0,6.0,31.0,39.0,78.0,33.0,0.0,82.0,111.0,13.0,4.0,16.0,2.4631578947368427,1.4105263157894739,5.621052631578948,0.6315789473684212,2.842105263157895,4.736842105263158,1.6666666666666667,0.24860335195530725,0.3316831683168317,0.4581005586592179,0.7897837269760496,0.28832116788321166,0.024752475247524754,0.18564356435643564,0.11138613861386139,0.42487046632124353,0.5751295336787565,0.7387387387387387,0.7647058823529411,248.9466024978762,2.343961663914952,118.0,0.5625,S3,MIA
86.66666666666667,395.0,97.0,53.0,53.0,49.0,1.0,10.0,69.0,20.0,6.0,10.0,2.0,2.0,16.0,16.0,3.0,1.0,7.894836042733195,0.6754000000000004,0.6107865929706687,341.0,5.0,0.0,40.0,31.0,6.0,37.0,24.0,80.0,20.0,0.0,75.0,100.0,6.0,2.0,16.0,3.669230769230769,1.6846153846153846,6.7153846153846155,1.3846153846153846,3.3923076923076922,4.776923076923077,1.4081632653061225,0.2844574780058651,0.369620253164557,0.5865102639296188,0.9561305170941758,0.29961089494163423,0.05063291139240506,0.17468354430379746,0.1240506329113924,0.42857142857142855,0.5714285714285714,0.75,0.75,234.90622862830625,4.237281501971632,91.0,0.375,S3,MIL
86.66666666666667,363.0,78.0,43.0,43.0,28.0,1.0,5.0,60.0,18.0,10.0,6.0,1.0,5.0,16.0,16.0,2.0,1.0,-5.467681330929317,2.784,1.8335987194209513,329.0,6.0,0.0,32.0,22.0,6.0,47.0,45.0,75.0,15.0,0.0,100.0,90.0,5.0,1.0,16.0,2.9769230769230766,1.223076923076923,5.3999999999999995,1.2461538461538462,1.9384615384615382,4.153846153846153,2.142857142857143,0.23708206686930092,0.29201101928374656,0.5045592705167173,0.7965702898004638,0.23346303501945526,0.049586776859504134,0.1652892561983471,0.07713498622589532,0.5263157894736842,0.47368421052631576,1.1111111111111112,0.8333333333333334,248.4748243225208,3.4180507327408627,108.0,0.625,S3,MTL
90.0,408.0,110.0,66.0,66.0,30.0,4.0,8.0,89.0,29.0,5.0,11.0,0.0,0.0,16.0,16.0,4.0,1.0,14.813264321250895,-0.7718,-0.0349713929464891,371.0,7.0,0.0,42.0,31.0,8.0,39.0,37.0,70.0,20.0,0.0,82.0,90.0,8.0,3.0,16.0,4.4,1.5555555555555556,7.333333333333334,1.9333333333333336,2.0,5.933333333333334,2.966666666666667,0.29649595687331537,0.3431372549019608,0.6576819407008087,1.0008191956027694,0.31153846153846154,0.07107843137254902,0.2181372549019608,0.07352941176470588,0.47674418604651164,0.5232558139534884,0.9111111111111111,0.7272727272727273,236.26120644226856,4.344546459236589,72.0,0.3125,S3,NYM
91.33333333333334,373.0,90.0,48.0,48.0,29.0,2.0,0.0,69.0,15.0,10.0,6.0,5.0,1.0,16.0,16.0,1.0,0.0,-3.233485938521911,3.9834,1.6456290585914508,342.0,2.0,0.0,41.0,30.0,4.0,34.0,46.0,63.0,24.0,0.0,95.0,87.0,7.0,7.0,16.0,3.1532846715328464,1.302919708029197,5.912408759124087,0.9854014598540146,1.9051094890510947,4.532846715328467,2.3793103448275863,0.2631578947368421,0.3190348525469169,0.5058479532163743,0.8248828057632912,0.28846153846153844,0.040214477211796246,0.18498659517426275,0.0777479892761394,0.521978021978022,0.47802197802197804,1.0919540229885059,0.5,241.95196278490937,2.7100776838919014,99.0,0.625,S3,NYY
88.33333333333333,384.0,74.0,40.0,40.0,59.0,3.0,4.0,90.0,16.0,9.0,7.0,1.0,1.0,16.0,16.0,3.0,1.0,-6.4766338354011515,1.8208000000000002,2.0089387145317392,322.0,3.0,0.0,38.0,15.0,5.0,31.0,36.0,52.0,26.0,0.0,79.0,78.0,8.0,5.0,16.0,2.716981132075472,1.5056603773584907,5.026415094339622,1.0867924528301889,4.007547169811321,6.113207547169811,1.5254237288135593,0.22981366459627328,0.3463541666666667,0.45652173913043476,0.8028759057971014,0.2648401826484018,0.041666666666666664,0.234375,0.15364583333333334,0.5031847133757962,0.4968152866242038,1.0128205128205128,0.6153846153846154,245.20889366141586,3.4541900651066104,111.0,0.5625,S3,OAK
87.33333333333333,366.0,86.0,53.0,53.0,34.0,0.0,0.0,72.0,21.0,10.0,6.0,3.0,0.0,16.0,16.0,0.0,0.0,6.799999999999998,0.5036000000000005,0.6174655498513918,330.0,2.0,0.0,34.0,26.0,5.0,47.0,42.0,51.0,17.0,0.0,104.0,68.0,1.0,3.0,16.0,3.6412213740458017,1.3740458015267176,5.908396946564886,1.4427480916030535,2.33587786259542,4.9465648854961835,2.1176470588235294,0.2606060606060606,0.32786885245901637,0.5606060606060606,0.8884749130650769,0.2719665271966527,0.05737704918032787,0.19672131147540983,0.09289617486338798,0.6046511627906976,0.3953488372093023,1.5294117647058822,0.25,248.32327099938237,3.77847351606441,83.0,0.625,S3,PHI
91.66666666666666,380.0,89.0,46.0,46.0,28.0,2.0,1.0,48.0,11.0,6.0,10.0,0.0,0.0,16.0,16.0,2.0,1.0,-5.199678019821907,1.6120999999999999,1.8670631816093186,346.0,6.0,0.0,43.0,29.0,6.0,46.0,50.0,57.0,40.0,0.0,111.0,97.0,7.0,3.0,16.0,3.010909090909091,1.2763636363636366,5.825454545454546,0.7200000000000001,1.832727272727273,3.141818181818182,1.7142857142857142,0.25722543352601157,0.3078947368421053,0.47109826589595377,0.778993002738059,0.26621160409556316,0.02894736842105263,0.12631578947368421,0.07368421052631578,0.5336538461538461,0.46634615384615385,1.1443298969072164,0.7,252.9144114907504,2.5625262572163874,111.0,0.375,S3,PIT
92.0,400.0,106.0,57.0,57.0,28.0,1.0,1.0,74.0,23.0,2.0,14.0,0.0,0.0,16.0,16.0,12.0,1.0,6.66830627763732,0.07919999999999988,0.7511645086858763,369.0,3.0,0.0,51.0,27.0,5.0,29.0,29.0,64.0,56.0,0.0,69.0,120.0,1.0,2.0,16.0,3.717391304347826,1.4565217391304348,6.913043478260869,1.5,1.8260869565217392,4.826086956521739,2.642857142857143,0.2872628726287263,0.335,0.5745257452574526,0.9095257452574526,0.3018181818181818,0.0575,0.185,0.07,0.36507936507936506,0.6349206349206349,0.575,0.3333333333333333,246.34735552940575,3.6877831742124347,83.0,0.125,S3,SDP
