G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,is_sub_row,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3.0,18.666666666666668,86.0,23.0,15.0,9.0,0.0,0.0,21.0,1.0,14.0,0.0,11.0,20.0,2.0,0.0,4.821428571428571,1.7142857142857142,7.392857142857142,0.3214285714285714,2.8928571428571423,6.75,2.3333333333333335,0.3026315789473684,0.37209302325581395,0.4868421052631579,0.8589351285189719,0.4,0.011627906976744186,0.2441860465116279,0.10465116279069768,0.37142857142857144,0.6285714285714286,0.5909090909090909,238.6904761904762,-0.710576923076925,0.1373999999999999,76.0,1.0,0.0,5.0,3.0,13.0,22.0,S1,58,NYM,True,1.6588571428571426,29.333333333333332,94,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8223400547672395
5.0,20.0,88.0,26.0,7.0,5.0,0.0,0.0,26.0,2.0,19.0,0.0,10.0,17.0,4.0,0.0,2.1,1.55,7.800000000000001,0.6000000000000001,1.5,7.800000000000001,5.2,0.3132530120481928,0.3522727272727273,0.4457831325301205,0.7980558598028478,0.43636363636363634,0.022727272727272728,0.29545454545454547,0.056818181818181816,0.38235294117647056,0.6176470588235294,0.6190476190476191,242.80459770114942,-6.115384615384616,0.6213000000000001,83.0,0.0,0.0,5.0,0.0,13.0,21.0,S1,74,ARI,False,1.2159999999999997,20.0,180,4.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.5,1.380292506845905
4.0,24.0,110.0,33.0,23.0,9.0,0.0,0.0,22.0,4.0,19.0,0.0,13.0,29.0,4.0,0.0,5.75,1.75,8.25,1.0,2.25,5.5,2.4444444444444446,0.3333333333333333,0.38181818181818183,0.5757575757575758,0.9575757575757576,0.38666666666666666,0.03636363636363636,0.2,0.08181818181818182,0.34,0.66,0.5151515151515151,235.11926605504587,6.090521978021978,-0.09099999999999996,99.0,2.0,0.0,8.0,2.0,17.0,33.0,S1,112,HOU,False,3.224333333333333,24.0,72,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3518903588321064
4.0,5.333333333333333,20.0,2.0,3.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,5.0,2.0,0.0,3.375,0.75,2.25,1.125,2.25,5.625,2.5,0.11764705882352941,0.2,0.4117647058823529,0.611764705882353,0.08333333333333333,0.05,0.25,0.1,0.36363636363636365,0.6363636363636364,0.5714285714285714,284.55555555555554,-2.3125096260802604,0.42999999999999994,17.0,1.0,0.0,0.0,1.0,4.0,7.0,S1,120,MIN,False,3.4535,6.0,108,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40596779108699044
1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,312.0,-0.6557692307692308,0.0015000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,3.0,S1,167,PHI,False,1.7659999999999998,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09178444734876774
5.0,25.0,97.0,24.0,7.0,5.0,0.0,0.0,13.0,1.0,16.0,0.0,33.0,20.0,2.0,0.0,1.68,1.16,5.76,0.24,1.2000000000000002,3.12,2.6,0.26373626373626374,0.29896907216494845,0.37362637362637363,0.6725954457913221,0.2948717948717949,0.010309278350515464,0.13402061855670103,0.05154639175257732,0.6451612903225806,0.3548387096774194,1.8181818181818181,268.7578947368421,-9.394230769230772,1.2290999999999999,91.0,1.0,0.0,7.0,0.0,40.0,22.0,S1,199,ATL,False,1.8459999999999999,25.0,225,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.7867996950460543
1.0,3.3333333333333335,17.0,6.0,5.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,2.4,10.799999999999999,3.5999999999999996,3.5999999999999996,5.3999999999999995,1.5,0.4,0.47058823529411764,0.8666666666666667,1.3372549019607844,0.4,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.5714285714285714,0.42857142857142855,1.3333333333333333,208.58823529411765,1.242994505494505,-0.5103000000000001,15.0,0.0,0.0,1.0,0.0,4.0,3.0,S1,237,2TM,False,9.565999999999999,3.3333333333333335,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02420985365766921
1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,418.0,-0.22719780219780222,0.0124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,S1,237,BAL,True,-4.234,3.3333333333333335,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03145562164372844
1.0,3.0,16.0,6.0,5.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,10.0,2.6666666666666665,12.0,4.0,4.0,4.0,1.0,0.42857142857142855,0.5,0.9285714285714286,1.4285714285714286,0.4,0.125,0.125,0.125,0.5714285714285714,0.42857142857142855,1.3333333333333333,195.5,1.4701923076923078,-0.5227,14.0,0.0,0.0,1.0,0.0,4.0,3.0,S1,237,TOR,True,11.099333333333334,3.3333333333333335,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007245767986059271
4.0,18.333333333333332,75.0,18.0,8.0,6.0,1.0,0.0,13.0,4.0,9.0,0.0,19.0,16.0,3.0,0.0,2.618181818181818,1.309090909090909,5.8909090909090915,1.309090909090909,1.9636363636363636,4.254545454545455,2.1666666666666665,0.2647058823529412,0.32,0.5294117647058824,0.8494117647058823,0.2692307692307692,0.05333333333333334,0.17333333333333334,0.08,0.5365853658536586,0.4634146341463415,1.1578947368421053,240.46575342465752,-4.0444249715801455,0.28099999999999997,68.0,1.0,0.0,4.0,1.0,22.0,19.0,S1,284,WAS,False,4.166,18.0,89,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.059630603954131
6.0,17.666666666666668,77.0,24.0,13.0,6.0,1.0,0.0,14.0,1.0,15.0,0.0,19.0,11.0,3.0,0.0,4.415094339622641,1.6981132075471697,8.150943396226415,0.33962264150943394,2.0377358490566038,4.754716981132075,2.3333333333333335,0.3380281690140845,0.38961038961038963,0.5070422535211268,0.8966526431315164,0.4107142857142857,0.012987012987012988,0.18181818181818182,0.07792207792207792,0.6410256410256411,0.358974358974359,1.7857142857142858,246.1095890410959,1.5495879120879128,0.714,71.0,0.0,0.0,7.0,1.0,25.0,14.0,S1,286,PHI,False,1.9358113207547167,18.333333333333332,86,3.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.6,0.5177009984352217
7.0,40.0,164.0,41.0,22.0,10.0,0.0,0.0,36.0,6.0,29.0,0.0,35.0,34.0,8.0,0.0,3.3,1.275,6.1499999999999995,0.8999999999999999,1.5,5.4,3.6,0.271523178807947,0.31097560975609756,0.45695364238410596,0.7679292521402035,0.3125,0.036585365853658534,0.21951219512195122,0.06097560975609756,0.4939759036144578,0.5060240963855421,0.9761904761904762,261.7469879518072,-3.163876850255131,0.8585,151.0,3.0,0.0,2.0,4.0,41.0,42.0,S1,336,PIT,False,2.666,39.666666666666664,100,7.0,6.0,6.0,1.0,5.0,2.0,0.0,0.0,0.7142857142857143,1.749065678553021
6.0,31.0,128.0,34.0,14.0,10.0,0.0,0.0,15.0,6.0,20.0,1.0,38.0,23.0,7.0,0.0,2.7096774193548385,1.4193548387096775,6.580645161290322,1.161290322580645,1.935483870967742,2.903225806451613,1.5,0.288135593220339,0.34375,0.5169491525423728,0.8606991525423728,0.28865979381443296,0.046875,0.1171875,0.078125,0.6153846153846154,0.38461538461538464,1.6,245.16535433070865,-6.593131868131869,0.7871,118.0,0.0,0.0,7.0,1.0,48.0,30.0,S1,395,TOR,False,4.282129032258064,31.0,129,6.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,0.4,1.7775008890785589
2.0,8.0,31.0,7.0,3.0,1.0,0.0,0.0,8.0,2.0,3.0,0.0,8.0,5.0,2.0,0.0,2.25,1.0,5.25,1.5,0.75,6.0,8.0,0.23333333333333334,0.25806451612903225,0.5,0.7580645161290323,0.25,0.06451612903225806,0.25806451612903225,0.03225806451612903,0.5625,0.4375,1.2857142857142858,292.80645161290323,-3.1528846153846155,0.23470000000000002,30.0,0.0,0.0,2.0,0.0,9.0,7.0,S1,1961,ARI,False,3.391,8.0,108,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5860995456808563
7.0,41.0,198.0,54.0,28.0,26.0,1.0,1.0,42.0,6.0,31.0,0.0,27.0,41.0,8.0,0.0,4.097560975609756,1.951219512195122,7.902439024390244,0.8780487804878048,3.8048780487804876,6.146341463414634,1.6153846153846154,0.3176470588235294,0.40404040404040403,0.5352941176470588,0.9393345216874629,0.3870967741935484,0.030303030303030304,0.21212121212121213,0.13131313131313133,0.3950617283950617,0.6049382716049383,0.6530612244897959,244.72081218274113,-1.875804073974807,-0.4353999999999997,170.0,2.0,0.0,15.0,2.0,32.0,49.0,S1,1966,BAL,False,3.5220975609756096,41.333333333333336,78,7.0,7.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,1.917277009339228
1.0,6.0,23.0,4.0,3.0,3.0,0.0,1.0,8.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,3.0,1.1666666666666667,4.0,0.0,3.0,8.0,2.6666666666666665,0.2,0.30434782608695654,0.25,0.5543478260869565,0.3333333333333333,0.0,0.34782608695652173,0.13043478260869565,0.5555555555555556,0.4444444444444444,1.25,288.4583333333333,-0.6631868131868135,0.3458,20.0,0.0,0.0,1.0,0.0,5.0,4.0,S1,2019,DET,False,0.599333333333333,5.666666666666667,115,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2672430340694904
7.0,37.0,157.0,42.0,24.0,16.0,0.0,1.0,14.0,7.0,25.0,0.0,46.0,28.0,11.0,0.0,3.891891891891892,1.5675675675675675,6.8108108108108105,1.135135135135135,2.5945945945945947,2.27027027027027,0.875,0.3,0.36942675159235666,0.5428571428571428,0.9122838944494995,0.2916666666666667,0.044585987261146494,0.08917197452229299,0.10191082802547771,0.59375,0.40625,1.4615384615384615,243.35031847133757,-0.08789762868710405,-0.42989999999999995,140.0,1.0,0.0,7.0,3.0,57.0,39.0,S1,2065,2TM,False,4.766,36.666666666666664,97,7.0,5.0,5.0,0.0,2.0,5.0,0.0,0.0,0.2857142857142857,1.3803168664285808
3.0,14.0,61.0,19.0,11.0,3.0,0.0,0.0,8.0,5.0,10.0,0.0,17.0,10.0,4.0,0.0,4.714285714285714,1.5714285714285714,8.142857142857142,2.142857142857143,1.2857142857142856,3.4285714285714284,2.6666666666666665,0.3275862068965517,0.36065573770491804,0.6724137931034483,1.0330695308083664,0.3111111111111111,0.08196721311475409,0.13114754098360656,0.04918032786885246,0.5882352941176471,0.4117647058823529,1.4285714285714286,240.29508196721312,1.8192307692307692,-0.48060000000000014,58.0,0.0,0.0,3.0,1.0,20.0,14.0,S1,2065,MIN,True,5.908857142857143,36.666666666666664,97,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3509632499377645
4.0,23.0,96.0,23.0,13.0,13.0,0.0,1.0,6.0,2.0,15.0,0.0,29.0,18.0,7.0,0.0,3.391304347826087,1.565217391304348,6.0,0.5217391304347826,3.391304347826087,1.5652173913043477,0.46153846153846156,0.2804878048780488,0.375,0.45121951219512196,0.8262195121951219,0.28,0.020833333333333332,0.0625,0.13541666666666666,0.5967741935483871,0.4032258064516129,1.48,245.29166666666666,-1.9071283979178713,0.05070000000000008,82.0,1.0,0.0,4.0,2.0,37.0,25.0,S1,2065,NYM,True,4.070347826086956,36.666666666666664,97,4.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.5,1.0293536164908161
6.0,36.0,145.0,35.0,20.0,10.0,0.0,0.0,20.0,8.0,19.0,0.0,37.0,36.0,7.0,0.0,3.3333333333333335,1.25,5.833333333333333,1.3333333333333333,1.6666666666666667,3.3333333333333335,2.0,0.25925925925925924,0.3103448275862069,0.4962962962962963,0.8066411238825032,0.2523364485981308,0.05517241379310345,0.13793103448275862,0.06896551724137931,0.5113636363636364,0.48863636363636365,1.0465116279069768,254.08965517241379,-5.587375241649059,0.5627,135.0,0.0,0.0,8.0,0.0,45.0,43.0,S1,2091,DET,False,4.377111111111111,36.0,88,6.0,6.0,6.0,1.0,2.0,3.0,0.0,0.0,0.4,1.8254345306373978
6.0,23.333333333333332,95.0,23.0,16.0,5.0,0.0,0.0,27.0,9.0,7.0,0.0,16.0,21.0,3.0,0.0,4.114285714285715,1.2,5.914285714285715,2.3142857142857145,1.2857142857142858,6.942857142857143,5.4,0.25842696629213485,0.29473684210526313,0.651685393258427,0.9464222353636902,0.25925925925925924,0.09473684210526316,0.28421052631578947,0.05263157894736842,0.42857142857142855,0.5714285714285714,0.75,251.7578947368421,-0.07142857142857273,-0.06669999999999986,89.0,1.0,0.0,6.0,1.0,18.0,24.0,S1,2111,PHI,False,5.1088571428571425,23.333333333333332,73,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.8370477924179381
3.0,10.666666666666666,37.0,5.0,1.0,3.0,1.0,0.0,11.0,1.0,3.0,0.0,13.0,5.0,0.0,0.0,0.5625,0.75,2.8125,0.5625,1.6875,6.1875,3.6666666666666665,0.14705882352941177,0.21621621621621623,0.2647058823529412,0.4809220985691574,0.18181818181818182,0.02702702702702703,0.2972972972972973,0.08108108108108109,0.7619047619047619,0.23809523809523808,3.2,284.75757575757575,-5.6544524441076165,0.9542,34.0,0.0,0.0,1.0,0.0,16.0,5.0,S1,2129,MIN,False,1.7659999999999998,10.666666666666666,260,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.8886713770968457
7.0,41.0,169.0,38.0,15.0,16.0,0.0,0.0,29.0,5.0,22.0,0.0,33.0,40.0,13.0,0.0,2.1951219512195124,1.3170731707317074,5.560975609756098,0.7317073170731707,2.3414634146341466,4.2439024390243905,1.8125,0.24836601307189543,0.31952662721893493,0.42483660130718953,0.7443632285261245,0.2773109243697479,0.029585798816568046,0.17159763313609466,0.09467455621301775,0.4175824175824176,0.5824175824175825,0.7169811320754716,255.6153846153846,-10.279395604395607,1.6021,153.0,0.0,0.0,10.0,1.0,38.0,53.0,S1,2147,OAK,False,3.107463414634146,40.0,139,7.0,7.0,7.0,0.0,4.0,3.0,0.0,0.0,0.5714285714285714,2.5042967610868097
5.0,18.666666666666668,85.0,21.0,10.0,8.0,0.0,0.0,20.0,4.0,15.0,0.0,13.0,19.0,4.0,0.0,3.214285714285714,1.5535714285714284,6.75,1.2857142857142856,2.571428571428571,6.428571428571429,2.5,0.2727272727272727,0.3411764705882353,0.45454545454545453,0.7957219251336898,0.32075471698113206,0.047058823529411764,0.23529411764705882,0.09411764705882353,0.3611111111111111,0.6388888888888888,0.5652173913043478,243.1547619047619,-1.9956431125096794,0.28550000000000014,77.0,0.0,0.0,2.0,0.0,13.0,23.0,S1,2151,WAS,False,3.694571428571428,19.0,147,3.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,0.75,0.9421108322865667
1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,18.0,0.0,0.25,0.25,0.5,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0.0,259.75,-0.8684210526315788,0.08940000000000001,4.0,0.0,0.0,1.0,0.0,0.0,0.0,S1,2271,PIT,False,-4.234,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12178547095895076
