G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1.0,3.0,12.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,0.25,0.25,0.5,0.75,0.3,0.0,0.16666666666666666,0.0,0.2857142857142857,0.7142857142857143,0.4,218.66666666666666,-1.178299702282501,0.09919999999999998,12.0,0.0,0.0,3.0,0.0,2.0,5.0,S8,1,TBR,-0.054334268787028295,3.0,142,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16585332031743447
9.0,13.666666666666666,51.0,8.0,3.0,6.0,0.0,0.0,11.0,1.0,5.0,10.0,4.0,9.0,3.0,0.0,1.3170731707317074,1.024390243902439,3.51219512195122,0.4390243902439025,2.6341463414634148,4.829268292682928,1.8333333333333333,0.17777777777777778,0.27450980392156865,0.28888888888888886,0.5633986928104575,0.21212121212121213,0.0196078431372549,0.21568627450980393,0.11764705882352941,0.6,0.4,1.5,254.94117647058823,-11.683960416283398,0.26929999999999993,45.0,0.0,0.0,2.0,0.0,18.0,12.0,S8,3,KCR,1.9375356499121588,15.0,73,0.0,9.0,0.0,0.0,1,0,3,0,1.0,1.3724952795073733
11.0,22.666666666666668,106.0,37.0,20.0,7.0,0.0,0.0,7.0,8.0,20.0,7.0,9.0,9.0,30.0,0.0,5.294117647058823,1.9411764705882353,9.794117647058822,2.117647058823529,1.8529411764705879,1.8529411764705879,1.0,0.37373737373737376,0.41509433962264153,0.7272727272727273,1.142367066895369,0.34523809523809523,0.07547169811320754,0.0660377358490566,0.0660377358490566,0.3389830508474576,0.6610169491525424,0.5128205128205128,233.54954954954954,1.4817412517336963,-0.6193,99.0,0.0,0.0,7.0,2.0,20.0,39.0,S8,5,BAL/TEX,6.176057888075716,26.333333333333332,63,3.0,6.0,0.0,0.0,1,2,1,0,0.3333333333333333,0.27603213394775894
1.0,0.3333333333333333,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,54.0,15.0,36.0,0.0,54.0,0.0,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.5,0.6666666666666666,0.0,0.0,0.5,0.0,1.0,0.0,151.83333333333334,2.7655321447866017,-0.0327,3.0,0.0,0.0,0.0,0.0,0.0,1.0,S8,21,BOS,28.278999064546305,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.252541539434068
10.0,39.333333333333336,163.0,38.0,17.0,17.0,1.0,2.0,37.0,5.0,21.0,12.0,22.0,23.0,14.0,0.0,2.5932203389830506,1.3983050847457625,5.796610169491525,0.7627118644067796,2.5932203389830506,5.6440677966101696,2.176470588235294,0.2602739726027397,0.3374233128834356,0.4589041095890411,0.7963274224724767,0.3173076923076923,0.03067484662576687,0.22699386503067484,0.10429447852760736,0.5316455696202531,0.46835443037974683,1.135135135135135,264.27950310559004,-15.656075011330875,0.40500000000000047,146.0,0.0,0.0,10.0,2.0,42.0,37.0,S8,37,MIA,2.3467956747157963,40.666666666666664,89,6.0,6.0,2.0,1.0,3,3,0,0,0.5,2.217924673177842
9.0,31.666666666666668,129.0,33.0,10.0,7.0,0.0,0.0,25.0,2.0,22.0,16.0,14.0,21.0,13.0,0.0,1.894736842105263,1.263157894736842,6.252631578947367,0.37894736842105264,1.3263157894736841,4.7368421052631575,3.5714285714285716,0.2727272727272727,0.31007751937984496,0.4214876033057851,0.7315651226856301,0.3263157894736842,0.015503875968992248,0.1937984496124031,0.05426356589147287,0.5072463768115942,0.4927536231884058,1.0294117647058822,264.57894736842104,-13.77479857824541,0.9936,121.0,1.0,0.0,6.0,3.0,35.0,34.0,S8,39,MIA,1.1842622224410417,32.333333333333336,124,6.0,5.0,2.0,2.0,2,1,0,0,0.6666666666666666,1.8937308712832732
7.0,23.0,99.0,26.0,12.0,10.0,0.0,0.0,15.0,4.0,15.0,12.0,6.0,12.0,18.0,0.0,3.130434782608696,1.565217391304348,6.782608695652174,1.0434782608695652,2.608695652173913,3.9130434782608696,1.5,0.29545454545454547,0.36363636363636365,0.5227272727272727,0.8863636363636364,0.3142857142857143,0.04040404040404041,0.15151515151515152,0.10101010101010101,0.4230769230769231,0.5769230769230769,0.7333333333333333,246.14423076923077,-3.932266866780144,0.11010000000000011,88.0,1.0,0.0,6.0,1.0,22.0,30.0,S8,45,ATL,3.539868629763696,23.666666666666668,111,4.0,4.0,1.0,0.0,3,1,0,0,0.75,0.7894193249137855
1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,329.0,-0.2344678552133981,0.0368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,S8,73,COL,-4.721000935453695,1.0,0,,,,,0,0,0,0,0.0,0.027448731362105173
5.0,30.0,119.0,25.0,19.0,7.0,0.0,0.0,10.0,7.0,9.0,14.0,20.0,32.0,11.0,0.0,3.8,1.0666666666666667,5.0,1.4,1.4,2.0,1.4285714285714286,0.22522522522522523,0.2689075630252101,0.5315315315315315,0.8004390945567417,0.18947368421052632,0.058823529411764705,0.08403361344537816,0.058823529411764705,0.45569620253164556,0.5443037974683544,0.8372093023255814,258.1544715447154,-2.7569256996369864,0.6564,111.0,1.0,0.0,5.0,4.0,36.0,43.0,S8,74,CIN,4.345665731212971,30.0,89,5.0,5.0,5.0,0.0,2,3,0,0,0.4,0.7519241250147769
9.0,40.0,186.0,53.0,31.0,21.0,0.0,0.0,24.0,7.0,30.0,14.0,16.0,30.0,28.0,0.0,4.65,1.85,7.949999999999999,1.0499999999999998,3.1500000000000004,3.5999999999999996,1.1428571428571428,0.3271604938271605,0.3978494623655914,0.5679012345679012,0.9657506969334926,0.34328358208955223,0.03763440860215054,0.12903225806451613,0.11290322580645161,0.3695652173913043,0.6304347826086957,0.5862068965517241,234.0,1.9033960364159093,-0.5492999999999998,162.0,3.0,0.0,14.0,2.0,34.0,58.0,S8,76,COL,3.928999064546305,40.0,85,6.0,8.0,6.0,1.0,4,4,0,0,0.5,0.5540223227407668
