OBC,Outs,RunExpectancy
0,0,0.7260999007608336
0,1,0.4538327526132404
0,2,0.23446785521339816
1,0,1.0505050505050506
1,1,0.7016348773841962
1,2,0.5085413929040736
2,0,1.444141689373297
2,1,0.8755458515283843
2,2,0.5551782682512734
3,0,1.7272727272727273
3,1,1.303225806451613
3,2,0.5829383886255924
4,0,1.695364238410596
4,1,1.0583657587548638
4,2,0.8097014925373134
5,0,1.912280701754386
5,1,1.1238938053097345
5,2,0.587378640776699
6,0,2.169230769230769
6,1,1.4144144144144144
6,2,0.8444444444444444
7,0,2.5918367346938775
7,1,1.6311475409836065
7,2,0.7647058823529411
