G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,WAR
4.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.42857142857142855,0.6,1.0285714285714285,0.39999999999999997,0.3333333333333333,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.0,0.0,239.33333333333334,0.42857142857142855,0.6,0.11952978073178167,-0.020600000000000007,2.0,0.0,S3,-253,SFG,False,0.04458306590016844
13.0,32.0,30.0,6.0,4.0,3.0,2.0,0.0,1.0,11.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,5.0,2.0,0.0,0.2,0.21875,0.36666666666666664,0.5854166666666667,0.16666666666666663,0.21739130434782608,0.0,0.03125,0.21875,0.03125,0.5555555555555556,0.4444444444444444,1.25,282.19354838709677,0.21875,0.36666666666666664,-2.8911235150448675,-1.1552,10.0,8.0,S3,-252,2TM,False,-0.13994623572395978
6.0,14.0,13.0,4.0,4.0,1.0,2.0,0.0,1.0,9.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.3076923076923077,0.35714285714285715,0.6923076923076923,1.0494505494505495,0.3846153846153846,0.375,0.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.6,0.4,1.5,253.07692307692307,0.35714285714285715,0.6923076923076923,2.870812528210995,0.1869,3.0,2.0,S3,-252,MTL,True,0.35234142847508004
7.0,18.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,0.0,0.11764705882352941,0.1111111111111111,0.11764705882352941,0.22875816993464052,0.0,0.13333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5384615384615384,0.46153846153846156,1.1666666666666667,303.22222222222223,0.1111111111111111,0.11764705882352941,-5.7619360432558615,-1.3420999999999998,7.0,6.0,S3,-252,PIT,True,-0.49228766419903974
10.0,28.0,22.0,4.0,7.0,2.0,0.0,0.0,2.0,10.0,3.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,0.18181818181818182,0.35714285714285715,0.45454545454545453,0.8116883116883117,0.2727272727272727,0.15384615384615385,0.0,0.07142857142857142,0.25,0.21428571428571427,0.45454545454545453,0.5454545454545454,0.8333333333333334,246.14814814814815,0.35714285714285715,0.45454545454545453,2.98208921123774,-0.2995,5.0,6.0,S3,-251,MIL,False,0.4287292724317351
13.0,34.0,30.0,9.0,3.0,5.0,4.0,0.0,0.0,13.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,4.0,0.0,0.3,0.3235294117647059,0.43333333333333335,0.7568627450980392,0.13333333333333336,0.36,0.0,0.0,0.20588235294117646,0.058823529411764705,0.4375,0.5625,0.7777777777777778,260.54545454545456,0.3235294117647059,0.43333333333333335,-1.5568534885134615,-0.07730000000000004,7.0,9.0,S3,-250,2TM,False,0.0028036491654637396
4.0,12.0,11.0,4.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.36363636363636365,0.4166666666666667,0.5454545454545454,0.9621212121212122,0.18181818181818177,0.4444444444444444,0.0,0.0,0.16666666666666666,0.08333333333333333,0.2,0.8,0.25,247.36363636363637,0.4166666666666667,0.5454545454545454,0.3215958316054142,-0.054700000000000006,1.0,4.0,S3,-250,MTL,True,0.08809687657823903
9.0,22.0,19.0,5.0,2.0,3.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.2631578947368421,0.2727272727272727,0.3684210526315789,0.6411483253588517,0.10526315789473684,0.3125,0.0,0.0,0.22727272727272727,0.045454545454545456,0.5454545454545454,0.45454545454545453,1.2,267.1363636363636,0.2727272727272727,0.3684210526315789,-1.8784493201188757,-0.022599999999999995,6.0,5.0,S3,-250,NYM,True,-0.08529322741277527
12.0,33.0,31.0,7.0,3.0,1.0,2.0,2.0,2.0,19.0,5.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,0.22580645161290322,0.2727272727272727,0.6129032258064516,0.8856304985337243,0.3870967741935484,0.2777777777777778,0.0,0.06060606060606061,0.3333333333333333,0.06060606060606061,0.46153846153846156,0.5384615384615384,0.8571428571428571,238.03225806451613,0.2727272727272727,0.6129032258064516,-3.9737317073095375,0.06469999999999997,6.0,7.0,S3,-249,NYM,False,-0.2435456138322853
2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.3333333333333333,2.0,267.4,0.4,0.0,1.502467975673317,0.0348,2.0,1.0,S3,-248,MIA,False,0.17355400315803904
