Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Teams
10062,10,S10,5,6,0,6,6,5,0,12,22,0,12,5,8,1,1,0,18,42,82,11,11,-1.0308483290488415,0.2045686674356834,1.109,NYY @ BAL
10063,10,S10,5,3,0,2,4,6,0,11,11,0,2,6,3,0,1,0,9,20,48,8,8,1.383033419023137,0.3199301071636127,0.0545999999999999,TOR @ BOS
10064,10,S10,5,0,0,2,3,4,0,5,13,0,13,2,3,0,2,0,5,7,45,1,1,-6.218508997429305,-0.4476374718392356,-0.8116000000000003,STL @ CHC
10065,10,S10,5,2,0,3,6,5,0,8,5,0,9,8,3,3,0,0,11,20,49,3,3,-4.218508997429305,-0.2402241344816315,-0.5980000000000001,TBR @ CWS
10066,10,S10,5,4,1,4,3,1,0,9,2,0,12,4,5,0,0,1,12,30,45,9,9,2.3830334190231373,0.4088101011272066,0.623,DET @ CLE
10067,10,S10,5,5,1,3,8,9,1,10,7,0,2,6,0,1,0,0,17,37,52,15,15,9.626085269437842,1.1553552982414892,1.414,MTL @ COL
10068,10,S10,5,2,0,6,7,4,0,11,10,0,1,5,6,1,1,1,15,27,52,9,9,2.2534381972901665,0.4255039283843257,1.0918,TEX @ HOU
10069,10,S10,5,1,0,2,7,11,0,8,8,0,4,6,6,3,1,1,10,15,53,10,10,2.781491002570695,0.4820158775911805,0.6172000000000002,MIN @ KCR
10070,10,S10,5,3,3,5,7,8,0,7,14,0,3,3,3,1,0,2,18,38,56,10,10,3.383033419023137,0.5532901252728308,0.3655999999999998,SDP @ LAD
10071,10,S10,5,0,2,5,8,3,0,6,9,0,10,4,6,1,2,0,15,24,53,7,7,-0.2185089974293054,0.1820158775911804,-0.0511999999999999,MIL @ FLA
10072,10,S10,5,1,0,5,5,8,0,11,16,0,4,2,2,1,0,0,11,19,54,9,9,1.7814910025706947,0.3783092089123785,-0.031,SFG @ NYM
10073,10,S10,5,2,0,1,9,5,0,9,15,0,3,3,1,2,2,0,12,19,48,7,7,0.3830334190231367,0.2236367758424146,-0.0374,ARI @ PHI
10074,10,S10,5,3,0,6,4,5,0,11,9,0,5,4,6,1,2,0,13,28,53,7,7,-0.2185089974293053,0.1820158775911805,-0.048,CIN @ PIT
10075,10,S10,5,1,1,4,5,4,0,8,11,0,6,6,4,0,0,1,11,20,50,2,2,-5.218508997429305,-0.3328107971240276,-0.5476000000000001,ANA @ SEA
10076,10,S10,6,4,2,4,4,3,0,7,13,0,4,8,3,0,1,1,14,34,52,10,10,2.7814910025706947,0.4783092089123785,0.3481999999999999,NYM @ ATL
10077,10,S10,6,2,0,4,4,4,0,11,8,0,3,5,6,1,3,2,10,20,47,7,7,-0.218508997429305,0.1708958715547744,0.0973999999999999,BAL @ BOS
10078,10,S10,6,3,1,4,4,2,0,10,9,0,4,6,7,0,1,0,12,27,50,7,7,-0.2185089974293053,0.1671892028759725,0.4456,PIT @ CHC
10079,10,S10,6,3,1,5,5,6,0,5,3,0,10,6,7,4,2,1,14,30,51,9,8,1.781491002570695,0.3783092089123785,0.1102000000000001,MIL @ CIN
10080,10,S10,6,6,2,1,5,1,0,10,10,0,3,3,8,1,1,1,14,37,49,11,11,3.781491002570695,0.5671892028759725,0.5075999999999999,ARI @ COL
10081,10,S10,6,2,1,2,6,3,0,8,9,1,9,1,4,0,1,1,11,21,46,6,6,-1.2185089974293053,0.0560691968395664,0.0354,DET @ HOU
10082,10,S10,6,1,2,3,7,2,0,6,8,0,6,6,4,1,1,0,13,23,46,4,4,-2.616966580976863,-0.0874832301939913,-0.3296,CLE @ KCR
10083,10,S10,6,3,0,1,8,4,0,5,9,0,3,7,6,3,2,0,12,22,46,9,9,2.383033419023137,0.4162234384848105,-0.0117999999999999,MTL @ FLA
10084,10,S10,6,1,0,3,6,6,0,7,10,0,4,4,6,2,1,0,10,16,47,5,5,-1.616966580976863,0.0162234384848106,-0.0735999999999999,OAK @ MIN
10085,10,S10,6,3,2,3,4,4,1,7,5,0,6,8,8,2,0,0,12,28,50,7,7,-0.2185089974293054,0.1634825341971704,0.3590000000000001,CWS @ NYY
10086,10,S10,6,5,2,2,5,5,0,8,9,0,4,4,8,0,1,0,14,35,52,13,13,6.383033419023137,0.8347567818788207,0.295,SEA @ PHI
10087,10,S10,6,2,3,1,4,2,0,15,4,0,3,7,4,2,1,1,10,23,45,6,6,-1.218508997429305,0.0523625281607643,-0.3497999999999999,SFG @ SDP
10088,10,S10,6,3,1,2,6,5,0,9,8,0,5,5,7,0,3,2,12,25,51,5,5,-2.2185089974293053,-0.0142774537300174,-0.3154,LAD @ STL
10089,10,S10,6,2,0,1,5,2,0,10,7,0,4,4,9,1,1,1,8,15,44,5,5,-2.2185089974293053,-0.0513441405180376,-0.1731999999999999,ANA @ TEX
10090,10,S10,6,2,1,4,4,6,0,11,7,0,6,6,5,1,6,0,11,23,52,8,8,0.7814910025706947,0.2931358836275866,-0.0498,TBR @ TOR
10091,10,S10,7,2,0,3,7,6,0,3,18,0,9,4,3,1,1,2,12,21,55,3,3,-5.048283019523378,-0.2898415185818207,-0.6795999999999998,OAK @ ANA
10092,10,S10,7,2,4,6,3,9,0,10,12,0,5,9,10,2,2,0,15,35,70,10,10,0.375321336760926,0.304412278549838,0.8827999999999998,LAD @ ARI
10093,10,S10,7,2,1,2,8,10,0,5,11,0,2,5,6,4,0,0,13,23,52,6,6,-0.6169665809768633,0.1310501132000187,-0.0774,NYM @ CHC
10094,10,S10,7,0,1,3,7,4,0,5,5,0,8,7,7,1,0,0,11,16,47,3,3,-3.616966580976864,-0.1874832301939914,-0.5124000000000002,MIN @ CWS
10095,10,S10,7,3,0,3,9,4,0,5,13,0,2,5,9,2,0,0,15,27,53,8,8,0.7814910025706947,0.2746025402335766,0.1912,COL @ CIN
10096,10,S10,7,5,1,1,5,3,0,9,6,0,6,5,7,1,2,2,12,30,48,9,9,1.7814910025706947,0.3708958715547745,0.4609999999999997,BAL @ CLE
10097,10,S10,7,1,3,0,4,5,0,12,7,0,3,4,3,2,0,2,8,17,42,4,4,-2.616966580976863,-0.0986032362303974,-0.2872,KCR @ DET
10098,10,S10,7,4,0,2,9,4,0,8,6,0,8,3,5,1,4,2,15,29,49,10,10,3.3830334190231373,0.5384634505576227,0.4974,STL @ MIL
10099,10,S10,7,0,1,2,9,1,0,6,3,0,5,9,6,3,0,1,12,16,42,3,2,-3.616966580976863,-0.2023099049091994,-0.4872000000000001,TEX @ MTL
10100,10,S10,7,0,0,1,10,7,0,11,7,0,7,9,3,3,2,1,11,12,55,3,3,-4.949646635614718,-0.2799778801909546,-0.9747999999999996,FLA @ PHI
10101,10,S10,7,3,4,4,5,7,1,12,12,0,5,10,6,1,3,0,16,37,68,11,11,2.2293985899798106,0.4861133351929244,0.9438000000000002,ATL @ SDP
10102,10,S10,7,0,0,4,6,0,0,13,6,0,1,9,4,0,1,0,10,14,43,2,2,-4.616966580976864,-0.2986032362303975,-0.5604,PIT @ SFG
10103,10,S10,7,6,3,3,3,4,0,4,11,0,4,7,5,0,0,2,15,42,50,12,12,5.383033419023136,0.7310501132000187,0.7839999999999999,HOU @ SEA
10104,10,S10,7,1,1,3,11,3,0,7,7,0,6,8,4,2,0,2,16,24,51,7,7,-0.218508997429305,0.1746025402335765,-0.018,BOS @ TBR
10105,10,S10,7,6,1,5,11,5,0,16,13,0,8,3,10,2,3,1,23,48,78,15,15,4.344458726078264,0.738392704269592,2.0526,NYY @ TOR
10106,10,S10,8,3,0,1,6,3,0,12,4,0,9,1,5,2,4,0,10,20,44,6,6,-0.6169665809768632,0.1162234384848105,-0.1087999999999999,PIT @ ANA
10107,10,S10,8,3,1,3,5,10,0,4,9,0,3,8,5,2,3,0,12,26,51,9,9,2.949173929399963,0.4950775015953053,0.6708000000000003,COL @ BAL
10108,10,S10,8,1,1,3,6,3,1,12,11,0,6,6,8,3,0,1,11,19,57,3,3,-6.260375484754967,-0.4110507651049794,-0.5947999999999998,SFG @ BOS
10109,10,S10,8,0,1,3,12,8,0,9,6,0,6,4,5,2,1,1,16,21,54,9,9,2.3830334190231364,0.4458767879152268,0.2256,FLA @ CWS
10110,10,S10,8,3,1,3,5,5,0,10,4,0,4,7,7,2,1,2,12,26,49,9,9,1.781491002570695,0.3708958715547745,0.6021999999999998,PHI @ CLE
10111,10,S10,8,5,0,5,7,3,0,10,11,0,2,5,7,1,1,0,17,37,55,9,9,1.7814910025706951,0.3857225462699825,0.6282000000000005,NYM @ DET
10112,10,S10,8,2,2,3,12,6,0,7,6,0,9,5,5,2,1,2,19,32,57,9,9,1.7814910025706947,0.4005492209851906,0.4476,STL @ HOU
10113,10,S10,8,1,0,6,7,4,0,8,9,0,6,4,8,1,1,0,14,23,53,7,7,-0.2185089974293053,0.1783092089123785,0.1518,ATL @ KCR
10114,10,S10,8,6,1,2,8,4,0,10,12,0,3,9,8,0,0,0,17,39,63,11,11,2.5784061696658105,0.4913607437311083,0.3559999999999999,MTL @ MIN
10115,10,S10,8,5,2,6,14,6,0,5,8,0,5,5,8,5,2,0,27,52,64,20,20,12.781491002570696,1.5227892330580026,0.9294000000000002,LAD @ NYY
10116,10,S10,8,1,0,1,5,3,0,7,2,0,1,12,9,3,1,2,7,11,41,1,1,-6.218508997429305,-0.4587574778756417,-0.8854000000000001,MIL @ OAK
10117,10,S10,8,0,0,1,5,3,0,8,12,0,4,6,1,2,0,0,6,7,40,1,1,-5.616966580976864,-0.4134299109456055,-0.7504000000000001,CHC @ SEA
10118,10,S10,8,4,1,5,7,4,0,9,9,0,6,3,5,1,0,0,17,36,53,14,14,7.383033419023137,0.9347567818788208,0.9357999999999996,ARI @ TBR
10119,10,S10,8,6,1,4,10,3,0,9,7,0,7,2,7,1,1,0,21,45,56,14,14,7.383033419023137,0.9495834565940288,1.1196000000000004,CIN @ TEX
