OBC,Outs,RunExpectancy
0,0,0.590793918918919
0,1,0.4001085776330076
0,2,0.18647406434668418
1,0,0.8480492813141683
1,1,0.6122082585278277
1,2,0.3979763912310287
2,0,1.0444444444444445
2,1,0.8244514106583072
2,2,0.40153452685422
3,0,1.4102564102564104
3,1,0.9166666666666666
3,2,0.35772357723577236
4,0,1.3097345132743363
4,1,1.0099502487562189
4,2,0.6100917431192661
5,0,1.4137931034482758
5,1,1.1929824561403508
5,2,0.4827586206896552
6,0,1.9411764705882353
6,1,1.280701754385965
6,2,0.27586206896551724
7,0,2.0
7,1,1.797752808988764
7,2,0.8918918918918919
