win,loss,save,holds,Season,Game ID
394,22,,[],S4,1
250,372,,[],S4,2
227,310,258.0,[],S4,3
129,524,,[],S4,4
92,320,,[],S4,5
112,217,,[np.int64(111)],S4,6
268,413,2.0,[],S4,7
195,252,,[],S4,8
669,517,,[],S4,9
175,37,20.0,[],S4,10
352,275,,[],S4,11
188,305,,[],S4,12
76,211,,[],S4,13
336,253,345.0,[],S4,14
165,331,478.0,[],S4,15
375,93,250.0,[],S4,16
395,413,,[],S4,17
21,2,471.0,[],S4,18
150,373,,[],S4,19
166,321,,[],S4,20
20,653,,[np.int64(20)],S4,21
342,517,,[],S4,22
258,217,,[],S4,23
109,39,124.0,[],S4,24
59,218,,[],S4,25
285,562,,[],S4,26
391,5,,[],S4,27
75,353,,[],S4,28
361,198,,[],S4,29
337,164,,[],S4,30
585,251,,[],S4,31
195,395,,[],S4,32
481,42,,[],S4,33
227,94,,[],S4,35
413,149,,[],S4,36
524,3,610.0,[np.int64(524)],S4,37
495,112,,[],S4,38
131,74,165.0,[],S4,39
669,535,284.0,[],S4,40
19,217,253.0,[np.int64(201)],S4,42
235,196,,[],S4,43
336,70,,[],S4,44
331,361,,[],S4,45
716,394,,[],S4,47
310,22,4.0,[np.int64(166)],S4,48
127,76,,[],S4,49
93,474,,[],S4,50
2,251,,[],S4,51
610,320,524.0,[],S4,52
646,218,,[],S4,53
188,284,,[],S4,55
58,562,636.0,[],S4,56
392,234,,[],S4,57
211,600,,[],S4,58
478,39,165.0,[np.int64(164)],S4,59
337,708,,[],S4,60
20,130,250.0,[],S4,61
92,395,93.0,[],S4,62
21,164,,[],S4,63
373,195,716.0,[],S4,64
481,2,,[],S4,65
495,149,,[],S4,66
150,713,,[],S4,67
646,112,,[],S4,68
252,37,38.0,[],S4,69
604,285,,[],S4,70
636,517,,[],S4,71
197,352,253.0,[np.int64(197)],S4,72
275,70,,[],S4,73
270,75,331.0,[],S4,74
624,336,,[],S4,75
718,149,,[],S4,76
605,394,,[],S4,77
585,109,471.0,[],S4,78
342,42,,[],S4,79
687,166,524.0,[],S4,80
3,413,,[],S4,81
92,337,,[],S4,82
714,669,,[],S4,83
268,713,2.0,[],S4,84
219,535,,[],S4,85
182,391,,[],S4,86
5,517,,[],S4,87
352,131,,[],S4,88
304,39,,[],S4,89
321,600,331.0,[],S4,90
250,395,,[],S4,91
22,716,,[],S4,92
310,111,4.0,[np.int64(481)],S4,93
220,610,,[],S4,95
258,495,,[],S4,96
148,646,714.0,[np.int64(474)],S4,97
2,58,,[],S4,98
218,527,,[],S4,99
37,76,,[],S4,101
337,392,345.0,[],S4,102
59,600,,[],S4,103
275,181,,[],S4,104
211,478,,[],S4,105
166,395,4.0,[np.int64(166)],S4,106
21,413,,[],S4,107
716,211,373.0,[],S4,108
130,342,,[],S4,109
220,93,,[],S4,110
524,391,,[],S4,111
227,253,713.0,[np.int64(66)],S4,113
285,74,,[],S4,114
562,196,,[],S4,115
517,331,,[],S4,116
188,233,605.0,[],S4,117
20,361,,[],S4,118
336,75,,[],S4,119
131,195,250.0,[],S4,120
375,22,250.0,[np.int64(131)],S4,121
345,394,,[],S4,122
42,112,,[],S4,123
342,310,,[],S4,124
127,149,,[],S4,125
150,94,,[],S4,126
646,713,,[],S4,127
714,2,474.0,[np.int64(279)],S4,128
182,218,,[],S4,129
286,234,,[],S4,130
