OBC,Outs,RunExpectancy
0,0,0.664544235924933
0,1,0.4112612612612613
0,2,0.19193548387096773
1,0,0.8932496075353218
1,1,0.6304023845007451
1,2,0.3914835164835165
2,0,1.1978891820580475
2,1,0.8254901960784313
2,2,0.42736486486486486
3,0,1.5064935064935066
3,1,1.0583941605839415
3,2,0.45454545454545453
4,0,1.4322580645161291
4,1,1.1821862348178138
4,2,0.5967741935483871
5,0,1.9636363636363636
5,1,1.2149532710280373
5,2,0.5810055865921788
6,0,2.227272727272727
6,1,1.2203389830508475
6,2,0.6170212765957447
7,0,2.296875
7,1,1.5
7,2,0.8314606741573034
