OBC,Outs,RunExpectancy
0,0,0.572987721691678
0,1,0.35733819507748404
0,2,0.1769768692845616
1,0,0.8624595469255664
1,1,0.6038575667655787
1,2,0.376158940397351
2,0,1.002857142857143
2,1,0.6763285024154589
2,2,0.3875968992248062
3,0,1.4385964912280702
3,1,0.9452054794520548
3,2,0.45989304812834225
4,0,1.467065868263473
4,1,0.926530612244898
4,2,0.6705882352941176
5,0,1.2
5,1,0.9156626506024096
5,2,0.45614035087719296
6,0,1.8431372549019607
6,1,1.3736263736263736
6,2,0.7
7,0,2.298507462686567
7,1,1.452991452991453
7,2,0.956989247311828
