G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
6.0,28.333333333333332,110.0,19.0,9.0,13.0,1.0,21.0,1.0,1.9058823529411766,1.1294117647058823,248.57798165137615,S4,59,1.6515713134568895,29.0,195,4.0,4.0,2.0,1.0,3,2,0,0
1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,296.6666666666667,S4,66,2.298630136986301,1.0,0,,,,,0,0,0,1
6.0,16.0,75.0,31.0,12.0,3.0,0.0,6.0,4.0,4.5,2.125,222.13253012048193,S4,70,4.361130136986301,16.0,44,4.0,2.0,1.0,0.0,0,3,0,0
8.0,26.666666666666668,112.0,21.0,19.0,18.0,0.0,39.0,6.0,4.2749999999999995,1.4625,250.5391304347826,S4,74,3.323630136986301,27.0,111,7.0,2.0,1.0,1.0,1,3,1,0
6.0,31.333333333333332,139.0,43.0,26.0,11.0,0.0,25.0,9.0,4.9787234042553195,1.723404255319149,226.87412587412587,S4,75,4.490119498688429,30.333333333333332,79,6.0,6.0,6.0,0.0,2,3,0,0
5.0,28.0,110.0,20.0,14.0,9.0,2.0,16.0,10.0,3.0,1.0357142857142858,257.4954128440367,S4,76,5.762915851272016,28.0,110,5.0,4.0,4.0,1.0,3,2,0,0
3.0,8.0,34.0,8.0,3.0,5.0,0.0,8.0,0.0,2.25,1.625,258.8611111111111,S4,91,1.1736301369863011,8.333333333333334,128,0.0,1.0,0.0,0.0,1,0,0,1
10.0,27.666666666666668,117.0,26.0,11.0,12.0,0.0,29.0,5.0,2.3855421686746987,1.3734939759036144,263.91525423728814,S4,92,2.852847004456181,29.333333333333332,132,5.0,5.0,1.0,0.0,4,0,0,0
10.0,38.0,169.0,32.0,23.0,26.0,1.0,30.0,2.0,3.6315789473684212,1.5263157894736843,248.63473053892216,S4,93,2.4565248738284065,40.0,103,4.0,7.0,1.0,0.0,3,3,1,0
8.0,24.0,102.0,28.0,15.0,5.0,0.0,15.0,8.0,3.75,1.375,248.1238095238095,S4,94,5.006963470319635,24.333333333333332,77,7.0,3.0,2.0,0.0,0,4,0,0
1.0,2.0,17.0,6.0,9.0,7.0,3.0,0.0,1.0,27.0,6.5,213.57142857142858,S4,108,18.2986301369863,2.6666666666666665,30,,,,,0,0,0,0
9.0,34.666666666666664,143.0,38.0,21.0,9.0,0.0,18.0,13.0,3.634615384615385,1.3557692307692308,242.04225352112675,S4,109,5.9140147523709174,34.666666666666664,88,7.0,3.0,2.0,1.0,2,3,0,0
8.0,19.0,87.0,28.0,18.0,5.0,0.0,18.0,10.0,5.684210526315789,1.736842105263158,244.8181818181818,S4,111,7.035472242249458,20.0,56,3.0,1.0,1.0,1.0,1,2,0,1
10.0,23.0,111.0,32.0,22.0,14.0,0.0,38.0,9.0,5.739130434782608,2.0,235.24778761061947,S4,112,4.907325789160215,24.666666666666668,66,5.0,5.0,1.0,0.0,1,4,0,0
3.0,7.333333333333333,27.0,7.0,2.0,1.0,0.0,0.0,0.0,1.6363636363636365,1.090909090909091,310.89285714285717,S4,117,1.7077210460772103,8.0,239,0.0,2.0,0.0,0.0,0,0,0,0
