G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,Season,Hitter ID
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,S2,-240
1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,327.6666666666667,0.0,0.0,S2,-239
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,S2,-238
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,432.5,0.0,0.0,S2,-237
3.0,7.0,7.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.0,266.0,0.2857142857142857,0.7142857142857143,S2,-236
3.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.125,0.125,0.125,0.25,290.5,0.125,0.125,S2,-235
3.0,6.0,6.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.5,0.5,1.5,2.0,164.4,0.5,1.5,S2,-234
3.0,9.0,9.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,286.0,0.2222222222222222,0.3333333333333333,S2,-233
1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,226.0,0.3333333333333333,1.3333333333333333,S2,-232
3.0,7.0,7.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.2857142857142856,185.16666666666666,0.42857142857142855,0.8571428571428571,S2,-231
3.0,6.0,6.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6666666666666666,1.1666666666666665,247.83333333333334,0.5,0.6666666666666666,S2,-230
2.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.75,1.25,191.66666666666666,0.5,0.75,S2,-229
6.0,14.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.4166666666666667,0.8452380952380952,237.28571428571428,0.42857142857142855,0.4166666666666667,S2,-228
6.0,18.0,17.0,6.0,3.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.35294117647058826,0.3888888888888889,0.47058823529411764,0.8594771241830066,217.94117647058823,0.3888888888888889,0.47058823529411764,S2,-227
6.0,15.0,14.0,8.0,3.0,1.0,0.0,2.0,7.0,1.0,2.0,0.0,0.0,0.5714285714285714,0.6,1.0714285714285714,1.6714285714285713,178.53333333333333,0.6,1.0714285714285714,S2,-226
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,S2,-225
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,S2,-224
3.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,134.66666666666666,0.3333333333333333,0.3333333333333333,S2,-223
4.0,11.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.4444444444444444,0.5454545454545454,0.4444444444444444,0.9898989898989898,222.54545454545453,0.5454545454545454,0.4444444444444444,S2,-222
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,S2,-221
3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.2,0.4,319.25,0.2,0.2,S2,-220
5.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.2,0.2,0.4,230.5,0.2,0.2,S2,-219
2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,251.0,0.2,0.2,S2,-218
2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,304.1666666666667,0.16666666666666666,0.0,S2,-217
7.0,17.0,16.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.125,0.17647058823529413,0.25,0.42647058823529416,316.75,0.17647058823529413,0.25,S2,-216
2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,199.0,0.3333333333333333,0.6666666666666666,S2,-215
2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,237.66666666666666,0.3333333333333333,0.6666666666666666,S2,-214
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,S2,-213
6.0,14.0,13.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.3076923076923077,0.35714285714285715,0.5384615384615384,0.8956043956043955,261.2142857142857,0.35714285714285715,0.5384615384615384,S2,-212
3.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,353.14285714285717,0.14285714285714285,0.14285714285714285,S2,-211
7.0,19.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.13333333333333333,0.3157894736842105,0.13333333333333333,0.4491228070175438,278.63157894736844,0.3157894736842105,0.13333333333333333,S2,-210
3.0,9.0,8.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.25,0.3333333333333333,0.625,0.9583333333333333,206.44444444444446,0.3333333333333333,0.625,S2,-209
1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,249.66666666666666,0.3333333333333333,0.3333333333333333,S2,-208
