G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
4,10,10,2,1,0,1,1,0,5,2,0,0,2,0,0,0,0,0,1,1,3,2,0,0,0.2,0.2,0.5,0.7,0.3,0.25,,0.0,0.2,0.0,0.7142857142857143,0.2857142857142857,2.5,293.7,0.2,0.5,-1.0772377766689454,-0.15939999999999996,5,2,BP,10,10,2,5,0,0,0,S5,1,False,TAC,TAC,-0.0730654300770787
7,19,17,3,2,1,0,0,2,9,5,2,0,7,0,0,0,0,0,0,1,0,3,3,0,0.17647058823529413,0.2631578947368421,0.5294117647058824,0.7925696594427245,0.3529411764705882,0.125,,0.10526315789473684,0.3684210526315789,0.10526315789473684,0.14285714285714285,0.8571428571428571,0.16666666666666666,254.22222222222223,0.2631578947368421,0.5294117647058824,0.34325797552447235,-0.2844,1,6,BP,19,17,3,9,2,0,0,S5,2,False,KTY,KTY,0.10017665797309731
6,17,16,2,2,0,0,1,1,7,1,1,0,3,0,0,0,0,0,0,3,2,4,2,0,0.125,0.17647058823529413,0.4375,0.6139705882352942,0.3125,0.08333333333333333,,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.45454545454545453,0.5454545454545454,0.8333333333333334,236.52941176470588,0.11764705882352941,0.35294117647058826,-1.5344965103100936,-0.13353800000000002,5,6,MH,17,17,2,6,0,0,0,S5,4,False,TAI,TAI,-0.09453046012832245
4,11,10,3,3,1,2,0,0,5,1,1,0,5,1,0,0,0,0,0,0,0,2,0,0,0.3,0.36363636363636365,0.5,0.8636363636363636,0.2,0.6,,0.0,0.45454545454545453,0.09090909090909091,0.0,1.0,0.0,205.2,0.36363636363636365,0.5,-1.0761283256227456,-0.053700000000000005,0,2,BP,11,10,3,5,1,0,0,S5,6,False,GTY,GTY,-0.06948865021347714
2,6,6,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.2,,0.0,0.16666666666666666,0.0,0.8,0.2,4.0,319.0,0.16666666666666666,0.3333333333333333,-0.9844918115666265,-0.14700000000000002,4,1,1B,6,6,1,2,0,0,0,S5,10,False,PPP,PPP,-0.07765417260277314
3,6,6,2,0,1,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.6666666666666666,,0.0,0.5,0.0,1.0,0.0,,246.66666666666666,0.3333333333333333,0.4,-0.21170392861062926,-0.0242,1,0,WC,6,5,1,2,1,0,0,S5,13,False,2TM,POR,-0.00037538430717342643
2,4,4,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.0,0.5,,0.0,0.5,0.0,1.0,0.0,,281.0,0.25,0.0,-0.6144777653099441,-0.0343,1,0,WC,4,3,0,0,1,0,0,S5,13,True,NUL,NUL,-0.04758443749506808
1,2,2,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,178.0,0.5,1.0,0.40277383669931494,0.010100000000000001,0,0,WC,2,2,1,2,0,0,0,S5,13,True,POR,POR,0.04720905318789466
6,15,14,3,4,1,0,0,2,9,5,1,0,7,1,0,0,0,0,0,1,2,1,0,0,0.21428571428571427,0.26666666666666666,0.6428571428571429,0.9095238095238096,0.4285714285714286,0.2,,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.75,0.25,3.0,261.0,0.26666666666666666,0.6428571428571429,1.2814000118598843,0.023900000000000025,3,1,TT,15,14,3,9,1,0,0,S5,14,False,PHB,PHB,0.18012752257071218
11,25,22,3,4,1,0,1,1,8,2,3,0,6,0,0,0,0,0,1,2,2,7,2,0,0.13636363636363635,0.24,0.36363636363636365,0.6036363636363636,0.2272727272727273,0.13333333333333333,,0.04,0.24,0.12,0.35714285714285715,0.6428571428571429,0.5555555555555556,242.6,0.24,0.36363636363636365,-3.1211624617824074,-0.194891,5,9,BP,25,22,3,8,3,0,0,S5,16,False,KRB,KRB,-0.22547037720370114
