G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,3,3,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,1.0,0.0,183.0,0.6666666666666666,0.6666666666666666,1.2002587717702708,0.15230000000000002,0,1,BC,3,3,2,2,0,0,0,S12,81.0,False,COL,COL,2,0.13226603639861045
2,6,5,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.0,0.25,,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,247.16666666666666,0.3333333333333333,0.2,0.002042434764716966,-0.010599999999999998,1,2,1B,6,5,1,1,1,0,0,S12,82.0,False,COL,COL,3,0.02468456191963844
1,2,2,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,151.0,0.5,1.0,0.3409903435058234,-0.01589999999999999,0,0,BP,2,2,1,2,0,0,0,S12,84.0,False,COL,COL,2,0.042259140498304586
3,7,6,1,1,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.9523809523809523,0.5,0.0,,0.14285714285714285,0.0,0.14285714285714285,0.4,0.6,0.6666666666666666,271.42857142857144,0.2857142857142857,0.6666666666666666,0.6603082131197633,0.07780000000000001,2,3,EN,7,6,1,4,1,0,0,S12,89.0,False,COL,COL,3,0.09459119282900419
2,6,5,1,2,0,0,0,1,4,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.0,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,249.66666666666666,0.3333333333333333,0.8,-0.022098859032122442,0.22340000000000002,2,1,TT,6,5,1,4,1,0,0,S12,91.0,False,SDP,SDP,2,0.022270432539954498
2,6,4,1,1,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0.25,0.5,0.5,1.0,0.25,0.3333333333333333,,0.0,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,225.33333333333334,0.5,0.5,1.1694364880455106,0.017200000000000014,1,1,WC,6,4,1,2,2,0,0,S12,93.0,False,ARI,ARI,2,0.1414239672477178
2,6,5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0.2,0.16666666666666666,0.2,0.3666666666666667,0.0,0.16666666666666666,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,297.5,0.16666666666666666,0.16666666666666666,-1.237777574440425,-0.0671,2,4,SM,6,6,1,1,0,0,0,S12,99.0,False,DET,DET,3,-0.09929743900087576
3,8,6,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,2,1,0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.3333333333333333,303.44444444444446,0.25,0.0,-2.496410399575232,-0.15089999999999998,1,3,BN,8,6,0,0,2,0,0,S12,104.0,False,DET,DET,3,-0.21700061536663423
3,10,10,3,0,2,1,0,0,4,2,0,0,4,0,1,0,0,0,0,1,1,0,1,0,0.3,0.3,0.4,0.7,0.10000000000000003,0.5,1.0,0.0,0.4,0.0,0.6666666666666666,0.3333333333333333,2.0,269.1818181818182,0.3,0.4,-1.0336269556642086,0.046900000000000004,2,1,BC,10,10,3,4,0,0,0,S12,108.0,False,HOU,HOU,3,-0.06256216482780963
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,331.5,0.0,0.0,-1.1188024408848207,-0.1416,0,1,BP,2,2,0,0,0,0,0,S12,109.0,False,HOU,HOU,2,-0.10372013794075982
