G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
1,3,2,0,0.0,0,0,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,,325.0,0.3333333333333333,0.0,-1.179668247647018,0.0,1,0,XB,S3,27.0,False,BER,BER,-0.1061803771260981
3,8,6,2,3.0,0,1,1,0,5,1.0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0.3333333333333333,0.5,0.8333333333333334,1.3333333333333335,0.5,0.3333333333333333,,0.0,0.0,0.25,0.25,0.75,0.3333333333333333,202.375,0.5,0.8333333333333334,0.9493911387457836,0.0,1,3,S,S3,28.0,False,BER,BER,0.12636964091085487
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,396.0,0.0,0.0,-0.7844311377245509,0.0,1,1,BC,S3,29.0,False,BER,BER,-0.07058548201338596
2,5,5,2,1.0,1,1,0,0,3,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.4,0.4,0.6,1.0,0.19999999999999996,0.5,,0.0,0.2,0.0,0.5,0.5,1.0,244.2,0.4,0.6,-0.3353052518452646,0.0,1,1,XB,S3,30.0,False,BER,BER,-0.013886445786853639
4,11,10,5,2.0,3,2,0,0,7,2.0,1,0,2,1,0,0,0,0,0,1,0,1,1,0,0.5,0.5454545454545454,0.7,1.2454545454545454,0.19999999999999996,0.625,,0.0,0.18181818181818182,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.5,198.1,0.5454545454545454,0.7,2.185285567054819,0.0,1,2,BN,S3,31.0,False,2TM,BER,0.2617455313803621
1,2,2,1,1.0,1,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,231.5,0.5,0.5,0.02181509442785745,0.0,0,0,BN,S3,31.0,True,SCB,SCB,0.010039141201854875
3,9,8,4,1.0,2,2,0,0,6,2.0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0.5,0.5555555555555556,0.75,1.3055555555555556,0.25,0.5714285714285714,,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5,189.75,0.5555555555555556,0.75,2.163470472626962,0.0,1,2,BN,S3,31.0,True,BER,BER,0.25170639017850727
4,10,9,2,2.0,0,0,0,2,8,2.0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0.2222222222222222,0.3,0.8888888888888888,1.1888888888888889,0.6666666666666666,0.0,,0.2,0.3,0.1,0.25,0.75,0.3333333333333333,245.9,0.3,0.8888888888888888,-1.105317372057633,0.0,1,3,BP,S3,32.0,False,BER,BER,-0.07124357841041766
2,4,4,0,0.0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,0.0,0.0,1.0,0.0,320.25,0.0,0.0,-1.2553239390874935,0.0,0,1,BP,S3,35.0,False,BER,BER,-0.1098171303906111
7,17,15,7,7.0,0,3,0,4,22,9.0,2,0,6,0,0,0,0,0,1,0,1,0,0,0,0.4666666666666667,0.5294117647058824,1.4666666666666666,1.996078431372549,0.9999999999999999,0.6,,0.23529411764705882,0.35294117647058826,0.11764705882352941,1.0,0.0,,224.0,0.5294117647058824,1.4666666666666666,4.416991558580006,0.0,2,0,WC,S3,36.0,False,CIN,CIN,0.5084890258100881
1,1,1,1,0.0,1,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,130.0,1.0,1.0,1.045775116433799,0.0,0,0,SM,S3,37.0,False,CIN,CIN,0.10850632752291448
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,0.0,0.0,-0.4127265830330289,0.0,0,0,BC,S3,38.0,False,CIN,CIN,-0.03734384242376833
1,2,1,0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,1.0,0.0,,278.5,0.5,0.0,0.3654061078896559,0.0,1,0,1B,S3,39.0,False,CIN,CIN,0.04439824254803472
3,5,3,2,3.0,0,1,0,1,6,2.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.6,2.0,2.6,1.3333333333333335,0.5,,0.2,0.2,0.2,0.0,1.0,0.0,167.75,0.6,2.0,0.8002051543131498,0.0,0,1,BP,S3,40.0,False,CIN,CIN,0.09966459482898779
1,2,2,2,2.0,0,0,2,0,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,1.0,,0.0,0.0,0.0,,,,44.5,1.0,3.0,3.7683192355889723,0.0,0,0,BC,S3,41.0,False,CIN,CIN,0.3846895553179664
5,18,14,7,7.0,4,2,0,1,12,4.0,4,0,3,0,0,0,0,0,0,1,0,3,0,0,0.5,0.6111111111111112,0.8571428571428571,1.4682539682539684,0.3571428571428571,0.6,,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.25,0.75,0.3333333333333333,178.66666666666666,0.6111111111111112,0.8571428571428571,4.861410236355476,0.0,1,3,TT,S3,42.0,False,CIN,CIN,0.5568597094671698
