G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
2,3.6666666666666665,19,6,5,5,3,0,0,2,1,2,2,1,2,3,0,8.181818181818182,2.4545454545454546,9.818181818181818,1.6363636363636367,4.909090909090909,3.2727272727272734,0.6666666666666666,0.375,0.47368421052631576,0.75,1.2236842105263157,0.38461538461538464,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.4444444444444444,0.5555555555555556,0.8,208.15,1.8394808743169397,-0.35960000000000003,16,0,0,3,0,4,5,1,0,1.0,FP-S,S12,166,False,SFG,SFG,2,6.4728891286754795,3.6666666666666665,78,1.714419353425455,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.10510193358554014
1,1.6666666666666667,9,4,3,3,0,0,0,1,2,2,1,1,1,1,0,10.799999999999999,2.4,14.399999999999999,7.199999999999999,0.0,3.5999999999999996,,0.4444444444444444,0.4444444444444444,1.1111111111111112,1.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.5,0.5,1.0,208.1,1.8667695851405328,-0.07419999999999999,9,0,0,0,0,2,2,1,0,1.0,EN-S,S12,198,False,ATL,ATL,2,15.963798219584568,1.6666666666666667,301,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.14932878037640146
1,1.6666666666666667,9,4,4,4,0,0,0,4,3,1,0,1,0,0,0,14.399999999999999,2.4,14.399999999999999,10.799999999999999,0.0,14.399999999999999,,0.4444444444444444,0.4444444444444444,1.4444444444444444,1.8888888888888888,0.5,0.3333333333333333,0.4444444444444444,0.0,1.0,0.0,,223.33333333333334,3.0272887539651396,-0.010700000000000001,9,0,0,0,0,1,0,0,0,,BS-B,S12,258,False,ATL,ATL,2,20.163798219584567,2.3333333333333335,286,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.26538069725886215
1,5.0,25,7,4,4,4,0,0,9,2,4,1,1,2,1,0,4.8,2.2,8.399999999999999,2.4000000000000004,4.800000000000001,10.8,2.25,0.3333333333333333,0.44,0.6666666666666666,1.1066666666666667,0.5,0.08,0.36,0.16,0.4,0.6,0.6666666666666666,199.44444444444446,0.8306010928961745,-0.3992,21,0,0,1,0,2,3,1,1,0.5,TT-S,S12,270,False,CIN,CIN,1,5.563798219584569,4.666666666666667,174,4.865470852017937,1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.02068482998163761
2,8.333333333333334,37,9,2,2,4,0,0,4,0,4,2,4,8,6,0,1.44,1.5599999999999998,6.479999999999999,0.0,2.88,2.88,1.0,0.28125,0.35135135135135137,0.46875,0.8201013513513513,0.3103448275862069,0.0,0.10810810810810811,0.10810810810810811,0.3333333333333333,0.6666666666666666,0.5,252.8684210526316,-1.4547958431485672,0.16600000000000004,32,1,0,4,1,7,14,1,0,1.0,FP-S,S12,275,False,SDP,SDP,2,2.04379821958457,8.333333333333334,84,4.182333999581748,1.0,0.0,0.0,0.0,1,0,0,0,1.0,0.2990220944363142
1,0.6666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,204.0,-0.6265245388542549,0.0284,2,0,0,0,0,0,2,0,0,,BF-S,S12,290,False,LAD,LAD,1,1.5637982195845699,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.07095204902712589
2,1.6666666666666667,14,6,7,7,4,0,0,2,2,1,1,0,1,0,0,25.2,6.0,21.599999999999998,7.199999999999999,14.399999999999999,7.199999999999999,0.5,0.6666666666666666,0.7142857142857143,1.6666666666666667,2.380952380952381,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.3333333333333333,2.0,137.35714285714286,6.2457539506719835,-0.4863,9,1,0,3,0,2,1,0,0,,WC-S,S12,301,False,CLE,CLE,2,21.963798219584568,2.0,616,7.378984365531451,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.5664782290752954
1,3.3333333333333335,15,4,2,2,1,0,0,6,1,3,2,0,2,0,0,3.5999999999999996,1.5,7.199999999999999,1.7999999999999998,1.7999999999999998,10.799999999999999,6.0,0.2857142857142857,0.3333333333333333,0.5,0.8333333333333333,0.42857142857142855,0.06666666666666667,0.4,0.06666666666666667,0.5,0.5,1.0,227.9375,-0.5355191256830598,-0.1593,14,0,0,0,0,2,2,1,0,1.0,TT-H,S12,310,False,PHI,PHI,2,2.7637982195845696,3.3333333333333335,117,2.3317861715749038,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11579887613105902
1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,401.0,-1.65,0.2623,1,0,0,0,0,2,0,0,0,,NH-S,S12,331,False,SDP,SDP,1,1.5637982195845699,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.1691497975708502
1,4.0,15,3,2,2,1,0,0,3,2,1,1,1,2,4,0,3.0,1.0,4.5,3.0,1.5,4.5,3.0,0.21428571428571427,0.26666666666666666,0.6428571428571429,0.9095238095238096,0.1111111111111111,0.13333333333333333,0.2,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.5,246.8,-0.5355191256830601,0.01200000000000001,14,0,0,0,0,3,6,0,0,,BS-H,S12,337,False,TOR,TOR,1,7.313798219584569,4.0,84,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11579887613105906
1,2.3333333333333335,11,4,2,2,0,0,0,2,2,2,0,2,2,1,0,5.142857142857142,1.7142857142857142,10.285714285714285,5.142857142857142,0.0,5.142857142857142,,0.36363636363636365,0.36363636363636365,0.9090909090909091,1.2727272727272727,0.2857142857142857,0.18181818181818182,0.18181818181818182,0.0,0.4,0.6,0.6666666666666666,242.72727272727272,1.28354584092289,-0.15649999999999997,11,0,0,0,0,2,3,0,0,,FP-S,S12,361,False,PIT,PIT,1,10.992369648155998,2.3333333333333335,162,2.26273022751896,0.0,0.0,0.0,0.0,1,0,0,0,1.0,-0.08270681081293677
2,2.3333333333333335,8,3,2,2,1,0,0,1,0,2,1,0,1,1,0,5.142857142857142,1.7142857142857142,7.7142857142857135,0.0,2.571428571428571,2.571428571428571,1.0,0.42857142857142855,0.5,0.5714285714285714,1.0714285714285714,0.5,0.0,0.125,0.125,0.5,0.5,1.0,219.27272727272728,-1.2325702751932262,0.11479999999999999,7,0,0,1,0,2,2,1,2,0.3333333333333333,TT-S,S12,371,False,ANA,ANA,2,1.9923696481559985,3.0,36,0.6538132928193944,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15645540808612424
1,2.0,9,1,0,0,2,0,0,0,0,1,1,2,3,0,0,0.0,1.5,3.0,0.0,6.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.47619047619047616,0.14285714285714285,0.0,0.0,0.2222222222222222,0.5,0.5,1.0,257.55555555555554,-1.2677595628415301,0.0071,7,0,0,0,0,3,3,0,0,,EG-H,S12,378,False,PHI,PHI,1,4.563798219584569,2.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.16412413442180482
1,1.3333333333333333,6,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0.0,1.5,4.5,0.0,4.5,4.5,1.0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.25,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,279.8333333333333,-1.1473932949342784,0.07949999999999999,5,0,0,0,0,1,2,0,0,,WC-S,S12,392,False,TBR,TBR,1,2.31379821958457,2.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1.0,0.13963811491852907
1,2.0,11,3,4,4,2,0,0,0,0,1,3,1,0,2,0,12.0,2.5,9.0,0.0,6.0,0.0,0.0,0.3333333333333333,0.45454545454545453,0.6666666666666666,1.121212121212121,0.3333333333333333,0.0,0.0,0.18181818181818182,0.6666666666666666,0.3333333333333333,2.0,236.0909090909091,2.7322404371584694,-0.2986,9,0,0,1,1,4,2,0,0,,EG-B,S12,394,False,TOR,TOR,2,4.563798219584569,2.0,334,4.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.2275762704364947
2,4.0,19,7,3,3,1,0,0,1,0,4,1,0,4,5,0,4.5,2.0,10.5,0.0,1.5,1.5,1.0,0.3888888888888889,0.42105263157894735,0.5555555555555556,0.9766081871345029,0.4117647058823529,0.0,0.05263157894736842,0.05263157894736842,0.18181818181818182,0.8181818181818182,0.2222222222222222,217.3684210526316,0.4644808743169401,-0.14290000000000003,18,0,0,3,0,2,9,0,0,,WC-H,S12,395,False,TOR,TOR,2,1.8137982195845699,4.0,101,2.4267262791852957,0.0,1.0,0.0,0.0,0,1,0,0,0.0,0.03239806641445984
2,4.0,16,4,1,1,2,0,0,2,0,4,4,2,2,0,0,1.5,1.5,6.0,0.0,3.0,3.0,1.0,0.2857142857142857,0.375,0.2857142857142857,0.6607142857142857,0.3333333333333333,0.0,0.125,0.125,0.8,0.2,4.0,252.72222222222223,-0.6268104169743516,-0.24369999999999997,14,0,0,0,0,8,2,2,0,1.0,NT-B,S12,471,False,ANA,ANA,2,2.06379821958457,4.333333333333333,74,1.9309417040358743,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12907780283103837
1,3.6666666666666665,19,8,5,5,1,0,0,3,1,5,2,1,4,0,0,8.181818181818182,2.4545454545454546,13.090909090909093,1.6363636363636367,1.6363636363636367,4.909090909090909,3.0,0.4444444444444444,0.47368421052631576,0.7222222222222222,1.195906432748538,0.5,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.5,0.5,1.0,219.1578947368421,2.977994387830454,-0.5481,18,0,0,2,0,4,4,0,0,,NH-S,S12,481,False,TBR,TBR,1,4.291070946857298,4.0,84,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.21895328493689153
2,3.6666666666666665,17,5,2,2,1,0,0,4,1,1,2,2,2,1,0,3.272727272727273,1.6363636363636365,8.181818181818183,1.6363636363636367,1.6363636363636367,6.545454545454547,4.0,0.3125,0.35294117647058826,0.6875,1.0404411764705883,0.36363636363636365,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.5714285714285714,0.42857142857142855,1.3333333333333333,222.8235294117647,-0.33121680905102757,-0.25570000000000004,16,0,0,3,0,4,3,0,0,,EG-S,S12,485,False,MIN,MIN,2,3.745616401402752,4.0,42,1.0,0.0,1.0,0.0,0.0,1,0,0,0,1.0,0.1036682396095562
2,6.0,22,2,2,2,2,0,0,5,1,1,5,2,4,2,0,2.0,0.6666666666666666,2.0,1.0,2.0,5.0,2.5,0.1,0.18181818181818182,0.25,0.4318181818181818,0.07142857142857142,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.5384615384615384,0.46153846153846156,1.1666666666666667,296.95454545454544,-2.112489885406071,0.0889,20,0,0,0,0,7,6,0,0,,NH-H,S12,517,False,CLE,CLE,2,3.06379821958457,7.0,24,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.30254453509931156
1,4.333333333333333,23,8,6,6,2,0,0,7,2,3,2,0,4,0,0,8.307692307692308,2.307692307692308,11.076923076923077,2.769230769230769,2.769230769230769,9.692307692307693,3.5,0.38095238095238093,0.43478260869565216,0.8571428571428571,1.2919254658385093,0.5,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.3333333333333333,0.6666666666666666,0.5,204.6086956521739,2.395117221928433,-0.7534,21,0,0,2,1,2,4,0,0,,TT-H,S12,607,False,CWS,CWS,2,5.7176443734307245,4.333333333333333,121,3.134938664243526,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.14406637806328865
1,3.6666666666666665,15,2,0,0,3,0,0,3,0,2,3,0,3,0,1,0.0,1.3636363636363638,3.2727272727272734,0.0,4.909090909090909,4.909090909090909,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.2222222222222222,0.0,0.2,0.2,0.5714285714285714,0.42857142857142855,1.3333333333333333,263.5625,-2.5355191256830603,0.2845,12,0,0,0,0,4,3,1,0,1.0,BS-H,S12,610,False,DET,DET,1,2.3819800377663882,4.0,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1.0,0.31579887613105906
1,6.0,22,3,3,3,2,0,0,8,1,2,0,5,4,0,0,3.0,0.8333333333333334,3.0,1.0,2.0,8.0,4.0,0.15,0.22727272727272727,0.3,0.5272727272727272,0.18181818181818182,0.045454545454545456,0.36363636363636365,0.09090909090909091,0.5555555555555556,0.4444444444444444,1.25,264.5217391304348,-0.8032786885245902,-0.10680000000000002,20,0,0,0,0,5,4,0,1,0.0,TT-H,S12,646,False,CWS,CWS,1,2.06379821958457,5.666666666666667,97,3.2876930742401593,1.0,1.0,1.0,0.0,1,0,0,0,1.0,0.17162341541116347
1,1.0,5,2,2,2,0,0,0,2,0,1,0,1,0,0,0,12.0,2.0,12.0,0.0,0.0,12.0,,0.4,0.4,0.8,1.2000000000000002,0.6666666666666666,0.0,0.4,0.0,1.0,0.0,,198.0,0.7322404371584699,-0.5347,5,0,0,0,1,1,0,1,0,1.0,TT-S,S12,714,False,TOR,TOR,1,-2.43620178041543,1.0,334,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.052475055861595975
2,3.3333333333333335,12,1,0,0,1,0,0,2,0,0,1,0,6,1,0,0.0,0.6,1.7999999999999998,0.0,1.7999999999999998,3.5999999999999996,2.0,0.09090909090909091,0.16666666666666666,0.18181818181818182,0.3484848484848485,0.1111111111111111,0.0,0.16666666666666666,0.08333333333333333,0.125,0.875,0.14285714285714285,251.58333333333334,-1.7518697590088388,-0.27479999999999993,11,0,0,1,0,1,7,0,0,,FP-H,S12,786,False,MIL,MIL,2,1.2637982195845698,4.333333333333333,5,0.13493866424352574,0.0,1.0,0.0,0.0,0,1,0,0,0.0,0.2249845467510863
1,3.0,15,6,4,4,1,0,0,2,1,3,0,3,2,1,0,8.0,2.3333333333333335,12.0,2.0,2.0,4.0,2.0,0.42857142857142855,0.4666666666666667,0.7857142857142857,1.2523809523809524,0.45454545454545453,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.5714285714285714,0.42857142857142855,1.3333333333333333,207.06666666666666,2.0983606557377046,-0.0705,14,0,0,2,0,4,3,0,0,,EG-H,S12,1724,False,TBR,TBR,2,5.563798219584569,3.0,223,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.14758910201101744
1,3.0,17,6,3,3,2,0,0,0,1,2,3,2,0,4,0,6.0,2.6666666666666665,12.0,2.0,4.0,0.0,0.0,0.4,0.47058823529411764,0.8,1.2705882352941176,0.35714285714285715,0.058823529411764705,0.0,0.11764705882352941,0.5555555555555556,0.4444444444444444,1.25,245.61111111111111,1.098360655737705,-0.20809999999999998,15,0,0,3,0,5,4,1,0,1.0,WC-S,S12,1759,False,NYY,NYY,2,7.897131552917903,3.0,167,3.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.03928950686931707
