OBC,Outs,RunExpectancy
0,0,0.718409236690186
0,1,0.4606164383561644
0,2,0.21446765155374428
1,0,1.11671469740634
1,1,0.7526737967914439
1,2,0.4782608695652174
2,0,1.4935483870967743
2,1,1.052757793764988
2,2,0.6108202443280978
3,0,1.7301587301587302
3,1,1.2108843537414966
3,2,0.505
4,0,1.7236842105263157
4,1,1.119298245614035
4,2,0.8812260536398467
5,0,1.9821428571428572
5,1,1.1827956989247312
5,2,0.8148148148148148
6,0,2.7936507936507935
6,1,1.4274193548387097
6,2,0.48214285714285715
7,0,2.4035087719298245
7,1,1.4180327868852458
7,2,1.0410958904109588
