Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
MIL,PHI,11248,11,S11,2,2,0,1,7,0,0,0,2,3,4,2,2,1,0,1,10,23,5.0,3,-1.3233082706766917,0.1928883829291538,-0.11960000000000001,8,4,Away
MIN,BAL,9010,9,S9,3,1,0,1,1,3,1,0,5,4,1,1,3,0,1,1,3,20,5.0,3,0.3571428571428571,0.05895446159385839,-0.0676,6,5,Away
MIN,BAL,10241,10,S10,1,2,1,2,1,1,0,0,3,4,2,4,3,0,0,0,6,23,5.333333333333333,4,1.2489795918367343,-0.022450587940955724,-0.3072,10,6,Away
MIN,DET,6008,6,S6,2,2,0,2,4,0,0,0,3,3,2,3,4,2,0,0,8,23,5.666666666666667,4,0.3522727272727273,0.06401900886275887,-0.48130000000000006,9,4,Away
MIN,KCR,7007,7,S7,2,2,1,0,2,3,0,0,3,1,2,3,8,1,1,0,5,25,6.0,4,-0.16058394160583978,0.11590658900204286,-0.005300000000000082,14,9,Home
MIN,NYM,7011,7,S7,4,1,1,1,2,0,0,0,4,2,3,5,7,0,0,0,5,26,7.0,2,-3.2082029892248873,0.42066849376394766,0.4099,13,7,Away
MIN,NYY,5003,5,S5,1,2,2,2,5,5,0,0,8,2,3,0,2,0,0,0,11,31,5.0,13,9.729323308270676,-0.8393488277986634,-0.4272000000000001,5,2,Away
MIN,OAK,6003,6,S6,1,1,2,0,7,1,0,0,6,4,2,3,2,0,0,1,10,28,6.0,5,1.2500000000000002,0.0001366159178659114,-0.20490000000000005,11,7,Away
MIN,TEX,9008,9,S9,2,1,0,2,3,3,0,0,5,5,1,2,3,0,1,2,6,25,6.0,3,-0.1714285714285716,0.13763035371685872,0.12009999999999993,13,7,Home
MIN,TOR,7010,7,S7,3,1,0,0,0,4,1,0,5,6,0,6,6,1,0,0,1,28,8.0,1,-5.458202989224887,0.6533491241363676,1.5675999999999999,11,6,Home
MTL,ARI,8001,8,S8,1,0,1,0,1,3,0,0,4,7,1,1,3,2,0,0,2,21,6.0,0,-4.928571428571429,0.5446041097769299,0.5831,11,4,Home
MTL,CIN,9006,9,S9,2,1,0,2,4,3,0,0,4,9,0,3,1,1,0,0,7,27,6.0,2,-1.1714285714285715,0.2333272288392158,0.31720000000000004,9,4,Home
MTL,COL,5006,5,S5,2,2,0,1,0,1,0,0,5,6,1,3,3,0,0,0,3,22,6.0,2,-1.924812030075188,0.2872823987050961,0.292,13,6,Home
MTL,COL,9009,9,S9,3,1,0,1,4,2,0,0,2,7,1,5,1,0,1,0,6,24,5.333333333333333,4,1.24366576819407,-0.016788454878334164,-0.15519999999999998,11,5,Away
MTL,FLA,8006,8,S8,2,1,0,1,2,2,1,0,3,3,2,2,4,1,1,0,4,21,5.333333333333333,2,-1.6428571428571426,0.2184968224873959,-0.0676,11,6,Away
MTL,SDP,5010,5,S5,3,1,0,4,6,2,0,0,6,3,1,6,1,1,2,0,11,30,6.0,7,3.075187969924812,-0.16962614870509604,-0.2832,10,4,Home
NYM,CHC,7006,7,S7,2,0,0,3,3,2,0,0,6,6,1,4,1,0,0,0,6,26,6.0,4,-0.1605839416058395,0.11590658900204286,0.1805,10,5,Home
