win,loss,save,holds,Season,Game ID
286,-5,58.0,[],S2,1
-8,-7,,[],S2,2
-10,-9,,[],S2,3
-12,-13,,[],S2,4
199,337,,[],S2,5
-17,-15,,[],S2,6
336,-18,,[],S2,7
75,74,76.0,[],S2,8
-19,413,,[np.int64(120)],S2,9
284,-21,,[],S2,10
394,-24,,[],S2,11
1953,-25,,[],S2,12
413,-17,,[],S2,13
394,-9,,[],S2,14
3,-16,,[],S2,15
-5,-26,,[],S2,16
-14,284,337.0,[],S2,17
199,76,120.0,[],S2,18
-19,-23,-27.0,[np.int64(-19)],S2,19
164,-11,,[],S2,20
92,-7,,[],S2,21
-24,148,,[],S2,22
-24,92,,[],S2,23
413,-8,,[],S2,24
-11,-10,-13.0,[],S2,25
394,75,395.0,[np.int64(394)],S2,26
112,-7,,[],S2,27
337,74,,[],S2,28
199,58,,[],S2,29
-28,-27,,[],S2,30
-26,-22,336.0,[],S2,31
-15,-5,,[],S2,32
-21,-18,,[np.int64(306)],S2,33
-11,58,,[],S2,34
233,-7,-27.0,[np.int64(-19)],S2,35
-21,74,,[],S2,36
-6,76,,[],S2,37
-13,237,,[],S2,38
148,413,,[],S2,39
1953,-14,,[],S2,40
336,199,,[],S2,41
373,-17,,[],S2,42
-30,376,,[],S2,43
-16,110,,[],S2,44
-7,-10,,[],S2,45
-24,-19,,[],S2,46
337,164,,[],S2,47
58,284,,[],S2,48
394,413,,[],S2,49
1953,75,,[],S2,50
-22,-11,,[],S2,51
310,-6,,[],S2,52
199,-16,,[],S2,53
74,-26,,[],S2,54
112,-13,,[],S2,55
413,-11,-31.0,[],S2,56
330,164,-24.0,[],S2,57
310,199,,[],S2,58
-33,236,,[],S2,59
76,110,75.0,[],S2,60
149,92,-19.0,[],S2,61
337,-5,,[],S2,62
336,148,,[],S2,63
-34,1953,,[],S2,64
286,74,58.0,[],S2,65
-35,395,,[],S2,66
253,112,,[],S2,67
237,-10,,[],S2,68
-19,-30,,[],S2,69
226,-36,,[],S2,70
-29,-22,,[],S2,71
-7,413,,[],S2,72
310,233,,[],S2,73
19,373,,[],S2,74
322,-38,,[np.int64(322)],S2,75
337,58,,[],S2,76
75,-15,,[],S2,77
76,-40,,[],S2,78
394,149,,[],S2,79
-42,-34,,[],S2,80
1953,284,,[],S2,81
286,-21,58.0,[],S2,82
3,322,,[],S2,83
-35,112,,[],S2,84
-45,-8,-17.0,[],S2,85
211,199,,[],S2,86
-9,92,,[],S2,87
253,-47,,[],S2,88
253,395,-11.0,[],S2,89
19,413,,[],S2,90
-17,-19,,[],S2,91
336,58,,[],S2,92
3,-7,,[],S2,93
337,-15,,[],S2,94
164,-10,,[],S2,95
199,110,,[],S2,96
373,-13,,[],S2,97
310,75,,[],S2,98
236,325,,[],S2,99
-41,253,149.0,[],S2,100
112,-43,,[],S2,101
-21,198,,[],S2,102
-35,92,,[],S2,103
21,1953,,[],S2,104
337,336,,[],S2,106
237,-30,,[],S2,107
-5,413,,[],S2,108
-46,74,,[],S2,109
148,376,,[],S2,110
-19,-47,-41.0,[np.int64(149)],S2,111
-29,-6,,[],S2,112
394,-17,,[],S2,113
413,330,,[],S2,114
310,337,,[],S2,115
233,75,-26.0,[],S2,116
21,-7,,[],S2,117
-42,-14,198.0,[],S2,119
74,1953,,[],S2,120
253,-44,,[],S2,121
149,373,,[],S2,122
-5,199,,[],S2,123
310,253,,[],S2,124
39,148,,[],S2,125
413,-13,,[],S2,126
76,164,,[],S2,127
395,-15,,[],S2,128
110,3,,[],S2,129
286,-7,,[],S2,130
336,19,,[],S2,131
74,-15,,[],S2,132
21,149,19.0,[],S2,133
253,1953,,[],S2,134
92,211,,[],S2,135
198,413,,[],S2,136
-26,-17,,[],S2,137
-10,322,,[],S2,138
-9,112,,[],S2,139
75,-50,,[],S2,140
-46,237,,[],S2,141
286,336,,[],S2,142
39,199,,[],S2,143
197,394,91.0,[np.int64(197)],S2,144
373,148,,[],S2,145
375,198,76.0,[],S2,146
413,3,,[],S2,147
149,-5,,[],S2,148
58,253,,[],S2,149
-22,-15,,[],S2,150
-17,-9,,[],S2,151
21,-47,,[],S2,152
330,-6,,[],S2,153
413,76,,[],S2,154
-9,218,,[],S2,155
164,337,,[],S2,156
269,110,,[],S2,157
395,373,,[],S2,158
286,1953,285.0,[],S2,159
305,-15,,[],S2,160
91,234,,[],S2,161
337,3,,[np.int64(149)],S2,162
58,92,,[],S2,163
373,234,,[np.int64(376)],S2,164
39,269,,[],S2,165
286,-46,,[],S2,166
237,-10,,[],S2,167
336,236,,[],S2,168
322,75,,[],S2,169
375,-13,,[],S2,172
373,21,376.0,[],S2,173
285,-9,,[],S2,174
305,1953,,[],S2,175
234,394,,[],S2,176
92,-47,,[],S2,177
330,-53,,[np.int64(3)],S2,178
413,269,,[],S2,179
-22,199,,[],S2,180
58,395,21.0,[],S2,183
74,92,,[],S2,184
286,413,,[],S2,185
253,148,,[],S2,186
164,325,-53.0,[],S2,187
39,236,,[],S2,188
-17,-15,,[],S2,189
336,218,,[],S2,190
3,76,,[],S2,191
