G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
5,20.333333333333332,82,20,13.0,13.0,5,0,0,19,6,8,9,10,7,12,0,3.836065573770492,1.2295081967213115,5.901639344262295,1.7704918032786885,1.4754098360655739,5.606557377049181,3.8,0.2597402597402597,0.3048780487804878,0.6103896103896104,0.9152676591700981,0.2692307692307692,0.07317073170731707,0.23170731707317074,0.06097560975609756,0.5365853658536586,0.4634146341463415,1.1578947368421053,246.5421686746988,0.27305319169009534,-0.22930000000000003,77,0,0,3,3,22,19,1,1,0.5,EN-B,S11,32,False,POS,POS,15,3.7965320477208313,20.0,139,17.08655710071639,3.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.25,0.3023698595848209
1,5.0,19,3,1.0,1.0,1,0,0,3,1,1,3,1,5,3,0,1.2,0.8,3.5999999999999996,1.2000000000000002,1.2000000000000002,3.5999999999999996,3.0,0.16666666666666666,0.21052631578947367,0.3888888888888889,0.5994152046783625,0.14285714285714285,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.3333333333333333,0.6666666666666666,0.5,278.6842105263158,-2.134328358208955,0.1698,18,0,0,1,0,4,8,0,0,,NT-H,S11,54,False,OKT,OKT,15,3.091614014933946,5.0,33,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2898209869955635
1,4.333333333333333,19,3,3.0,3.0,4,0,0,3,2,0,3,2,3,1,0,4.153846153846154,1.6153846153846154,4.153846153846154,2.769230769230769,5.538461538461538,4.153846153846154,0.75,0.2,0.3684210526315789,0.6666666666666666,1.0350877192982455,0.1,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.6,0.4,1.5,238.35,0.0844216417910445,-0.08569999999999994,15,0,0,1,0,6,4,1,0,1.0,NT-H,S11,59,False,OKT,OKT,14,8.47622939954933,4.333333333333333,107,2.8608012820512823,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06794598699556358
4,5.666666666666667,28,8,5.0,5.0,5,0,0,3,1,5,6,2,3,1,0,5.294117647058823,2.2941176470588234,8.470588235294116,1.0588235294117645,5.294117647058823,3.1764705882352944,0.6,0.34782608695652173,0.4642857142857143,0.5652173913043478,1.029503105590062,0.3684210526315789,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.7142857142857143,0.2857142857142857,2.5,221.3793103448276,0.7903490652634053,-0.0641,23,0,0,2,0,10,4,1,0,1.0,EG-H,S11,117,False,DOG,DOG,13,4.9739669561104165,6.333333333333333,91,3.5474566874566875,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033537105731064984
1,6.0,22,4,2.0,2.0,2,0,0,1,2,1,5,3,4,3,0,2.0,1.0,4.0,2.0,2.0,1.0,0.5,0.2,0.2727272727272727,0.55,0.8227272727272728,0.11764705882352941,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.5333333333333333,0.4666666666666667,1.1428571428571428,261.2,-1.7611940298507467,0.0972,20,0,0,1,0,8,7,1,2,0.3333333333333333,EN-S,S11,127,False,PRP,PRP,11,6.0916140149339455,6.0,54,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2645688411873219
4,11.666666666666666,50,10,8.0,8.0,6,1,0,7,2,2,7,6,9,5,0,4.114285714285715,1.3714285714285714,5.142857142857143,1.0285714285714285,3.0857142857142863,3.5999999999999996,1.1666666666666667,0.22727272727272727,0.32,0.5227272727272727,0.8427272727272728,0.22857142857142856,0.04,0.14,0.12,0.5,0.5,1.0,246.53061224489795,0.6672453157725895,-0.01469999999999993,44,0,0,5,1,14,14,0,0,,EG-S,S11,134,False,LAX,LAX,15,3.6630425863625176,11.333333333333334,129,9.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.13429691888239376
2,1.6666666666666667,10,4,4.0,4.0,1,0,0,1,2,1,2,1,1,0,0,14.399999999999999,3.0,14.399999999999999,7.199999999999999,3.5999999999999996,3.5999999999999996,1.0,0.4444444444444444,0.5,1.2222222222222223,1.7222222222222223,0.3333333333333333,0.2,0.1,0.1,0.75,0.25,3.0,226.1818181818182,3.8512365181392307,-0.5769,9,0,0,1,0,3,1,1,0,1.0,BS-S,S11,180,False,ARA,ARA,12,17.291614014933945,2.0,71,0.8731343283582089,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.3449193617219925
1,3.0,16,5,3.0,3.0,3,0,0,2,0,3,1,0,4,1,0,6.0,2.6666666666666665,10.0,0.0,6.0,4.0,0.6666666666666666,0.38461538461538464,0.5,0.5384615384615384,1.0384615384615383,0.45454545454545453,0.0,0.125,0.1875,0.2857142857142857,0.7142857142857143,0.4,189.1875,-0.007462686567164312,-0.025400000000000048,13,0,0,2,0,2,5,0,0,,SF-S,S11,233,False,LOB,LOB,7,2.7582806816006125,3.0,39,0.7260755048287972,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0650731328038053
5,9.333333333333334,40,14,7.0,7.0,1,0,0,4,2,7,5,9,5,2,0,4.5,1.607142857142857,9.0,1.2857142857142856,0.6428571428571428,2.571428571428571,4.0,0.358974358974359,0.375,0.6923076923076923,1.0673076923076923,0.36363636363636365,0.05,0.1,0.025,0.6956521739130435,0.30434782608695654,2.2857142857142856,252.5121951219512,1.3863893387967847,-0.048500000000000036,39,0,0,3,2,16,7,0,1,0.0,EG-S,S11,262,False,LOB,LOB,14,3.341614014933946,9.333333333333334,101,5.784019818350596,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022178226488043705
1,4.0,18,5,2.0,2.0,2,0,0,3,0,4,3,2,3,0,0,3.0,1.75,7.5,0.0,3.0,4.5,1.5,0.3125,0.3888888888888889,0.4375,0.8263888888888888,0.38461538461538464,0.0,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.3333333333333333,2.0,236.73684210526315,-0.5074626865671642,0.0115,16,0,0,0,1,6,3,1,0,1.0,EG-H,S11,265,False,SHH,SHH,14,1.091614014933946,3.6666666666666665,93,2.0865571007163926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12311399082219139
