G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1.0,4.333333333333333,25.0,11.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,9.0,3.0,5.0,3.0,0.0,0.0,8.307692307692308,3.0,15.230769230769234,2.769230769230769,2.769230769230769,0.0,0.0,0.4782608695652174,0.52,0.7391304347826086,1.2591304347826087,0.42857142857142855,0.08,0.0,0.08,0.75,0.25,3.0,210.92307692307693,3.9222287653361008,-0.396,23.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,1.0,S2,-32,PIT,True,PIT,9.069166725965985,4.333333333333333,267,6.7657784973382356,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3169537492748634
2.0,6.666666666666667,27.0,7.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,1.7999999999999998,1.2,6.300000000000001,0.8999999999999999,0.8999999999999999,4.5,5.0,0.2692307692307692,0.2962962962962963,0.5,0.7962962962962963,0.3,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.6428571428571429,0.35714285714285715,1.8,263.1923076923077,-2.6063327632076465,0.08679999999999999,26.0,0.0,0.0,1.0,1.0,9.0,5.0,0.0,0.0,,S2,-32,LAD,True,LAD,2.584551341350601,7.0,73,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.341923933760211
2.0,5.666666666666667,22.0,4.0,3.0,3.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,5.0,3.0,0.0,0.0,3.176470588235294,0.8823529411764706,4.235294117647058,0.0,1.0588235294117645,8.470588235294116,8.0,0.19047619047619047,0.22727272727272727,0.3333333333333333,0.5606060606060606,0.3076923076923077,0.0,0.36363636363636365,0.045454545454545456,0.6666666666666666,0.3333333333333333,2.0,284.0,-1.2467822014098937,0.05270000000000005,21.0,0.0,0.0,1.0,1.0,6.0,3.0,1.0,0.0,1.0,S2,-31,SFG,False,SFG,-0.6095663057082223,6.0,77,2.7109136080980556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19091505212868642
1.0,4.333333333333333,14.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,1.3846153846153848,0.9230769230769231,4.153846153846154,1.3846153846153846,1.3846153846153846,0.0,0.0,0.23076923076923078,0.2857142857142857,0.46153846153846156,0.7472527472527473,0.16666666666666666,0.07142857142857142,0.0,0.07142857142857142,0.8,0.2,4.0,335.14285714285717,-1.8435497320021352,0.2544,13.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,,S2,-30,SFG,False,SFG,5.3768590336582935,4.333333333333333,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22650568446511166
1.0,1.6666666666666667,9.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,7.199999999999999,2.4,10.799999999999999,0.0,3.5999999999999996,3.5999999999999996,1.0,0.375,0.4444444444444444,0.375,0.8194444444444444,0.42857142857142855,0.0,0.1111111111111111,0.1111111111111111,0.25,0.75,0.3333333333333333,210.7,0.6368520052908394,-0.17759999999999998,8.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,S2,-29,DET,False,DET,2.284551341350601,2.0,86,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03658831471593515
1.0,3.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,0.2,0.2727272727272727,0.2,0.4727272727272727,0.2222222222222222,0.0,0.09090909090909091,0.09090909090909091,0.8571428571428571,0.14285714285714285,6.0,310.1818181818182,-1.9459108610990912,0.2014,10.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,,S2,-28,MTL,False,MTL,2.0178846746839345,3.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22770950210375762
2.0,10.0,43.0,11.0,8.0,8.0,3.0,0.0,0.0,7.0,5.0,4.0,4.0,5.0,9.0,3.0,0.0,4.8,1.4,6.6000000000000005,3.0,1.7999999999999998,4.199999999999999,2.3333333333333335,0.275,0.32558139534883723,0.7,1.025581395348837,0.21428571428571427,0.11627906976744186,0.16279069767441862,0.06976744186046512,0.45454545454545453,0.5454545454545454,0.8333333333333334,262.93023255813955,1.5136304630030295,-0.02060000000000005,40.0,0.0,0.0,2.0,0.0,10.0,12.0,0.0,0.0,,S2,-27,MIL,False,MIL,7.684551341350601,10.0,137,8.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.021900147415258742
3.0,18.0,69.0,13.0,4.0,4.0,4.0,0.0,0.0,10.0,1.0,5.0,15.0,8.0,15.0,2.0,0.0,1.3333333333333333,0.9444444444444444,4.333333333333333,0.3333333333333333,1.3333333333333333,3.3333333333333335,2.5,0.2,0.2463768115942029,0.35384615384615387,0.6002229654403568,0.2222222222222222,0.014492753623188406,0.14492753623188406,0.057971014492753624,0.5952380952380952,0.40476190476190477,1.4705882352941178,262.6,-7.675465166594548,1.3919000000000001,65.0,0.0,0.0,7.0,0.0,25.0,17.0,1.0,0.0,1.0,S2,-26,OAK,False,OAK,1.9623291191283787,18.0,38,4.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.9752893078935955
5.0,24.0,116.0,33.0,22.0,22.0,13.0,0.0,0.0,25.0,6.0,23.0,5.0,12.0,22.0,4.0,0.0,5.5,1.9166666666666667,8.25,1.5,3.25,6.25,1.9230769230769231,0.32038834951456313,0.39655172413793105,0.5436893203883495,0.9402410445262805,0.375,0.05172413793103448,0.21551724137931033,0.11206896551724138,0.4222222222222222,0.5777777777777777,0.7307692307692307,240.58620689655172,5.571539757486752,-0.10029999999999996,103.0,0.0,0.0,3.0,1.0,19.0,26.0,1.0,0.0,1.0,S2,-25,2TM,False,SEA,4.476218008017268,25.333333333333332,121,17.8974047925818,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.2079052252680908
5.0,23.0,111.0,32.0,21.0,21.0,12.0,0.0,0.0,23.0,6.0,22.0,5.0,12.0,21.0,4.0,0.0,5.478260869565218,1.9130434782608696,8.347826086956522,1.5652173913043477,3.1304347826086953,6.0,1.9166666666666667,0.32323232323232326,0.3963963963963964,0.5555555555555556,0.9519519519519519,0.37142857142857144,0.05405405405405406,0.2072072072072072,0.10810810810810811,0.4318181818181818,0.5681818181818182,0.76,242.0900900900901,5.785654287677858,-0.1845,99.0,0.0,0.0,3.0,1.0,19.0,25.0,1.0,0.0,1.0,S2,-25,LAD,True,LAD,4.641073080481036,23.666666666666668,128,17.70430422277089,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.2443705037389507
1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,6.0,0.0,6.0,12.0,2.0,0.25,0.4,0.25,0.65,0.5,0.0,0.4,0.2,0.0,1.0,0.0,207.2,-0.21411453019110493,0.08419999999999998,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,S2,-25,SEA,True,SEA,0.684551341350601,1.6666666666666667,20,0.19310056981090987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03646527847085982
2.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.5,1.5,0.0,1.5,6.0,4.0,0.07692307692307693,0.14285714285714285,0.07692307692307693,0.21978021978021978,0.1111111111111111,0.0,0.2857142857142857,0.07142857142857142,0.375,0.625,0.6,313.84615384615387,-2.2953870523484037,0.218,13.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,,S2,-24,BOS,False,BOS,0.43455134135060103,4.0,13,0.2991607624503845,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2716894164997385
