Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
NYM,SFG,4005,4,S4,2,1,3,2,8,3,0,9,4,0,1,3,1,0,0,0,14,25,35,11,11,6.263157894736842,0.7786859737282905,0.4024,Away
NYM,STL,7009,7,S7,3,2,0,2,3,1,0,2,4,0,3,6,2,1,0,0,7,15,25,5,5,0.8394160583941604,0.1771115785331603,0.4071999999999999,Away
NYY,BAL,4006,4,S4,2,1,2,1,2,0,0,1,5,0,2,2,5,0,0,0,6,14,21,2,2,-1.947368421052632,-0.1033147315524993,0.0391999999999999,Home
NYY,CLE,3002,3,S3,1,5,0,1,3,2,0,0,4,0,3,6,5,0,1,0,9,25,29,6,6,3.230769230769232,0.4291747841601214,0.3404,Away
NYY,KCR,4010,4,S4,3,0,0,1,0,1,1,2,13,0,0,2,2,1,0,0,1,2,22,0,0,-6.526315789473684,-0.5568560345587588,-1.1571000000000002,Home
NYY,KCR,5008,5,S5,2,1,1,0,1,5,0,3,6,0,3,2,3,1,1,0,3,8,25,1,1,-2.9248120300751883,-0.2009425908521303,-0.4784000000000001,Away
NYY,MIN,5003,5,S5,1,2,2,2,5,5,0,8,2,0,3,0,2,0,0,0,11,23,31,13,13,9.729323308270676,1.082074522243108,0.4272000000000001,Home
NYY,OAK,11243,11,S11,1,1,0,2,3,1,0,2,6,0,8,1,1,0,1,0,6,11,25,3,3,-2.1879699248120303,-0.0779573493593138,0.0395,Away
NYY,TBR,11246,11,S11,2,1,0,2,3,2,0,3,5,0,3,3,0,1,0,1,6,11,23,3,3,-2.1879699248120303,-0.0887911680609976,-0.3217,Away
OAK,BOS,10242,10,S10,1,1,0,1,0,2,0,2,2,0,0,5,2,2,0,0,2,6,16,1,1,-1.6071428571428572,-0.1056072411451445,-0.1192999999999999,Home
OAK,HOU,5007,5,S5,2,2,1,4,1,3,0,4,6,0,2,2,3,1,0,0,8,20,28,3,3,-0.924812030075188,0.0060988408521303,0.0687,Away
OAK,KCR,5009,5,S5,3,3,0,4,3,3,0,3,5,0,1,2,7,0,0,0,10,23,31,11,11,7.075187969924812,0.8166609884085212,0.4152999999999999,Away
