G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
12.0,32.0,25.0,7.0,5.0,4.0,2.0,0.0,1.0,12.0,4.0,6.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.28,0.40625,0.48,0.88625,0.19999999999999996,0.42857142857142855,1.0,0.03125,0.34375,0.1875,0.4444444444444444,0.5555555555555556,0.8,239.84375,0.40625,0.48,0.638668272771982,0.024499999999999966,4.0,5.0,S4,1,DET,False,DET,0.1808076727647232
10.0,23.0,22.0,4.0,2.0,1.0,2.0,0.0,1.0,9.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,1.0,0.0,0.18181818181818182,0.17391304347826086,0.4090909090909091,0.5830039525691699,0.2272727272727273,0.2,0.0,0.043478260869565216,0.30434782608695654,0.0,0.5384615384615384,0.46153846153846156,1.1666666666666667,280.57142857142856,0.17391304347826086,0.4090909090909091,-3.1614006647021773,-0.31597300000000006,7.0,6.0,S4,6,ATL,False,ATL,-0.23208883377605916
4.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2,0.0,0.0,0.2857142857142857,0.0,0.25,0.75,0.3333333333333333,298.57142857142856,0.14285714285714285,0.14285714285714285,-1.2628887550800536,-0.17759999999999998,1.0,3.0,S4,7,2TM,False,MIN,-0.10070806555760928
3.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.2,0.0,0.0,0.16666666666666666,0.0,0.25,0.75,0.3333333333333333,283.3333333333333,0.16666666666666666,0.16666666666666666,-1.004286774920066,-0.1427,1.0,3.0,S4,7,ARI,True,ARI,-0.07850226896309566
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,-0.2586019801599877,-0.0349,0.0,0.0,S4,7,MIN,True,MIN,-0.022205796594513612
14.0,36.0,31.0,8.0,7.0,6.0,0.0,0.0,2.0,14.0,4.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,9.0,4.0,5.0,2.0,0.0,0.25806451612903225,0.3611111111111111,0.45161290322580644,0.8127240143369175,0.1935483870967742,0.23076923076923078,1.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.7407407407407407,0.25925925925925924,2.857142857142857,274.72972972972974,0.3611111111111111,0.45161290322580644,1.0493669738206228,0.05070000000000002,20.0,7.0,S4,10,BAL,False,BAL,0.23649514855552792
3.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6,0.6666666666666666,1.2666666666666666,0.3333333333333333,0.5,0.0,0.0,0.2,0.4,0.0,1.0,0.0,157.33333333333334,0.6,0.6666666666666666,0.023945814392614118,0.1396,0.0,1.0,S4,12,OAK,False,OAK,0.02066658854668719
5.0,10.0,10.0,3.0,2.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.3,0.3,0.7,1.0,0.39999999999999997,0.25,0.0,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.5,221.0,0.3,0.7,1.520028991655998,-0.13130000000000003,2.0,4.0,S4,13,ARI,False,ARI,0.18854691338045135
12.0,30.0,25.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,8.0,2.0,0.0,0.12,0.23333333333333334,0.2,0.43333333333333335,0.08000000000000002,0.16666666666666666,0.0,0.0,0.26666666666666666,0.13333333333333333,0.3125,0.6875,0.45454545454545453,240.86666666666667,0.23333333333333334,0.2,-4.446958507860964,-0.5739279999999999,5.0,11.0,S4,14,OAK,False,OAK,-0.33506380814154174
7.0,12.0,12.0,4.0,1.0,1.0,2.0,0.0,1.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,1.0833333333333333,0.4166666666666667,0.3333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.75,0.25,3.0,241.08333333333334,0.3333333333333333,0.75,-0.9677007710108598,-0.102946,6.0,2.0,S4,16,MIN,False,MIN,-0.052917260043264115
13.0,34.0,32.0,7.0,4.0,5.0,0.0,0.0,2.0,13.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,1.0,0.0,0.21875,0.2647058823529412,0.40625,0.6709558823529411,0.1875,0.22727272727272727,0.0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.5555555555555556,0.4444444444444444,1.25,256.44117647058823,0.2647058823529412,0.40625,-0.9230679681820754,-0.720692,10.0,8.0,S4,17,2TM,False,TEX,0.03194285151228776
