G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,RE24,Season,Hitter ID,WAR
13.0,39.0,38.0,16.0,12.0,3.0,1.0,5.0,14.0,1.0,4.0,0.0,0.0,0.42105263157894735,0.4358974358974359,0.9473684210526315,1.3832658569500675,199.0,0.4473684210526316,1.027027027027027,5.996172076057489,S5,45,0.7581872240802134
2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.8,0.0,0.0,-2.1300657536978695,S5,46,-0.19267708607818892
13.0,37.0,30.0,9.0,5.0,2.0,0.0,3.0,6.0,7.0,6.0,1.0,0.0,0.3,0.43243243243243246,0.6666666666666666,1.099099099099099,230.76315789473685,0.40540540540540543,0.6,-0.049694643820207496,S5,48,0.14546875637580461
12.0,32.0,28.0,7.0,3.0,1.0,0.0,2.0,4.0,4.0,4.0,0.0,1.0,0.25,0.34375,0.5,0.84375,267.21875,0.34375,0.5,-1.4558716095490327,S5,49,-0.015478429488675926
6.0,12.0,12.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,272.4,0.36363636363636365,0.5,-1.8189313635562785,S5,50,-0.1331023620557926
11.0,29.0,28.0,7.0,3.0,0.0,3.0,2.0,9.0,1.0,4.0,0.0,0.0,0.25,0.27586206896551724,0.6785714285714286,0.9544334975369458,252.31034482758622,0.2857142857142857,0.7142857142857143,-4.133966861801131,S5,54,-0.29548564828884455
13.0,35.0,30.0,8.0,8.0,3.0,0.0,1.0,7.0,5.0,9.0,0.0,0.0,0.26666666666666666,0.37142857142857144,0.4666666666666667,0.8380952380952381,245.77142857142857,0.3142857142857143,0.4375,1.0878523994894602,S5,55,0.2510916649901322
2.0,7.0,7.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5714285714285714,0.5714285714285714,1.1428571428571428,1.7142857142857142,177.57142857142858,0.5714285714285714,0.8571428571428571,3.240650353299103,S5,56,0.3525263203381475
3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,-1.5763242435170848,S5,59,-0.14543473077674968
6.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,-6.75819277977836,S5,63,-0.6432920951112793
10.0,27.0,25.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0,5.0,0.0,0.0,0.12,0.18518518518518517,0.36,0.5451851851851852,256.76,0.18518518518518517,0.36,-4.076334083555691,S5,65,-0.29785416618093985
16.0,41.0,39.0,11.0,4.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,0.28205128205128205,0.3170731707317073,0.41025641025641024,0.7273295809881175,259.1111111111111,0.325,0.47368421052631576,-4.603574490988171,S5,66,-0.29365563690771335
12.0,31.0,28.0,6.0,2.0,2.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,0.21428571428571427,0.2903225806451613,0.39285714285714285,0.6831797235023042,272.3125,0.3,0.4074074074074074,-3.8488789265241543,S5,67,-0.25884505904450766
12.0,33.0,28.0,8.0,6.0,1.0,2.0,3.0,6.0,5.0,3.0,2.0,1.0,0.2857142857142857,0.3939393939393939,0.7857142857142857,1.1796536796536796,237.77777777777777,0.3939393939393939,0.7142857142857143,3.230668870560431,S5,68,0.4572415163805901
13.0,31.0,27.0,6.0,6.0,3.0,1.0,0.0,4.0,4.0,4.0,3.0,0.0,0.2222222222222222,0.3225806451612903,0.4074074074074074,0.7299880525686977,272.55882352941177,0.3448275862068966,0.48,-2.94520661383626,S5,71,-0.16847782777571824
14.0,32.0,30.0,4.0,3.0,1.0,0.0,1.0,2.0,2.0,6.0,1.0,2.0,0.13333333333333333,0.1875,0.26666666666666666,0.45416666666666666,260.65714285714284,0.22580645161290322,0.2857142857142857,-4.957979685938041,S5,72,-0.3656892371275768
3.0,6.0,5.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.6,0.6666666666666666,1.4,2.0666666666666664,230.57142857142858,0.6666666666666666,1.4,1.0412091958896048,S5,73,0.1285163067388781
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,120.0,1.0,1.0,0.2437786782454894,S5,74,0.028443765682868542
3.0,7.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,221.42857142857142,0.2857142857142857,0.42857142857142855,-1.2622319935658535,S5,78,-0.0977619143483481
10.0,28.0,26.0,4.0,2.0,1.0,0.0,2.0,3.0,2.0,10.0,0.0,0.0,0.15384615384615385,0.21428571428571427,0.4230769230769231,0.6373626373626373,265.82142857142856,0.2222222222222222,0.4,-3.3161537467516458,S5,79,-0.21777023464221568
16.0,44.0,38.0,15.0,11.0,3.0,1.0,6.0,7.0,6.0,8.0,4.0,0.0,0.39473684210526316,0.4772727272727273,1.0,1.4772727272727273,189.87234042553192,0.45454545454545453,1.0,5.27334766333617,S5,80,0.7062342720996796
16.0,48.0,43.0,11.0,5.0,1.0,2.0,2.0,9.0,4.0,7.0,2.0,1.0,0.2558139534883721,0.3125,0.5116279069767442,0.8241279069767442,242.34,0.34782608695652173,0.5609756097560976,-4.728900446353163,S5,81,-0.27772694743597526
15.0,41.0,37.0,10.0,6.0,5.0,0.0,1.0,4.0,4.0,7.0,1.0,0.0,0.2702702702702703,0.34146341463414637,0.4864864864864865,0.8279499011206328,244.825,0.34146341463414637,0.4864864864864865,-0.9001639481331419,S5,82,0.07668541737778958
14.0,34.0,34.0,6.0,3.0,3.0,2.0,1.0,7.0,0.0,7.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.47058823529411764,0.6470588235294118,280.88235294117646,0.1875,0.53125,-9.2823841647207,S5,84,-0.7899978892892034
11.0,32.0,28.0,7.0,6.0,3.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,0.25,0.34375,0.5357142857142857,0.8794642857142857,248.46875,0.28125,0.4482758620689655,2.169151492970793,S5,90,0.34702388076330665
15.0,40.0,34.0,10.0,6.0,3.0,2.0,2.0,6.0,6.0,6.0,2.0,1.0,0.29411764705882354,0.4,0.6764705882352942,1.0764705882352943,231.37209302325581,0.375,0.6,4.470550071184509,S5,91,0.6096909214512352
9.0,19.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,338.94444444444446,0.05555555555555555,0.1111111111111111,-8.702873213040252,S5,97,-0.7930352619959528
11.0,28.0,23.0,5.0,5.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.21739130434782608,0.25,0.4782608695652174,0.7282608695652174,245.82142857142858,0.2916666666666667,0.6111111111111112,-1.3088811988954498,S5,99,-0.017042979856596065
16.0,44.0,37.0,13.0,5.0,4.0,0.0,2.0,4.0,7.0,7.0,1.0,2.0,0.35135135135135137,0.45454545454545453,0.6216216216216216,1.076167076167076,230.19148936170214,0.45,0.6857142857142857,1.1669696016415199,S5,100,0.2955964659302146
13.0,39.0,39.0,8.0,3.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.20512820512820512,0.20512820512820512,0.3076923076923077,0.5128205128205128,286.9230769230769,0.23529411764705882,0.4117647058823529,-5.732830486619749,S5,103,-0.4147130321875103
14.0,37.0,34.0,8.0,5.0,3.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,0.23529411764705882,0.2702702702702703,0.4117647058823529,0.6820349761526232,257.3888888888889,0.29411764705882354,0.41935483870967744,-2.5661649030241254,S5,104,-0.10617826954458717
10.0,31.0,28.0,11.0,6.0,1.0,1.0,2.0,4.0,3.0,10.0,1.0,0.0,0.39285714285714285,0.45161290322580644,0.7142857142857143,1.1658986175115207,217.80645161290323,0.43333333333333335,0.75,2.8421037314194386,S5,106,0.4102532067498516
6.0,16.0,15.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.2,0.25,0.4666666666666667,0.7166666666666667,229.75,0.25,0.4666666666666667,-2.373483915823398,S5,107,-0.1722940258492261
15.0,41.0,35.0,12.0,10.0,2.0,1.0,4.0,8.0,6.0,8.0,1.0,2.0,0.34285714285714286,0.43902439024390244,0.8,1.2390243902439024,221.35714285714286,0.45,0.8235294117647058,3.986423946574218,S5,108,0.5653442068485256
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,186.33333333333334,1.0,0.0,-1.813232440821998,S5,111,-0.16912555050724098
1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,149.5,0.5,1.0,1.0380467153421546,S5,112,0.11193646725085467
5.0,9.0,8.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.125,0.2222222222222222,0.5,0.7222222222222222,250.44444444444446,0.2222222222222222,0.5,-0.9565436356661533,S5,113,-0.05906128284173888
12.0,35.0,34.0,13.0,6.0,2.0,1.0,6.0,12.0,1.0,9.0,0.0,0.0,0.38235294117647056,0.4,1.0294117647058822,1.4294117647058822,208.45714285714286,0.42424242424242425,1.096774193548387,-1.2863797776868333,S5,114,0.013668447272502826
15.0,45.0,38.0,13.0,8.0,3.0,1.0,3.0,8.0,7.0,7.0,1.0,2.0,0.34210526315789475,0.4444444444444444,0.7105263157894737,1.154970760233918,242.64583333333334,0.4090909090909091,0.6923076923076923,3.607667637851176,S5,116,0.5437321674094998
1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,259.0,0.5,0.5,0.09165913070474255,S5,117,0.017297708787113463
11.0,28.0,22.0,4.0,3.0,2.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,0.18181818181818182,0.32142857142857145,0.2727272727272727,0.5941558441558441,303.44827586206895,0.34782608695652173,0.23529411764705882,-3.506965479536737,S5,118,-0.23685140792072482
16.0,48.0,40.0,18.0,10.0,1.0,1.0,2.0,6.0,8.0,4.0,0.0,1.0,0.45,0.5416666666666666,0.675,1.2166666666666668,231.71428571428572,0.5348837209302325,0.6857142857142857,8.504620384717445,S5,119,1.0456251356710855
14.0,39.0,36.0,10.0,3.0,3.0,1.0,1.0,6.0,3.0,9.0,0.0,1.0,0.2777777777777778,0.3333333333333333,0.5,0.8333333333333333,245.175,0.3684210526315789,0.6764705882352942,-3.2877345427297833,S5,122,-0.17020343779851374
9.0,23.0,19.0,6.0,5.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.3157894736842105,0.43478260869565216,0.5263157894736842,0.9610983981693364,251.7391304347826,0.4090909090909091,0.5,3.036438021561473,S5,125,0.3971594528974982
15.0,42.0,39.0,15.0,7.0,4.0,1.0,2.0,4.0,3.0,6.0,0.0,1.0,0.38461538461538464,0.42857142857142855,0.6923076923076923,1.120879120879121,235.3953488372093,0.45,0.7297297297297297,5.429768835279033,S5,126,0.7137445935773267
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,-1.305084745762712,S5,127,-0.1264425767179516
13.0,38.0,29.0,5.0,5.0,0.0,0.0,1.0,1.0,9.0,5.0,1.0,0.0,0.1724137931034483,0.3684210526315789,0.27586206896551724,0.6442831215970961,248.07692307692307,0.35294117647058826,0.2962962962962963,0.18384529425640259,S5,128,0.17288864804178522
14.0,39.0,36.0,17.0,8.0,5.0,2.0,4.0,11.0,3.0,5.0,0.0,0.0,0.4722222222222222,0.5128205128205128,1.0555555555555556,1.5683760683760684,186.76315789473685,0.5263157894736842,1.0857142857142856,5.161223552323259,S5,129,0.6746923717067904
13.0,41.0,34.0,12.0,9.0,2.0,0.0,2.0,5.0,7.0,3.0,1.0,1.0,0.35294117647058826,0.4634146341463415,0.5882352941176471,1.0516499282639886,241.02325581395348,0.43902439024390244,0.42424242424242425,6.421042798754436,S5,131,0.8088060920665473
12.0,33.0,24.0,5.0,5.0,1.0,0.0,1.0,5.0,7.0,7.0,0.0,0.0,0.20833333333333334,0.36363636363636365,0.375,0.7386363636363636,230.40625,0.3548387096774194,0.5416666666666666,-1.3759864994300866,S5,132,-0.0034240206184616984
13.0,34.0,33.0,8.0,4.0,1.0,0.0,4.0,6.0,1.0,19.0,0.0,0.0,0.24242424242424243,0.2647058823529412,0.6363636363636364,0.9010695187165776,244.85294117647058,0.24242424242424243,0.6666666666666666,-5.587857536225421,S5,134,-0.4205452264396755
3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,304.0,0.3333333333333333,0.0,-1.6139794787712718,S5,135,-0.14920025430216838
12.0,30.0,26.0,12.0,11.0,6.0,2.0,1.0,8.0,4.0,5.0,0.0,0.0,0.46153846153846156,0.5333333333333333,0.9615384615384616,1.494871794871795,198.72413793103448,0.5333333333333333,0.9259259259259259,9.672374626720645,S5,137,1.0892143984216527
10.0,28.0,27.0,10.0,5.0,5.0,3.0,0.0,9.0,0.0,5.0,2.0,0.0,0.37037037037037035,0.35714285714285715,0.7777777777777778,1.1349206349206349,222.66666666666666,0.37037037037037035,0.8333333333333334,-3.4489946712324793,S5,138,-0.231054327090299
10.0,28.0,22.0,10.0,8.0,3.0,0.0,2.0,5.0,5.0,4.0,0.0,0.0,0.45454545454545453,0.5357142857142857,0.8636363636363636,1.3993506493506493,198.1851851851852,0.5,0.75,5.854266313469094,S5,140,0.6992717713798584
1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,223.33333333333334,0.0,0.0,-1.4327919510988474,S5,141,-0.13108150153492593
8.0,23.0,18.0,6.0,4.0,3.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,0.3333333333333333,0.4782608695652174,0.6666666666666666,1.144927536231884,221.23809523809524,0.34782608695652173,0.5,3.31858787431424,S5,144,0.4253744381727749
12.0,29.0,26.0,7.0,5.0,3.0,0.0,2.0,7.0,3.0,5.0,1.0,0.0,0.2692307692307692,0.3448275862068966,0.6153846153846154,0.960212201591512,251.1,0.3103448275862069,0.5769230769230769,-2.077338815726803,S5,146,-0.08982284368141177
2.0,6.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,220.16666666666666,0.3333333333333333,0.4,-0.5730618568860695,S5,148,-0.03291079853868932
16.0,38.0,33.0,9.0,7.0,1.0,0.0,2.0,4.0,5.0,6.0,1.0,1.0,0.2727272727272727,0.3684210526315789,0.48484848484848486,0.8532695374800638,250.15,0.3611111111111111,0.46875,0.39437544005051595,S5,149,0.19394166262119655
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,-0.2039825157843613,S5,150,-0.016332353720116526
13.0,35.0,30.0,9.0,5.0,3.0,1.0,0.0,2.0,5.0,6.0,0.0,0.0,0.3,0.4,0.4666666666666667,0.8666666666666667,221.4,0.4,0.43333333333333335,2.274332367891092,S5,151,0.3697396618302954
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,140.5,1.0,0.0,0.2595228211666568,S5,152,0.030018179974985286
3.0,8.0,7.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.42857142857142855,0.8035714285714286,268.125,0.4,0.4,1.0707713726290065,S5,153,0.1396043201294575
3.0,5.0,5.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.6,0.6,1.4,2.0,164.4,0.6,1.2,0.5267621741716454,S5,155,0.07300570670876257
10.0,25.0,25.0,6.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.24,0.24,0.32,0.56,281.5416666666667,0.25,0.2916666666666667,-2.460949200922491,S5,157,-0.14444747363425897
4.0,9.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.47619047619047616,226.22222222222223,0.3333333333333333,0.14285714285714285,-0.40803575219098015,S5,158,-0.004210494494221573
9.0,27.0,27.0,7.0,3.0,3.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.25925925925925924,0.25925925925925924,0.5925925925925926,0.8518518518518519,261.962962962963,0.28,0.6666666666666666,-4.538681991802192,S5,159,-0.3440889570055899
10.0,28.0,23.0,7.0,5.0,1.0,0.0,4.0,7.0,5.0,4.0,0.0,0.0,0.30434782608695654,0.42857142857142855,0.8695652173913043,1.2981366459627328,223.04,0.4230769230769231,0.9090909090909091,-0.23087418706162874,S5,160,0.09075772132678604
15.0,43.0,37.0,14.0,7.0,3.0,0.0,3.0,7.0,5.0,9.0,0.0,1.0,0.3783783783783784,0.4418604651162791,0.7027027027027027,1.1445631678189818,232.29545454545453,0.45,0.7352941176470589,2.7799938115416847,S5,161,0.4528329890619115
11.0,29.0,28.0,8.0,3.0,0.0,0.0,2.0,6.0,1.0,4.0,0.0,1.0,0.2857142857142857,0.3103448275862069,0.5,0.8103448275862069,261.2,0.34615384615384615,0.56,-6.318804955212361,S5,162,-0.5139694576299675
4.0,8.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.25,0.625,0.25,0.875,236.55555555555554,0.625,0.25,3.222649641774173,S5,163,0.35479214704397416
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5,0.0,0.0,-0.651743709814212,S5,165,-0.05704257526478199
7.0,15.0,13.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.3076923076923077,0.4,0.5384615384615384,0.9384615384615385,240.0,0.4,0.5384615384615384,0.2608376166012881,S5,167,0.08707222953492288
14.0,35.0,32.0,5.0,2.0,2.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.15625,0.2,0.3125,0.5125,271.4,0.21212121212121213,0.3103448275862069,-7.86071004520123,S5,168,-0.6437645794789368
12.0,34.0,30.0,10.0,5.0,3.0,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.3333333333333333,0.38235294117647056,0.6,0.9823529411764705,250.55555555555554,0.41935483870967744,0.6666666666666666,-2.795171708013866,S5,169,-0.14127664361852005
4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,351.0,0.0,0.0,-1.9006838397407666,S5,170,-0.1616070989658394
6.0,16.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.15384615384615385,0.3125,0.23076923076923078,0.5432692307692308,282.125,0.23076923076923078,0.25,-3.029927263774238,S5,173,-0.2379383606443101
11.0,30.0,24.0,5.0,5.0,3.0,1.0,1.0,5.0,4.0,2.0,0.0,0.0,0.20833333333333334,0.3,0.5416666666666666,0.8416666666666666,240.20689655172413,0.34782608695652173,0.6666666666666666,-1.0214153278391862,S5,176,0.019835402965669525
11.0,24.0,20.0,5.0,4.0,0.0,1.0,2.0,8.0,3.0,5.0,0.0,0.0,0.25,0.3333333333333333,0.65,0.9833333333333334,242.20833333333334,0.30434782608695654,0.6666666666666666,0.7943294965017117,S5,178,0.17701449824984167
16.0,47.0,43.0,11.0,7.0,4.0,0.0,3.0,6.0,4.0,7.0,1.0,1.0,0.2558139534883721,0.3191489361702128,0.5581395348837209,0.8772884710539337,253.3265306122449,0.3181818181818182,0.5853658536585366,-0.659063765829118,S5,180,0.1251908227581096
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,-0.4668925551303047,S5,183,-0.03855745979639126
10.0,21.0,20.0,4.0,3.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,0.2,0.23809523809523808,0.45,0.6880952380952381,281.6666666666667,0.25,0.3888888888888889,-2.266708459578808,S5,184,-0.1412869909331691
4.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,299.1666666666667,0.2857142857142857,0.16666666666666666,-0.34173460688191987,S5,186,-0.0057121756799547565
12.0,24.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,0.15789473684210525,0.3333333333333333,0.15789473684210525,0.49122807017543857,278.32,0.30434782608695654,0.2,-3.1436683284330487,S5,187,-0.21678528424363436
