G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
2,4,4,1,0.0,0,1,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,0.0,1.0,0.0,264.0,0.25,0.25,-0.3147058823529411,0.006700000000000008,0,2,SM,4,4,1,1,0,0,0,S12,638.0,False,KEG,KEG,-0.012918552036199089
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,234.0,0.5,0.0,0.12815126050420178,-0.0144,0,1,SM,2,1,0,0,1,0,0,S12,647.0,False,SEF,SEF,0.02209114414996769
1,3,3,2,2.0,1,0,0,1,5,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,0.5,,0.3333333333333333,0.0,0.0,1.0,0.0,,197.0,0.6666666666666666,1.6666666666666667,2.2485994397759104,0.43010000000000004,1,0,S,3,3,2,5,0,0,0,S12,786.0,False,KEG,KEG,0.2387739711269123
2,4,4,2,0.0,0,2,0,0,4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,1.0,1.5,0.5,0.6666666666666666,,0.0,0.25,0.0,0.0,1.0,0.0,187.25,0.5,1.0,0.9343137254901961,-0.0399,0,1,WC,4,4,2,4,0,0,0,S12,1709.0,False,SEF,SEF,0.11198340874811463
1,2,2,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,165.0,0.5,0.5,0.2142857142857143,0.008199999999999999,0,1,BN,2,2,1,1,0,0,0,S12,1724.0,False,MMN,MMN,0.030704589528118942
1,3,3,2,1.0,1,0,0,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.0,,,,113.66666666666667,0.6666666666666666,1.6666666666666667,1.5357142857142858,0.11570000000000001,0,0,SF,3,3,2,5,0,0,0,S12,1725.0,False,SCR,SCR,0.16748545572074985
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,151.0,0.5,0.0,0.14128151260504196,0.015899999999999997,0,0,EN,2,1,0,0,1,0,0,S12,1734.0,False,MMN,MMN,0.023404169360051706
1,2,2,1,1.0,1,0,0,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,194.66666666666666,0.5,0.5,0.5819327731092437,0.0742,0,1,SM,2,2,1,1,0,0,0,S12,1776.0,False,SAL,SAL,0.06746929541047189
1,2,1,0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,225.0,0.5,0.0,0.4055672268907563,0.007099999999999999,0,1,WC,2,1,0,0,1,0,0,S12,1813.0,False,MMN,MMN,0.04983274078862314
2,6,4,1,0.0,0,1,0,0,2,1.0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0.25,0.5,0.5,1.0,0.25,0.5,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,184.5,0.5,0.5,1.1966036414565822,0.04680000000000002,0,1,WC,6,4,1,2,2,0,0,S12,1838.0,False,SCR,SCR,0.14748841844430075
