G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,4,3,1,0.0,1,0,0,0,1,2.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,,0.0,0.25,0.25,0.0,1.0,0.0,231.5,0.5,0.3333333333333333,1.2443642097397203,0.15139999999999998,0,1,BC,4,3,1,1,1,0,0,S7,39.0,False,BBC,BBC,3,0.1390141987517498
9,24,24,7,2.0,5,1,0,1,11,1.0,0,0,2,0,0,0,0,0,0,2,1,7,5,0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.75,0.16666666666666663,0.2857142857142857,,0.041666666666666664,0.08333333333333333,0.0,0.2,0.8,0.25,245.25,0.2916666666666667,0.43478260869565216,-1.8851149175868231,-0.2205,3,12,BC,24,23,6,10,1,0,0,S7,41.0,False,RRR,RRR,14,-0.10104482509201566
2,3,2,0,0.0,0,0,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,212.5,0.3333333333333333,0.0,0.005404542422145664,-0.0206,0,1,1B,3,2,0,0,1,0,0,S7,42.0,False,2TM,FAP,8,0.011473787575547897
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,212.5,0.5,0.0,0.1648792790819369,0.0011000000000000003,0,1,1B,2,1,0,0,1,0,0,S7,42.0,True,MMA,MMA,1,0.02377681679708258
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,0.0,0.0,-0.15947473665979123,-0.0217,0,0,1B,1,1,0,0,0,0,0,S7,42.0,True,FAP,FAP,8,-0.012303029221534678
3,7,7,2,0.0,2,0,0,0,2,0.0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.4,,0.0,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,2.0,276.85714285714283,0.2857142857142857,0.2857142857142857,-0.8472557401262454,-0.0276,2,1,BC,7,7,2,2,0,0,0,S7,48.0,False,BBC,BBC,12,-0.05921446290151343
8,24,23,6,5.0,1,1,2,2,17,4.0,0,0,8,0,0,0,0,1,0,1,2,7,0,0,0.2608695652173913,0.25,0.7391304347826086,0.9891304347826086,0.47826086956521735,0.2857142857142857,,0.08333333333333333,0.3333333333333333,0.0,0.2727272727272727,0.7272727272727273,0.375,244.91666666666666,0.25,0.5909090909090909,1.2480001374972338,0.06269999999999995,3,8,BN,24,22,5,13,1,1,0,S7,55.0,False,RRR,RRR,14,0.21226668041639005
7,18,12,4,2.0,2,1,0,1,8,2.0,6,0,1,0,0,1,0,0,0,1,2,2,2,0,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.2222222222222223,0.3333333333333333,0.3,0.0,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.75,229.57894736842104,0.5555555555555556,0.6666666666666666,1.8428395738005223,0.13979999999999998,3,4,WC,18,12,4,8,6,0,0,S7,63.0,False,STK,STK,14,0.2498839573800522
3,6,6,2,0.0,0,2,0,0,4,2.0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,233.16666666666666,0.3333333333333333,0.6666666666666666,1.463795095567678,0.39599999999999996,0,2,BN,6,6,2,4,0,0,0,S7,65.0,False,SSC,SSC,14,0.16824617622343446
7,16,16,4,3.0,1,3,0,0,7,0.0,0,0,0,0,0,0,0,0,2,4,1,3,4,0,0.25,0.25,0.4375,0.6875,0.1875,0.25,,0.0,0.0,0.0,0.5,0.5,1.0,265.0,0.25,0.4375,-3.033359604536372,-0.1808,7,7,SF,16,16,4,7,0,0,0,S7,66.0,False,SSC,SSC,13,-0.24502484934252608
