G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
1,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6181818181818182,-0.0644,0.0036073500967117866,1.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,1.0,-30.0,260.0,0.25,0.0,S12,FLA
1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6181818181818182,-0.0666,-0.01274903288201161,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,-6.0,283.5,0.3333333333333333,0.0,S12,HOU
1,9.0,9.0,5.0,3.0,1.0,2.0,0.0,2.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.7636363636363637,0.24459999999999998,0.323571083172147,1.0,1.0,0.5555555555555556,0.5555555555555556,1.4444444444444444,2.0,0.8888888888888888,0.6,0.0,0.2222222222222222,0.2222222222222222,0.0,0.5,0.5,1.0,261.0,174.66666666666666,0.5555555555555556,1.4444444444444444,S12,KCR
1,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.6181818181818182,-0.0666,-0.01274903288201161,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,41.0,263.0,0.3333333333333333,0.3333333333333333,S12,LAD
1,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,-1.2363636363636363,-0.1387,-0.025498065764023217,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4,0.6,0.6666666666666666,-100.0,341.8333333333333,0.0,0.0,S12,MIL
1,6.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381818181818182,0.3532,0.3363201160541586,0.0,0.0,1.0,1.0,2.3333333333333335,3.3333333333333335,1.3333333333333335,1.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,513.0,137.83333333333334,1.0,2.3333333333333335,S12,MIN
1,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-1.2363636363636366,-0.0635,-0.041854448742746624,3.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.75,0.25,3.0,-44.0,331.4,0.2,0.0,S12,MTL
1,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,-1.8545454545454545,-0.165,-0.054603481624758234,3.0,3.0,0.125,0.125,0.125,0.25,0.0,0.14285714285714285,0.0,0.0,0.125,0.0,0.5,0.5,1.0,-47.0,321.875,0.125,0.125,S12,NYM
1,9.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.7636363636363639,0.1305,0.223571083172147,3.0,2.0,0.25,0.3333333333333333,0.625,0.9583333333333333,0.375,0.16666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6,0.4,1.5,82.0,248.11111111111111,0.3333333333333333,0.625,S12,NYY
1,7.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.23636363636363633,-0.0548,0.09085831721470014,3.0,1.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.0,0.4285714285714286,0.25,0.0,0.14285714285714285,0.2857142857142857,0.0,0.75,0.25,3.0,82.0,244.14285714285714,0.2857142857142857,0.7142857142857143,S12,OAK
1,7.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-0.23636363636363633,0.016399999999999998,0.09085831721470017,2.0,2.0,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.9523809523809523,0.5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,75.0,304.57142857142856,0.2857142857142857,0.6666666666666666,S12,PHI
1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6181818181818182,-0.0645,-0.01274903288201161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,425.3333333333333,0.0,0.0,S12,PIT
1,8.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.23636363636363633,-0.03070000000000002,0.10721470019342359,1.0,1.0,0.25,0.25,0.625,0.875,0.375,0.3333333333333333,1.0,0.125,0.5,0.0,0.5,0.5,1.0,59.0,228.11111111111111,0.25,0.625,S12,SDP
1,10.0,9.0,3.0,3.0,1.0,0.0,1.0,1.0,8.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.7636363636363641,0.2367,0.3399274661508703,3.0,2.0,0.3333333333333333,0.4,0.8888888888888888,1.2888888888888888,0.5555555555555556,0.2857142857142857,1.0,0.1,0.1,0.1,0.6,0.4,1.5,139.0,248.1818181818182,0.4,0.8888888888888888,S12,SEA
1,6.0,6.0,4.0,2.0,1.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.3818181818181818,0.17390000000000003,0.23632011605415856,2.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,277.0,140.33333333333334,0.6666666666666666,1.3333333333333333,S12,SFG
1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.6181818181818182,-0.0703,-0.01274903288201161,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,-100.0,363.0,0.0,0.0,S12,STL
1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,-1.2363636363636363,-0.0917,-0.05821083172147001,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,-100.0,302.75,0.0,0.0,S12,TBR
1,9.0,9.0,4.0,1.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-0.23636363636363633,0.06240000000000002,0.12357108317214699,5.0,0.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,1.1111111111111112,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120.0,278.1111111111111,0.4444444444444444,0.6666666666666666,S12,TEX
1,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.6181818181818182,-0.0644,0.003607350096711792,1.0,1.0,0.25,0.25,0.75,1.0,0.5,0.3333333333333333,0.0,0.0,0.25,0.0,0.5,0.5,1.0,77.0,265.0,0.25,0.75,S12,TOR
