G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,2,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,181.0,0.5,0.5,0.5936335403726708,0.0907,0,0,BC,S1,3.0,False,ARI,ARI,2,0.06653835403726707
5,11,10,2,2,0,2,0,0,4,0,1,0,4,0,0,0,0,0,0,0,1,3,0,0,0.2,0.2727272727272727,0.4,0.6727272727272727,0.2,0.3333333333333333,,0.0,0.36363636363636365,0.09090909090909091,0.25,0.75,0.3333333333333333,240.54545454545453,0.2727272727272727,0.4,0.156473923330961,-0.11069999999999999,1,3,,S1,4.0,False,MIN,MIN,7,0.055109892333096086
7,19,17,3,3,2,1,0,0,4,0,2,0,6,0,0,0,0,0,0,0,6,2,0,0,0.17647058823529413,0.2631578947368421,0.23529411764705882,0.4984520123839009,0.05882352941176469,0.2727272727272727,,0.0,0.3157894736842105,0.10526315789473684,0.75,0.25,3.0,294.5263157894737,0.2631578947368421,0.23529411764705882,-2.0623325944668567,-0.2491,6,2,BP,S1,5.0,False,ATL,ATL,7,-0.13807075944668568
7,19,16,6,7,0,5,0,1,14,4,3,0,3,1,0,0,0,0,2,0,5,2,0,0,0.375,0.47368421052631576,0.875,1.3486842105263157,0.5,0.4166666666666667,,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.7777777777777778,0.2222222222222222,3.5,226.16666666666666,0.47368421052631576,0.875,1.5392125573327982,-0.2635,7,2,BN,S1,8.0,False,ARI,ARI,7,0.22208375573327982
1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,158.0,0.5,0.0,-0.044942484416168604,0.0181,0,1,BP,S1,14.0,False,ARI,ARI,7,0.002680751558383139
7,20,18,7,5,2,2,0,3,18,7,2,0,3,0,0,0,0,0,1,0,3,5,0,0,0.3888888888888889,0.45,1.0,1.45,0.6111111111111112,0.3333333333333333,,0.15,0.15,0.1,0.4444444444444444,0.5555555555555556,0.8,200.3,0.45,1.0,5.861670256475173,0.3642000000000001,4,5,BP,S1,15.0,False,ARI,ARI,7,0.6579170256475173
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,380.0,0.0,0.0,-1.0577683615819211,-0.0827,0,1,BN,S1,23.0,False,TOR,TOR,7,-0.09860183615819211
7,21,19,2,2,1,1,0,0,3,2,1,0,2,0,0,0,0,1,1,0,3,13,0,0,0.10526315789473684,0.14285714285714285,0.15789473684210525,0.3007518796992481,0.05263157894736842,0.1111111111111111,,0.0,0.09523809523809523,0.047619047619047616,0.2222222222222222,0.7777777777777778,0.2857142857142857,261.04761904761904,0.14285714285714285,0.15789473684210525,-3.3853721724198134,-0.22139999999999999,4,14,BC,S1,37.0,False,WAS,WAS,7,-0.2631997172419814
1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,,327.6666666666667,0.3333333333333333,0.0,-1.17480285481315,-0.25270000000000004,2,0,BC,S1,39.0,False,HOU,HOU,2,-0.10671778548131498
7,19,17,8,7,4,2,0,2,16,7,2,0,1,1,0,0,0,0,1,0,4,3,1,0,0.47058823529411764,0.5263157894736842,0.9411764705882353,1.4674922600619196,0.47058823529411764,0.42857142857142855,,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.5555555555555556,0.4444444444444444,1.25,196.44444444444446,0.5263157894736842,0.9411764705882353,2.258835908824073,0.3197,5,4,BC,S1,47.0,False,PHI,PHI,7,0.2940460908824073
5,14,14,3,1,0,3,0,0,6,1,0,0,3,0,0,0,0,0,3,0,4,4,0,0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.6428571428571428,0.21428571428571427,0.2727272727272727,,0.0,0.21428571428571427,0.0,0.6363636363636364,0.36363636363636365,1.75,273.35714285714283,0.21428571428571427,0.42857142857142855,-4.038702025496429,-0.02659999999999997,7,4,BN,S1,51.0,False,2TM,TOR,7,-0.3536452025496429
4,11,11,1,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,2,0,3,4,0,0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.125,,0.0,0.2727272727272727,0.0,0.5555555555555556,0.4444444444444444,1.25,300.27272727272725,0.09090909090909091,0.18181818181818182,-4.642080128874532,-0.14149999999999996,5,4,BN,S1,51.0,True,ATL,ATL,6,-0.42474551288745327
1,3,3,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,,0.0,0.0,0.0,1.0,0.0,,174.66666666666666,0.6666666666666666,1.3333333333333333,0.6033781033781038,0.11489999999999999,2,0,BN,S1,51.0,True,TOR,TOR,7,0.07110031033781038
7,19,18,3,2,2,0,0,1,6,2,1,0,3,0,0,0,0,0,1,0,6,3,3,0,0.16666666666666666,0.21052631578947367,0.3333333333333333,0.5438596491228069,0.16666666666666666,0.14285714285714285,,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.5384615384615384,0.46153846153846156,1.1666666666666667,303.1578947368421,0.21052631578947367,0.3333333333333333,-3.5518838576876623,-0.38630000000000003,7,6,BC,S1,56.0,False,TOR,TOR,7,-0.28702588576876625
4,9,8,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,0.125,0.2222222222222222,0.125,0.3472222222222222,0.0,0.14285714285714285,,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.8333333333333334,0.2,238.22222222222223,0.2222222222222222,0.125,-1.3683767916273661,-0.18719999999999998,1,5,BP,S1,58.0,False,2TM,MIN,6,-0.10455017916273661
3,7,6,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,0.0,0.2,,0.0,0.14285714285714285,0.14285714285714285,0.25,0.75,0.3333333333333333,233.42857142857142,0.2857142857142857,0.16666666666666666,-0.9714730914627963,-0.15349999999999997,1,3,BP,S1,58.0,True,NYM,NYM,3,-0.07203480914627962
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,255.0,0.0,0.0,-0.3969037001645698,-0.0337,0,2,BP,S1,58.0,True,MIN,MIN,6,-0.032515370016456976
2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,307.0,0.0,0.0,-0.9610802368239438,-0.12259999999999999,2,2,BC,S1,74.0,False,ARI,ARI,4,-0.08534552368239438
3,8,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,1,0,0.0,0.125,0.0,0.125,0.0,0.0,,0.0,0.375,0.125,0.5,0.5,1.0,326.75,0.125,0.0,-1.2057468554190938,-0.05620000000000001,2,2,BP,S1,93.0,False,NYM,NYM,3,-0.09187468554190939
5,13,13,3,1,2,0,1,0,5,2,0,0,5,2,0,0,0,0,0,0,2,3,0,0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.15384615384615385,0.375,,0.0,0.38461538461538464,0.0,0.4,0.6,0.6666666666666666,246.45454545454547,0.23076923076923078,0.38461538461538464,-0.8075322423148508,-0.3278,2,3,BC,S1,100.0,False,DET,DET,7,-0.03411572423148508
6,17,15,3,2,1,1,0,1,7,2,2,0,2,1,0,0,0,0,0,0,7,2,1,0,0.2,0.29411764705882354,0.4666666666666667,0.7607843137254902,0.26666666666666666,0.16666666666666666,,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.7,0.3,2.3333333333333335,297.0625,0.29411764705882354,0.4666666666666667,0.8139997416920761,0.1023,7,3,BC,S1,101.0,False,DET,DET,7,0.1423874741692076
