G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
13.0,31.0,28.0,13.0,8.0,6.0,5.0,0.0,2.0,24.0,5.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.4642857142857143,0.5161290322580645,0.8571428571428571,1.3732718894009217,0.3928571428571428,0.5238095238095238,0.0,0.06451612903225806,0.16129032258064516,0.0967741935483871,0.7,0.3,2.3333333333333335,215.67741935483872,0.5161290322580645,0.8571428571428571,5.346131150593208,0.3588,7.0,3.0,S8,10,ATL,False,ATL,0.6546539089716139
15.0,43.0,37.0,12.0,10.0,0.0,4.0,0.0,8.0,40.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,0.32432432432432434,0.4186046511627907,1.0810810810810811,1.499685732243872,0.7567567567567568,0.23529411764705882,,0.18604651162790697,0.27906976744186046,0.13953488372093023,0.5,0.5,1.0,205.48837209302326,0.4186046511627907,1.0810810810810811,3.256269187866549,1.5898000000000003,7.0,7.0,S8,14,ARI,False,ARI,0.4921351167940292
8.0,23.0,21.0,4.0,3.0,2.0,1.0,0.0,1.0,8.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,2.0,0.0,0.19047619047619047,0.2608695652173913,0.38095238095238093,0.6418219461697723,0.19047619047619047,0.23076923076923078,,0.043478260869565216,0.30434782608695654,0.08695652173913043,0.36363636363636365,0.6363636363636364,0.5714285714285714,254.6086956521739,0.2608695652173913,0.38095238095238093,-3.342367016287711,-0.4669,4.0,7.0,S8,17,STL,False,STL,-0.24517417711319883
16.0,45.0,38.0,11.0,5.0,8.0,0.0,1.0,2.0,19.0,8.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,6.0,4.0,0.0,0.2894736842105263,0.4,0.5,0.9,0.21052631578947367,0.28125,,0.044444444444444446,0.08888888888888889,0.15555555555555556,0.6153846153846154,0.38461538461538464,1.6,245.13636363636363,0.4,0.5,-4.277652099775488,0.20180000000000003,16.0,10.0,S8,18,BOS,False,BOS,-0.2535124446209943
5.0,16.0,13.0,4.0,3.0,1.0,1.0,0.0,2.0,11.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.3076923076923077,0.4375,0.8461538461538461,1.2836538461538463,0.5384615384615384,0.2857142857142857,,0.125,0.25,0.1875,0.6666666666666666,0.3333333333333333,2.0,220.75,0.4375,0.8461538461538461,0.6388208640676942,-0.09910000000000004,4.0,2.0,S8,20,CLE,False,CLE,0.125838625200211
15.0,39.0,36.0,13.0,7.0,8.0,3.0,0.0,2.0,22.0,6.0,3.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,0.3611111111111111,0.41025641025641024,0.6111111111111112,1.0213675213675213,0.25000000000000006,0.44,1.0,0.05128205128205128,0.23076923076923078,0.07692307692307693,0.42857142857142855,0.5714285714285714,0.75,219.70731707317074,0.41025641025641024,0.6111111111111112,3.823796613247056,0.35169999999999996,6.0,8.0,S8,22,SFG,False,SFG,0.5333987246337195
12.0,27.0,24.0,7.0,6.0,3.0,0.0,1.0,3.0,18.0,6.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.2916666666666667,0.37037037037037035,0.75,1.1203703703703702,0.4583333333333333,0.26666666666666666,,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.36363636363636365,0.6363636363636364,0.5714285714285714,231.42307692307693,0.37037037037037035,0.75,0.6852096353118998,0.2149000000000001,4.0,7.0,S8,24,BOS,False,BOS,0.1730726227451227
10.0,23.0,22.0,3.0,3.0,1.0,0.0,0.0,2.0,9.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.13636363636363635,0.17391304347826086,0.4090909090909091,0.5830039525691699,0.27272727272727276,0.0625,1.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.4666666666666667,0.5333333333333333,0.875,292.4583333333333,0.17391304347826086,0.4090909090909091,-1.440258632866411,-0.43709999999999993,7.0,8.0,S8,32,BAL,False,BAL,-0.05496333877106881
16.0,49.0,44.0,12.0,5.0,10.0,1.0,1.0,0.0,15.0,5.0,5.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,7.0,0.0,0.2727272727272727,0.3469387755102041,0.3409090909090909,0.687847866419295,0.06818181818181818,0.34285714285714286,0.6666666666666666,0.0,0.1836734693877551,0.10204081632653061,0.2608695652173913,0.7391304347826086,0.35294117647058826,256.66,0.3469387755102041,0.3409090909090909,0.6337218334739753,-0.08479999999999992,6.0,17.0,S8,34,BOS,False,BOS,0.2531140834023124
10.0,30.0,24.0,9.0,6.0,6.0,3.0,0.0,0.0,12.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.375,0.4666666666666667,0.5,0.9666666666666667,0.125,0.6,,0.0,0.3333333333333333,0.16666666666666666,0.5714285714285714,0.42857142857142855,1.3333333333333333,225.43333333333334,0.4666666666666667,0.5,5.618870076948679,0.22109999999999996,4.0,3.0,S8,41,CIN,False,CIN,0.6780555179325709
