G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
10.0,38.0,150.0,32.0,16.0,12.0,0.0,2.0,32.0,9.0,2.526315789473684,1.1578947368421053,5.052631578947368,1.4210526315789473,1.894736842105263,5.052631578947368,2.6666666666666665,0.23357664233576642,0.29333333333333333,0.48905109489051096,0.7823844282238444,0.23711340206185566,0.06,0.21333333333333335,0.08,0.547945205479452,0.4520547945205479,1.2121212121212122,265.35333333333335,-4.249718037807009,0.28060000000000007,137.0,1.0,0.0,8.0,0.0,40.0,33.0,S3,148,LAA,3.475540611283373,37.666666666666664,119,8.0,3.0,2.0,2.0,3,2,0,0,0.6,1.2285316040845864
11.0,34.333333333333336,150.0,34.0,26.0,18.0,0.0,0.0,55.0,12.0,4.543689320388349,1.5145631067961165,5.941747572815533,2.0970873786407767,3.145631067961165,9.611650485436893,3.0555555555555554,0.2595419847328244,0.3466666666666667,0.6183206106870229,0.9649872773536896,0.3384615384615385,0.08,0.36666666666666664,0.12,0.47619047619047616,0.5238095238095238,0.9090909090909091,234.1184210526316,3.502350184208559,-0.9078999999999998,131.0,1.0,0.0,9.0,1.0,20.0,22.0,S3,149,CLE/LAA,4.046056707348779,35.666666666666664,72,5.0,8.0,2.0,1.0,2,3,1,0,0.4,0.45332478188302955
11.0,15.333333333333334,74.0,20.0,13.0,14.0,1.0,0.0,14.0,5.0,5.08695652173913,2.217391304347826,7.826086956521739,1.9565217391304348,5.478260869565217,5.478260869565217,1.0,0.3389830508474576,0.4594594594594595,0.6949152542372882,1.1543747136967477,0.36585365853658536,0.06756756756756757,0.1891891891891892,0.1891891891891892,0.64,0.36,1.7777777777777777,228.70666666666668,3.169843180970229,0.3882,59.0,1.0,0.0,4.0,1.0,16.0,9.0,S3,150,LAA,6.285609261168957,16.0,56,0.0,9.0,0.0,0.0,2,2,2,0,0.5,0.07943851671956055
2.0,1.3333333333333333,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4.5,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.25,0.75,0.3333333333333333,223.8,-0.7694320604768365,0.0465,4.0,0.0,0.0,0.0,0.0,1.0,3.0,S3,163,LAD,3.383435348125478,2.0,0,0.0,2.0,0.0,0.0,0,0,0,0,0.0,0.10372853272447984
12.0,42.666666666666664,169.0,26.0,22.0,19.0,0.0,0.0,68.0,14.0,3.09375,1.0546875,3.65625,1.96875,2.671875,9.5625,3.5789473684210527,0.174496644295302,0.26627218934911245,0.4899328859060403,0.7562050752551528,0.17647058823529413,0.08284023668639054,0.40236686390532544,0.11242603550295859,0.5272727272727272,0.4727272727272727,1.1153846153846154,254.93373493975903,-1.9388930488416833,0.13959999999999978,149.0,1.0,0.0,3.0,1.0,29.0,26.0,S3,164,LAD,3.547497848125478,43.333333333333336,89,9.0,1.0,1.0,1.0,3,3,0,1,0.5,1.0992333465598791
12.0,34.0,147.0,33.0,21.0,20.0,0.0,0.0,20.0,9.0,3.7058823529411766,1.5588235294117647,5.823529411764706,1.5882352941176472,3.5294117647058822,3.5294117647058822,1.0,0.264,0.36054421768707484,0.576,0.9365442176870749,0.24489795918367346,0.061224489795918366,0.1360544217687075,0.1360544217687075,0.6388888888888888,0.3611111111111111,1.7692307692307692,250.57823129251702,0.25280086308855854,0.004100000000000048,125.0,2.0,0.0,8.0,2.0,46.0,26.0,S3,165,LAD,5.16284711283136,35.0,81,7.0,5.0,1.0,0.0,2,1,0,0,0.6666666666666666,0.7622085179889518
5.0,7.333333333333333,30.0,5.0,4.0,2.0,1.0,0.0,6.0,3.0,3.272727272727273,0.9545454545454546,4.090909090909092,2.4545454545454546,1.6363636363636367,4.909090909090909,3.0,0.19230769230769232,0.23333333333333334,0.6153846153846154,0.8487179487179488,0.10526315789473684,0.1,0.2,0.06666666666666667,0.5333333333333333,0.4666666666666667,1.1428571428571428,283.48275862068965,-1.4441151901901992,-0.1533,26.0,2.0,0.0,0.0,1.0,8.0,7.0,S3,166,LAD,5.633435348125478,8.666666666666666,90,0.0,3.0,0.0,0.0,0,2,0,1,0.0,0.30512347907979703
10.0,12.0,58.0,18.0,9.0,4.0,1.0,0.0,8.0,3.0,4.5,1.8333333333333333,9.0,1.5,2.0,4.0,2.0,0.34615384615384615,0.3793103448275862,0.6346153846153846,1.0139257294429709,0.3488372093023256,0.05172413793103448,0.13793103448275862,0.06896551724137931,0.38461538461538464,0.6153846153846154,0.625,215.74137931034483,-5.401661659163197,2.7386,52.0,2.0,0.0,6.0,0.0,10.0,16.0,S3,167,LAD,4.050102014792145,13.666666666666666,46,0.0,5.0,0.0,0.0,2,1,1,2,0.6666666666666666,0.8508759553671552
1.0,3.3333333333333335,15.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,5.3999999999999995,1.5,9.0,0.0,0.0,9.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.8,0.5,0.0,0.3333333333333333,0.0,0.4,0.6,0.6666666666666666,214.77777777777777,1.010992094028839,0.0688,15.0,0.0,0.0,2.0,0.0,2.0,3.0,S3,181,MIA,-1.8665646518745218,3.3333333333333335,182,,,,,1,0,0,1,1.0,-0.020743229372495363
6.0,24.666666666666668,109.0,22.0,7.0,16.0,0.0,0.0,17.0,1.0,1.7027027027027026,1.5405405405405406,5.351351351351351,0.2432432432432432,3.891891891891891,4.135135135135135,1.0625,0.2391304347826087,0.3486238532110092,0.40217391304347827,0.7507977662544875,0.28,0.009174311926605505,0.1559633027522936,0.14678899082568808,0.4528301886792453,0.5471698113207547,0.8275862068965517,259.5272727272727,-9.088543489293567,1.0045000000000002,92.0,1.0,0.0,8.0,2.0,24.0,29.0,S3,182,MIA,2.228029942720073,26.0,156,4.0,4.0,2.0,1.0,1,2,0,0,0.3333333333333333,1.4927744704835135
11.0,39.666666666666664,160.0,35.0,9.0,14.0,1.0,0.0,35.0,2.0,1.361344537815126,1.2352941176470589,5.294117647058824,0.3025210084033614,2.1176470588235294,5.294117647058824,2.5,0.23972602739726026,0.30625,0.3972602739726027,0.7035102739726027,0.30275229357798167,0.0125,0.21875,0.0875,0.38666666666666666,0.6133333333333333,0.6304347826086957,253.81437125748502,-17.376666860822382,3.1816999999999993,146.0,0.0,0.0,11.0,3.0,29.0,46.0,S3,183,MIA,1.0830151800582513,39.666666666666664,116,7.0,7.0,3.0,1.0,4,0,1,0,1.0,2.594797139739716
12.0,31.333333333333332,142.0,31.0,14.0,19.0,1.0,2.0,24.0,4.0,2.6808510638297873,1.5957446808510638,5.9361702127659575,0.7659574468085107,3.638297872340426,4.595744680851064,1.263157894736842,0.256198347107438,0.352112676056338,0.49586776859504134,0.8479804446513793,0.28421052631578947,0.028169014084507043,0.16901408450704225,0.13380281690140844,0.4393939393939394,0.5606060606060606,0.7837837837837838,242.3357142857143,-5.128176316963772,0.39469999999999994,121.0,2.0,0.0,11.0,3.0,29.0,37.0,S3,197,MIL,3.080243858763776,35.0,128,3.0,8.0,1.0,0.0,2,3,0,0,0.4,1.2735209093173887
12.0,26.666666666666668,116.0,29.0,18.0,12.0,0.0,0.0,21.0,11.0,4.05,1.5374999999999999,6.5249999999999995,2.4749999999999996,2.6999999999999997,4.725,1.75,0.27884615384615385,0.35344827586206895,0.7211538461538461,1.0746021220159152,0.25,0.09482758620689655,0.1810344827586207,0.10344827586206896,0.3148148148148148,0.6851851851851852,0.4594594594594595,231.38983050847457,1.4204744956335922,0.18540000000000006,104.0,0.0,0.0,11.0,1.0,17.0,37.0,S3,198,MIL,6.270935348125478,27.666666666666668,65,6.0,4.0,1.0,1.0,1,2,1,0,0.3333333333333333,0.4793721293383121
7.0,9.0,52.0,18.0,16.0,8.0,1.0,7.0,9.0,4.0,10.666666666666666,2.888888888888889,12.0,2.6666666666666665,5.333333333333333,6.0,1.125,0.4090909090909091,0.5,0.7727272727272727,1.2727272727272727,0.45161290322580644,0.07692307692307693,0.17307692307692307,0.15384615384615385,0.5882352941176471,0.4117647058823529,1.4285714285714286,217.12765957446808,11.334071542618036,-0.35339999999999994,44.0,0.0,0.0,4.0,0.0,10.0,7.0,S3,199,CLE/MIL/MTL/NYM,7.577879792569923,9.666666666666666,34,5.0,0.0,0.0,0.0,0,4,0,0,0.0,-0.8548397568231232
8.0,26.666666666666668,117.0,34.0,12.0,7.0,1.0,1.0,25.0,4.0,2.6999999999999997,1.5374999999999999,7.6499999999999995,0.8999999999999999,1.5750000000000002,5.625,3.5714285714285716,0.3177570093457944,0.3504273504273504,0.5514018691588785,0.9018292195862289,0.37037037037037035,0.03418803418803419,0.21367521367521367,0.05982905982905983,0.5833333333333334,0.4166666666666667,1.4,248.35135135135135,-3.2174895925291542,0.7724000000000002,107.0,3.0,0.0,9.0,2.0,28.0,20.0,S3,201,MIL/NYM,1.995935348125478,28.666666666666668,144,5.0,4.0,1.0,0.0,2,1,0,0,0.6666666666666666,0.9485256034899461
1.0,0.6666666666666666,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,9.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,285.0,-0.3587652882935352,0.0015,2.0,0.0,0.0,0.0,0.0,1.0,0.0,S3,211,MIL,1.1334353481254782,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.046590659500072
5.0,9.0,33.0,6.0,3.0,4.0,2.0,0.0,5.0,2.0,2.0,1.1111111111111112,4.0,1.3333333333333333,2.6666666666666665,3.3333333333333335,1.25,0.20689655172413793,0.30303030303030304,0.4482758620689655,0.7513061650992685,0.18181818181818182,0.06060606060606061,0.15151515151515152,0.12121212121212122,0.7777777777777778,0.2222222222222222,3.5,260.93548387096774,-3.7285542457285703,0.6623999999999999,29.0,0.0,0.0,1.0,0.0,14.0,4.0,S3,216,MTL/OAK,4.24454645923659,10.0,151,2.0,2.0,0.0,0.0,0,1,1,0,0.0,0.5496385806397118
7.0,18.0,70.0,13.0,4.0,2.0,0.0,0.0,12.0,1.0,1.3333333333333333,0.8333333333333334,4.333333333333333,0.3333333333333333,0.6666666666666666,4.0,6.0,0.19402985074626866,0.21428571428571427,0.3880597014925373,0.6023454157782516,0.21818181818181817,0.014285714285714285,0.17142857142857143,0.02857142857142857,0.47619047619047616,0.5238095238095238,0.9090909090909091,259.6714285714286,-6.922847020955615,1.7468000000000001,67.0,1.0,0.0,6.0,2.0,20.0,22.0,S3,217,MTL,0.8556575703477004,20.0,146,2.0,4.0,0.0,0.0,1,1,2,0,0.5,1.0672792755707081
8.0,19.333333333333332,82.0,16.0,8.0,8.0,1.0,0.0,15.0,2.0,2.4827586206896552,1.2413793103448276,4.965517241379311,0.6206896551724139,2.4827586206896557,4.655172413793103,1.875,0.22535211267605634,0.2926829268292683,0.39436619718309857,0.6870491240123668,0.24561403508771928,0.024390243902439025,0.18292682926829268,0.0975609756097561,0.4358974358974359,0.5641025641025641,0.7727272727272727,246.82716049382717,-3.217561460662995,0.5737000000000001,71.0,3.0,0.0,4.0,1.0,17.0,22.0,S3,218,MTL,2.1679181067461677,20.333333333333332,103,5.0,3.0,1.0,1.0,1,1,0,1,0.5,0.761035503565757
11.0,28.333333333333332,121.0,32.0,17.0,7.0,0.0,0.0,14.0,7.0,3.6,1.3764705882352941,6.776470588235294,1.4823529411764707,1.4823529411764707,2.9647058823529413,2.0,0.2831858407079646,0.32231404958677684,0.6017699115044248,0.9240839610912017,0.26881720430107525,0.05785123966942149,0.11570247933884298,0.05785123966942149,0.6268656716417911,0.373134328358209,1.68,233.1,-1.3341242091477092,0.4776999999999999,113.0,1.0,0.0,11.0,2.0,42.0,25.0,S3,219,MTL,4.0981412304784195,30.0,84,4.0,6.0,1.0,0.0,3,2,0,2,0.6,0.7816173264932385
10.0,32.333333333333336,131.0,23.0,17.0,12.0,1.0,2.0,29.0,10.0,3.154639175257732,1.0824742268041236,4.268041237113401,1.8556701030927831,2.22680412371134,5.381443298969072,2.4166666666666665,0.19327731092436976,0.26717557251908397,0.5042016806722689,0.7713772531913529,0.1625,0.07633587786259542,0.22137404580152673,0.0916030534351145,0.417910447761194,0.582089552238806,0.717948717948718,248.52307692307693,-1.520431004673891,0.6997,119.0,0.0,0.0,5.0,1.0,28.0,39.0,S3,220,MTL/NYM,4.473641533692488,32.666666666666664,97,6.0,5.0,2.0,1.0,4,2,0,1,0.6666666666666666,0.8538186593994489
5.0,5.666666666666667,25.0,6.0,4.0,0.0,0.0,0.0,7.0,3.0,4.235294117647059,1.0588235294117647,6.352941176470589,3.1764705882352944,0.0,7.4117647058823515,0.0,0.2608695652173913,0.24,0.6956521739130435,0.9356521739130435,0.2,0.12,0.28,0.0,0.5,0.5,1.0,227.57692307692307,-2.968225115248152,-0.7474999999999999,23.0,2.0,0.0,1.0,0.0,5.0,5.0,S3,233,NYM,5.545200054007831,7.333333333333333,54,0.0,4.0,0.0,0.0,0,0,0,0,0.0,0.430749144908796
10.0,31.333333333333332,140.0,32.0,20.0,14.0,0.0,5.0,35.0,13.0,3.8297872340425534,1.4680851063829787,6.127659574468086,2.4893617021276597,2.6808510638297873,6.702127659574469,2.5,0.25806451612903225,0.32857142857142857,0.6693548387096774,0.997926267281106,0.24358974358974358,0.09285714285714286,0.25,0.1,0.45614035087719296,0.543859649122807,0.8387096774193549,241.91970802919707,-3.434318139446732,0.6134000000000002,124.0,2.0,0.0,6.0,3.0,26.0,31.0,S3,234,BOS/NYM,5.633435348125478,33.0,58,5.0,7.0,3.0,0.0,2,4,0,0,0.3333333333333333,1.0934209608949663
2.0,8.666666666666666,40.0,14.0,7.0,2.0,1.0,0.0,8.0,2.0,4.846153846153847,1.8461538461538463,9.692307692307693,1.3846153846153846,1.3846153846153846,5.538461538461538,4.0,0.3684210526315789,0.4,0.7368421052631579,1.1368421052631579,0.42857142857142855,0.05,0.2,0.05,0.5,0.5,1.0,230.65853658536585,1.5131303386090775,-0.8047,38.0,0.0,0.0,6.0,1.0,8.0,8.0,S3,235,NYM,2.9795891942793244,8.0,31,1.0,1.0,0.0,0.0,0,1,0,0,0.0,0.06296957955346168
7.0,15.666666666666666,84.0,21.0,16.0,16.0,0.0,8.0,12.0,3.0,6.127659574468085,2.3617021276595747,8.042553191489361,1.148936170212766,6.127659574468086,4.595744680851064,0.75,0.3230769230769231,0.44047619047619047,0.6153846153846154,1.0558608058608059,0.33962264150943394,0.03571428571428571,0.14285714285714285,0.19047619047619047,0.625,0.375,1.6666666666666667,225.64,5.672149582989713,-0.33070000000000005,65.0,3.0,0.0,6.0,2.0,20.0,12.0,S3,236,MIL,5.15471194387016,17.666666666666668,57,4.0,2.0,1.0,0.0,1,2,1,1,0.3333333333333333,-0.11722147012879543
8.0,17.333333333333332,82.0,24.0,18.0,11.0,0.0,2.0,10.0,7.0,6.230769230769231,2.019230769230769,8.307692307692308,2.4230769230769234,3.8076923076923084,3.4615384615384617,0.9090909090909091,0.3380281690140845,0.4268292682926829,0.7746478873239436,1.2014771556166266,0.3148148148148148,0.08536585365853659,0.12195121951219512,0.13414634146341464,0.5945945945945946,0.40540540540540543,1.4666666666666666,233.08641975308643,8.357123581336266,-1.0443,71.0,0.0,0.0,8.0,1.0,22.0,15.0,S3,237,MIA/NYM,7.133435348125478,17.0,50,4.0,2.0,0.0,0.0,1,3,1,1,0.25,-0.3964330006341692
2.0,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.75,0.3333333333333333,353.2,-1.1098755002613692,0.0718,5.0,0.0,0.0,0.0,0.0,1.0,3.0,S3,249,NYY,-0.06656465187452176,2.6666666666666665,316,,,,,0,0,0,1,0.0,0.1377728767029331
2.0,7.0,27.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,0.8571428571428571,0.8571428571428571,4.285714285714286,0.8571428571428571,0.8571428571428571,2.571428571428571,3.0,0.19230769230769232,0.2222222222222222,0.4230769230769231,0.6452991452991452,0.18181818181818182,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.6111111111111112,0.3888888888888889,1.5714285714285714,282.8888888888889,-2.909090909090909,0.29580000000000006,26.0,0.0,0.0,3.0,0.0,11.0,7.0,S3,250,NYY,2.562006776696907,7.0,378,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.4355498549637903
9.0,29.666666666666668,122.0,37.0,17.0,6.0,0.0,0.0,18.0,4.0,3.438202247191011,1.449438202247191,7.4831460674157295,0.8089887640449438,1.2134831460674156,3.6404494382022468,3.0,0.3217391304347826,0.3524590163934426,0.5565217391304348,0.9089807555238774,0.35106382978723405,0.03278688524590164,0.14754098360655737,0.04918032786885246,0.7966101694915254,0.2033898305084746,3.9166666666666665,239.1259842519685,2.2174040754706517,0.33729999999999993,115.0,1.0,0.0,11.0,2.0,47.0,12.0,S3,251,NYY,2.279502763855815,29.0,76,6.0,1.0,0.0,0.0,3,1,0,0,0.75,0.43182156336676164
11.0,27.333333333333332,113.0,18.0,16.0,16.0,1.0,0.0,20.0,6.0,3.5121951219512195,1.2439024390243902,3.951219512195122,1.3170731707317074,3.51219512195122,4.390243902439025,1.25,0.18556701030927836,0.3008849557522124,0.4536082474226804,0.7544932031748928,0.16901408450704225,0.05309734513274336,0.17699115044247787,0.1415929203539823,0.288135593220339,0.711864406779661,0.40476190476190477,225.1478260869565,-0.35528094009894373,0.6463,97.0,0.0,0.0,8.0,0.0,17.0,42.0,S3,252,MIA/NYY,4.2797768115401125,27.666666666666668,85,6.0,3.0,0.0,0.0,3,3,1,0,0.5,0.6408764769054881
13.0,22.0,80.0,12.0,5.0,7.0,1.0,0.0,21.0,2.0,1.3636363636363635,0.8636363636363636,3.2727272727272725,0.5454545454545454,1.9090909090909092,5.7272727272727275,3.0,0.1643835616438356,0.2375,0.3013698630136986,0.5388698630136985,0.2,0.025,0.2625,0.0875,0.325,0.675,0.48148148148148145,247.96153846153845,-10.397236596561521,2.8834000000000004,73.0,0.0,0.0,4.0,0.0,13.0,27.0,S3,253,NYY,1.3607080753982055,23.0,248,1.0,12.0,0.0,0.0,3,1,3,0,0.75,1.4682888864848909
1.0,1.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,24.0,6.0,30.0,6.0,6.0,0.0,0.0,0.7142857142857143,0.6666666666666666,1.7142857142857142,2.380952380952381,0.5714285714285714,0.1111111111111111,0.0,0.1111111111111111,0.5,0.5,1.0,176.55555555555554,2.9858062291690617,0.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,S3,254,NYY,17.133435348125477,2.0,22,,,,,0,0,0,0,0.0,-0.25036703489867307
13.0,33.333333333333336,144.0,26.0,18.0,18.0,0.0,0.0,50.0,6.0,3.2399999999999998,1.3199999999999998,4.68,1.08,3.2399999999999993,9.0,2.7777777777777777,0.20967741935483872,0.3055555555555556,0.45161290322580644,0.7571684587813621,0.2857142857142857,0.041666666666666664,0.3472222222222222,0.125,0.3829787234042553,0.6170212765957447,0.6206896551724138,243.5625,-4.895161656294886,1.0272000000000001,124.0,2.0,0.0,4.0,4.0,18.0,29.0,S3,268,OAK,2.093435348125478,35.333333333333336,92,4.0,9.0,1.0,0.0,1,3,0,1,0.25,1.2609335739212184
15.0,45.666666666666664,203.0,39.0,17.0,36.0,1.0,3.0,35.0,7.0,2.2335766423357666,1.6423357664233578,5.124087591240876,0.9197080291970803,4.7299270072992705,4.598540145985401,0.9722222222222222,0.23493975903614459,0.3694581280788177,0.43373493975903615,0.8031930678378538,0.256,0.034482758620689655,0.1724137931034483,0.17733990147783252,0.5108695652173914,0.4891304347826087,1.0444444444444445,245.01980198019803,-5.409887755559291,0.4174,166.0,1.0,0.0,10.0,1.0,47.0,45.0,S3,269,KCR/OAK,3.9582528663736536,46.666666666666664,129,9.0,6.0,2.0,1.0,5,4,1,0,0.5555555555555556,1.6284730386338537
2.0,2.3333333333333335,11.0,4.0,3.0,1.0,0.0,1.0,2.0,2.0,7.7142857142857135,2.142857142857143,10.285714285714285,5.142857142857142,2.571428571428571,5.142857142857142,2.0,0.4,0.45454545454545453,1.0,1.4545454545454546,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5,0.5,1.0,240.5,1.97181536293929,-0.18679999999999997,10.0,0.0,0.0,0.0,0.0,2.0,2.0,S3,270,OAK,11.847721062411193,2.6666666666666665,42,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.1382538176049774
4.0,7.666666666666667,27.0,4.0,4.0,1.0,0.0,0.0,9.0,2.0,3.1304347826086953,0.6521739130434783,3.1304347826086953,1.5652173913043477,0.7826086956521738,7.0434782608695645,9.0,0.15384615384615385,0.18518518518518517,0.38461538461538464,0.5698005698005698,0.13333333333333333,0.07407407407407407,0.3333333333333333,0.037037037037037035,0.5384615384615384,0.46153846153846156,1.1666666666666667,297.25925925925924,-0.637886133780722,0.2113,26.0,0.0,0.0,0.0,0.0,7.0,6.0,S3,283,PHI,2.5682179568211305,7.666666666666667,120,1.0,1.0,0.0,0.0,1,1,0,1,0.5,0.20842937743277154
10.0,19.0,90.0,22.0,22.0,14.0,0.0,0.0,32.0,9.0,6.947368421052632,1.894736842105263,6.947368421052632,2.8421052631578947,4.421052631578947,10.105263157894736,2.2857142857142856,0.2894736842105263,0.4,0.7368421052631579,1.1368421052631579,0.37142857142857144,0.1,0.35555555555555557,0.15555555555555556,0.5,0.5,1.0,219.3370786516854,10.894637377486402,-0.9281999999999999,76.0,0.0,0.0,7.0,0.0,11.0,11.0,S3,284,PHI,6.133435348125478,18.666666666666668,41,4.0,4.0,0.0,0.0,2,3,2,0,0.4,-0.607327857566309
14.0,34.666666666666664,139.0,32.0,13.0,10.0,0.0,0.0,17.0,4.0,2.25,1.2115384615384617,5.538461538461538,0.6923076923076923,1.7307692307692308,2.9423076923076925,1.7,0.25,0.302158273381295,0.453125,0.755283273381295,0.25925925925925924,0.02877697841726619,0.1223021582733813,0.07194244604316546,0.6962025316455697,0.3037974683544304,2.2916666666666665,259.18840579710144,-6.207466735270798,1.6192000000000002,128.0,1.0,0.0,8.0,3.0,55.0,24.0,S3,285,PHI,2.518050732740863,37.666666666666664,139,4.0,7.0,0.0,0.0,5,1,2,0,0.8333333333333334,1.3653787551420138
12.0,26.0,110.0,28.0,14.0,9.0,0.0,0.0,14.0,6.0,3.230769230769231,1.4230769230769231,6.461538461538462,1.3846153846153846,2.0769230769230766,3.230769230769231,1.5555555555555556,0.28,0.33636363636363636,0.61,0.9463636363636363,0.2716049382716049,0.05454545454545454,0.12727272727272726,0.08181818181818182,0.5344827586206896,0.46551724137931033,1.1481481481481481,246.74074074074073,-0.4906611929335212,-0.5482,100.0,1.0,0.0,11.0,2.0,31.0,27.0,S3,286,PHI,4.09497380966394,27.0,76,7.0,4.0,0.0,0.0,2,1,1,0,0.6666666666666666,0.638343306182868
12.0,19.666666666666668,81.0,21.0,9.0,5.0,0.0,0.0,7.0,3.0,2.7457627118644066,1.3220338983050848,6.40677966101695,0.9152542372881355,1.5254237288135593,2.135593220338983,1.4,0.28,0.32098765432098764,0.49333333333333335,0.8143209876543209,0.2727272727272727,0.037037037037037035,0.08641975308641975,0.06172839506172839,0.3191489361702128,0.6808510638297872,0.46875,261.7283950617284,-6.492100268650415,0.9056,75.0,1.0,0.0,7.0,0.0,15.0,32.0,S3,304,PIT,3.167333653210224,22.666666666666668,129,0.0,11.0,0.0,0.0,2,2,3,0,0.5,1.0831323190291395
9.0,34.333333333333336,141.0,28.0,17.0,12.0,0.0,1.0,23.0,2.0,2.970873786407767,1.1650485436893203,4.893203883495145,0.3495145631067961,2.0970873786407767,4.019417475728154,1.9166666666666667,0.2204724409448819,0.28368794326241137,0.4094488188976378,0.6931367621600492,0.25,0.014184397163120567,0.16312056737588654,0.0851063829787234,0.4266666666666667,0.5733333333333334,0.7441860465116279,251.22302158273382,-0.9667339216726201,0.15009999999999982,127.0,2.0,0.0,12.0,3.0,32.0,43.0,S3,305,PIT,1.5994547656012064,35.333333333333336,106,8.0,2.0,1.0,0.0,2,5,0,0,0.2857142857142857,0.8520196044529144
10.0,37.666666666666664,158.0,40.0,20.0,11.0,2.0,0.0,18.0,6.0,3.185840707964602,1.3539823008849559,6.371681415929205,0.9557522123893805,1.752212389380531,2.8672566371681416,1.6363636363636365,0.2777777777777778,0.3227848101265823,0.5138888888888888,0.8366736990154711,0.2764227642276423,0.0379746835443038,0.11392405063291139,0.06962025316455696,0.7441860465116279,0.2558139534883721,2.909090909090909,250.0,-2.4972847342466236,0.4069999999999999,144.0,3.0,0.0,10.0,3.0,64.0,22.0,S3,306,PIT,3.1245857906033545,39.666666666666664,99,8.0,3.0,1.0,1.0,3,1,0,0,0.75,1.0961447964114215
9.0,37.666666666666664,159.0,36.0,20.0,12.0,0.0,0.0,19.0,8.0,3.185840707964602,1.2743362831858407,5.734513274336283,1.274336283185841,1.911504424778761,3.0265486725663715,1.5833333333333333,0.2482758620689655,0.3018867924528302,0.5586206896551724,0.8605074821080025,0.23333333333333334,0.050314465408805034,0.11949685534591195,0.07547169811320754,0.3111111111111111,0.6888888888888889,0.45161290322580644,269.8375,-2.318120307457585,-0.5197,145.0,2.0,0.0,15.0,3.0,28.0,62.0,S3,320,SDP,3.84139994989539,37.666666666666664,87,5.0,9.0,5.0,1.0,1,5,0,0,0.16666666666666666,1.083585419067877
9.0,45.666666666666664,198.0,53.0,29.0,15.0,1.0,1.0,51.0,11.0,3.81021897810219,1.4890510948905111,6.963503649635037,1.4452554744525548,1.9708029197080295,6.7007299270073,3.4,0.29120879120879123,0.3434343434343434,0.5439560439560439,0.8873903873903873,0.34710743801652894,0.05555555555555555,0.25757575757575757,0.07575757575757576,0.4358974358974359,0.5641025641025641,0.7727272727272727,235.05128205128204,1.372428162238915,0.7523,182.0,1.0,0.0,9.0,2.0,34.0,44.0,S3,321,ARI/SDP,3.016647026957595,46.0,85,9.0,7.0,7.0,0.0,1,8,0,0,0.1111111111111111,0.9234561201772372
2.0,9.0,44.0,17.0,8.0,1.0,0.0,0.0,4.0,4.0,5.333333333333333,2.0,11.333333333333332,2.6666666666666665,0.6666666666666666,2.6666666666666665,4.0,0.3953488372093023,0.4090909090909091,0.7441860465116279,1.153276955602537,0.37142857142857144,0.09090909090909091,0.09090909090909091,0.022727272727272728,0.3181818181818182,0.6818181818181818,0.4666666666666667,214.6818181818182,2.9740259740259742,-0.2079999999999999,43.0,0.0,0.0,3.0,0.0,7.0,15.0,S3,322,SDP,6.3556575703477005,9.0,54,2.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.061691722646791056
9.0,45.333333333333336,185.0,48.0,20.0,10.0,0.0,1.0,45.0,8.0,2.6470588235294117,1.2794117647058822,6.352941176470589,1.0588235294117645,1.3235294117647058,5.955882352941176,4.5,0.27586206896551724,0.31351351351351353,0.5172413793103449,0.8307548928238584,0.32786885245901637,0.043243243243243246,0.24324324324324326,0.05405405405405406,0.5679012345679012,0.43209876543209874,1.3142857142857143,256.3169398907104,-7.687257643358478,0.8948,174.0,1.0,0.0,10.0,4.0,46.0,35.0,S3,336,SFG,2.104023583419596,46.0,110,8.0,4.0,3.0,2.0,5,4,0,0,0.5555555555555556,1.7597828513773066
