G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4.0,11.333333333333334,53.0,17.0,8.0,2.0,0.0,0.0,13.0,2.0,4.235294117647059,1.676470588235294,9.0,1.0588235294117645,1.0588235294117645,6.88235294117647,6.5,0.3333333333333333,0.3584905660377358,0.5686274509803921,0.9271180170181279,0.4166666666666667,0.03773584905660377,0.24528301886792453,0.03773584905660377,0.3333333333333333,0.6666666666666666,0.5,232.92727272727274,0.12164878032129256,-0.7611999999999999,51.0,0.0,0.0,4.0,1.0,7.0,14.0,S3,4,ARI,1.6628471128313604,12.0,61,2.0,1.0,0.0,0.0,0,3,0,1,0.0,0.27175958474191025
8.0,26.0,122.0,36.0,20.0,8.0,1.0,0.0,14.0,3.0,4.615384615384615,1.6923076923076923,8.307692307692307,0.6923076923076923,1.8461538461538463,3.230769230769231,1.75,0.32142857142857145,0.36065573770491804,0.5625,0.923155737704918,0.3402061855670103,0.02459016393442623,0.11475409836065574,0.06557377049180328,0.3709677419354839,0.6290322580645161,0.5897435897435898,247.08064516129033,4.255746428366927,-0.6230999999999998,112.0,2.0,0.0,14.0,2.0,23.0,39.0,S3,5,ARI,2.4795891942793244,27.0,97,5.0,4.0,0.0,0.0,2,3,0,0,0.4,0.22798732807713407
5.0,15.0,63.0,15.0,7.0,6.0,0.0,3.0,13.0,5.0,2.8,1.4,6.0,2.0,2.4000000000000004,5.2,2.1666666666666665,0.2631578947368421,0.3333333333333333,0.5614035087719298,0.894736842105263,0.2564102564102564,0.07936507936507936,0.20634920634920634,0.09523809523809523,0.6896551724137931,0.3103448275862069,2.2222222222222223,247.7037037037037,-1.0814758630358565,-0.13409999999999994,57.0,0.0,0.0,2.0,0.0,20.0,9.0,S3,19,BOS,4.933435348125478,15.666666666666666,91,4.0,2.0,1.0,0.0,1,1,0,0,0.5,0.4456427024312175
8.0,24.0,104.0,28.0,14.0,8.0,0.0,0.0,16.0,3.0,3.5,1.5,7.0,0.75,2.0,4.0,2.0,0.2916666666666667,0.34615384615384615,0.6145833333333334,0.9607371794871795,0.3246753246753247,0.028846153846153848,0.15384615384615385,0.07692307692307693,0.3269230769230769,0.6730769230769231,0.4857142857142857,246.01904761904763,0.19768013544488727,0.1769,96.0,0.0,0.0,10.0,6.0,17.0,35.0,S3,20,BOS/NYM,2.425102014792145,25.333333333333332,85,4.0,3.0,1.0,1.0,1,3,0,0,0.25,0.5373667813328719
7.0,27.0,114.0,26.0,14.0,7.0,0.0,1.0,26.0,2.0,3.111111111111111,1.2222222222222223,5.777777777777778,0.4444444444444444,1.5555555555555554,5.777777777777778,3.7142857142857144,0.24761904761904763,0.2894736842105263,0.4380952380952381,0.7275689223057644,0.3037974683544304,0.017543859649122806,0.22807017543859648,0.06140350877192982,0.4528301886792453,0.5471698113207547,0.8275862068965517,242.15652173913043,-1.623254644849051,-0.021999999999999895,105.0,2.0,0.0,10.0,2.0,24.0,29.0,S3,21,BOS,0.9482501629402931,28.0,105,4.0,5.0,3.0,1.0,3,2,0,0,0.6,0.773030912715858
6.0,18.0,76.0,17.0,10.0,11.0,0.0,0.0,10.0,7.0,3.3333333333333335,1.5555555555555556,5.666666666666666,2.3333333333333335,3.666666666666667,3.3333333333333335,0.9090909090909091,0.26153846153846155,0.3684210526315789,0.6615384615384615,1.0299595141700404,0.20833333333333334,0.09210526315789473,0.13157894736842105,0.14473684210526316,0.5789473684210527,0.42105263157894735,1.375,248.98701298701297,-1.0492297664288204,0.20459999999999998,65.0,0.0,0.0,1.0,2.0,22.0,16.0,S3,22,BOS,6.911213125903256,17.666666666666668,85,3.0,4.0,1.0,1.0,1,2,0,0,0.3333333333333333,0.512059942130184
10.0,40.0,164.0,41.0,19.0,7.0,0.0,0.0,40.0,4.0,2.85,1.2,6.1499999999999995,0.6000000000000001,1.0499999999999998,6.0,5.714285714285714,0.26282051282051283,0.2926829268292683,0.4551282051282051,0.7478111319574734,0.3274336283185841,0.024390243902439025,0.24390243902439024,0.042682926829268296,0.4266666666666667,0.5733333333333334,0.7441860465116279,256.88023952095807,-2.3678696404053756,0.7357999999999998,156.0,1.0,0.0,16.0,1.0,32.0,43.0,S3,37,CLE/NYY,0.9584353481254781,39.666666666666664,94,9.0,3.0,2.0,0.0,4,4,0,0,0.5,1.1153456790394523
7.0,8.333333333333334,36.0,9.0,3.0,4.0,0.0,0.0,6.0,2.0,2.1599999999999997,1.5599999999999998,6.479999999999999,1.44,2.88,4.32,1.5,0.28125,0.3611111111111111,0.5625,0.9236111111111112,0.2916666666666667,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.4117647058823529,0.5882352941176471,0.7,239.58333333333334,-3.5276354213672443,0.6072000000000002,32.0,0.0,0.0,3.0,0.0,7.0,10.0,S3,38,CLE/SFG,4.253435348125478,8.666666666666666,105,0.0,7.0,0.0,0.0,0,0,5,0,0.0,0.5456178942096569
8.0,31.0,130.0,28.0,17.0,15.0,0.0,0.0,31.0,9.0,3.2903225806451615,1.3870967741935485,5.419354838709677,1.741935483870968,2.903225806451613,6.0,2.066666666666667,0.24561403508771928,0.33076923076923076,0.5526315789473685,0.8834008097165993,0.25333333333333335,0.06923076923076923,0.23846153846153847,0.11538461538461539,0.45454545454545453,0.5454545454545454,0.8333333333333334,234.75187969924812,-0.7040211157616463,0.15960000000000016,114.0,1.0,0.0,8.0,0.0,25.0,30.0,S3,39,CLE,4.359241799738381,32.333333333333336,111,5.0,4.0,2.0,0.0,2,3,0,0,0.4,0.7668206051728653
10.0,24.666666666666668,110.0,25.0,16.0,11.0,1.0,0.0,39.0,9.0,3.8918918918918917,1.4594594594594594,6.081081081081081,2.189189189189189,2.6756756756756754,9.486486486486486,3.5454545454545454,0.25252525252525254,0.32727272727272727,0.5959595959595959,0.9232323232323232,0.3137254901960784,0.08181818181818182,0.35454545454545455,0.1,0.5142857142857142,0.4857142857142857,1.0588235294117647,247.77358490566039,1.4425067428796552,0.5908000000000001,99.0,0.0,0.0,7.0,0.0,18.0,17.0,S3,58,CHC,4.052354267044397,25.666666666666668,84,5.0,6.0,2.0,1.0,2,2,1,0,0.5,0.44502651260155035
