G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
4.0,8.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.25,0.25,0.5,0.75,0.25,0.25,,0.0,0.0,0.0,0.5,0.5,1.0,299.375,0.25,0.5,-0.3918833850022403,0.044300000000000006,3.0,3.0,BC,S3,-2.0,False,OAK,OAK,16,-0.009460241823486865
8.0,21.0,19.0,5.0,1.0,2.0,2.0,0.0,1.0,10.0,4.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.2631578947368421,0.3333333333333333,0.5263157894736842,0.8596491228070176,0.2631578947368421,0.3076923076923077,0.0,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.4444444444444444,0.5555555555555556,0.8,280.3636363636364,0.3333333333333333,0.5263157894736842,-0.1643447939790631,-0.16000000000000003,4.0,5.0,BP,S3,1.0,False,ARI,ARI,15,0.06160177437852875
2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,,0.0,0.3333333333333333,0.0,1.0,0.0,,269.3333333333333,0.3333333333333333,0.6666666666666666,-0.10443674411450315,-0.013799999999999986,1.0,0.0,BN,S3,3.0,False,ARI,ARI,3,0.0007043618423261206
3.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.75,1.25,0.25,0.6666666666666666,0.0,0.0,0.25,0.0,0.0,1.0,0.0,202.0,0.5,0.75,-0.5899198362612997,-0.1493,0.0,1.0,TT,S3,5.0,False,ARI,ARI,13,-0.04412793528776139
8.0,19.0,12.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.16666666666666666,0.42105263157894735,0.16666666666666666,0.587719298245614,0.0,0.2857142857142857,,0.0,0.3157894736842105,0.3157894736842105,0.4,0.6,0.6666666666666666,239.75,0.42105263157894735,0.16666666666666666,-0.9965901328082734,-0.20389999999999991,2.0,3.0,BP,S3,6.0,False,ARI,ARI,11,-0.029054783673576567
7.0,21.0,17.0,5.0,2.0,2.0,2.0,1.0,0.0,9.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.29411764705882354,0.38095238095238093,0.5294117647058824,0.9103641456582633,0.23529411764705882,0.38461538461538464,,0.0,0.23809523809523808,0.14285714285714285,0.5,0.5,1.0,256.0,0.38095238095238093,0.5294117647058824,-0.33929460207060325,0.1571,4.0,4.0,S,S3,7.0,False,ARI,ARI,16,0.04410679356937473
7.0,18.0,16.0,4.0,2.0,2.0,0.0,1.0,1.0,9.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.25,0.2777777777777778,0.5625,0.8402777777777778,0.3125,0.3,,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.2857142857142857,0.7142857142857143,0.4,248.11111111111111,0.2777777777777778,0.5625,1.4472143342621793,0.16030000000000005,2.0,5.0,BN,S3,8.0,False,ARI,ARI,14,0.21160965094887657
11.0,30.0,26.0,5.0,4.0,1.0,0.0,0.0,4.0,17.0,7.0,4.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.19230769230769232,0.3,0.6538461538461539,0.9538461538461538,0.46153846153846156,0.1111111111111111,,0.13333333333333333,0.43333333333333335,0.13333333333333333,0.25,0.75,0.3333333333333333,208.0,0.3,0.6538461538461539,0.9802866534038674,-0.15600000000000008,2.0,6.0,TT,S3,9.0,False,ARI,ARI,16,0.20950902787815112
5.0,13.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.3,0.46153846153846156,0.3,0.7615384615384615,0.0,0.5,1.0,0.0,0.3076923076923077,0.23076923076923078,0.6666666666666666,0.3333333333333333,2.0,250.0909090909091,0.46153846153846156,0.3,-0.10558482055302473,0.03499999999999998,2.0,1.0,1B,S3,10.0,False,ARI,ARI,14,0.037749675044395414
9.0,23.0,22.0,6.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.2727272727272727,0.30434782608695654,0.4090909090909091,0.7134387351778657,0.1363636363636364,0.375,0.0,0.0,0.2608695652173913,0.043478260869565216,0.6,0.4,1.5,271.0,0.30434782608695654,0.4090909090909091,-2.5365533267144578,-0.6458999999999999,6.0,4.0,BC,S3,11.0,False,ARI,ARI,16,-0.16818705472582643
