OBC,Outs,RunExpectancy
0,0,0.6830548926014319
0,1,0.4195583596214511
0,2,0.20030234315948603
1,0,0.9566265060240964
1,1,0.6877470355731226
1,2,0.4490566037735849
2,0,1.305084745762712
2,1,0.937984496124031
2,2,0.4880239520958084
3,0,1.8709677419354838
3,1,1.2660550458715596
3,2,0.5338983050847458
4,0,1.627659574468085
4,1,1.0185185185185186
4,2,0.6975308641975309
5,0,1.76
5,1,1.3235294117647058
5,2,0.8141592920353983
6,0,2.4
6,1,1.4788732394366197
6,2,0.5925925925925926
7,0,1.8333333333333333
7,1,1.3777777777777778
7,2,0.711864406779661
