OBC,Outs,RunExpectancy
0,0,0.9477977161500816
0,1,0.6402714932126696
0,2,0.2275449101796407
1,0,1.1842105263157894
1,1,0.8842105263157894
1,2,0.5568862275449101
2,0,1.58
2,1,1.0975609756097562
2,2,0.5111111111111111
3,0,1.588235294117647
3,1,1.380952380952381
3,2,0.6938775510204082
4,0,1.8571428571428572
4,1,1.109375
4,2,0.7297297297297297
5,0,2.0
5,1,2.142857142857143
5,2,0.8214285714285714
6,0,1.9090909090909092
6,1,1.4
6,2,0.3333333333333333
7,0,2.5294117647058822
7,1,2.0625
7,2,0.4444444444444444
