G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
6,24.666666666666668,102,27,14,14,6,0,0,19,6,12,12,14,10,14,0,3.4054054054054053,1.3378378378378377,6.567567567567567,1.4594594594594594,1.4594594594594594,4.621621621621622,3.1666666666666665,0.28125,0.3235294117647059,0.5833333333333334,0.9068627450980393,0.29577464788732394,0.058823529411764705,0.18627450980392157,0.058823529411764705,0.5636363636363636,0.43636363636363634,1.2916666666666667,253.16346153846155,-1.353510241110993,0.2711,96,0,0,7,2,31,24,2,0,1.0,EN-S,S12,3235,False,LSU,LSU,6,4.116595253790376,25.333333333333332,118,11.0,5.0,1.0,1.0,0.0,4,1,0,0,0.8,0.5391922258278374
1,5.0,19,6,3,3,0,0,0,0,1,2,6,2,4,1,0,3.6,1.2,7.199999999999999,1.2000000000000002,0.0,0.0,,0.3157894736842105,0.3157894736842105,0.6842105263157895,1.0,0.2777777777777778,0.05263157894736842,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,245.94736842105263,-0.06866952789699562,-0.09009999999999999,19,0,0,2,1,10,5,0,0,,POS,S12,3237,False,UOM,UOM,2,4.365243902439024,5.0,163,3.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.08209227467811157
1,2.6666666666666665,13,3,3,3,3,0,0,1,0,1,2,1,2,1,0,6.75,2.25,6.75,0.0,6.75,2.25,0.3333333333333333,0.3,0.46153846153846156,0.6,1.0615384615384615,0.3333333333333333,0.0,0.07692307692307693,0.23076923076923078,0.5714285714285714,0.42857142857142855,1.3333333333333333,229.25,0.4219561779986447,-0.09380000000000002,10,0,0,1,1,4,3,0,0,,,S12,3240,False,OWL,OWL,4,4.390243902439025,2.6666666666666665,204,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.009274339281680588
1,3.0,11,1,0,0,1,0,0,0,0,0,3,0,2,4,0,0.0,0.6666666666666666,2.0,0.0,2.0,0.0,0.0,0.1,0.18181818181818182,0.3,0.4818181818181818,0.1,0.0,0.0,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.5,294.3636363636364,-1.8412017167381973,0.21639999999999998,10,0,0,0,1,3,6,0,0,,POS,S12,3242,False,WKU,WKU,1,2.7652439024390247,3.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2276716738197425
5,24.0,103,28,16,16,8,0,1,18,7,14,18,10,16,5,0,4.0,1.5,7.0,1.75,2.0,4.5,2.25,0.2978723404255319,0.34951456310679613,0.6276595744680851,0.9771741375748813,0.3,0.06796116504854369,0.17475728155339806,0.07766990291262135,0.6037735849056604,0.39622641509433965,1.5238095238095237,244.79807692307693,1.2703862660944227,-0.32729999999999987,94,1,0,4,3,32,21,1,1,0.5,BF-S,S12,3243,False,FUR,FUR,6,5.056910569105691,24.0,124,11.0,5.0,1.0,1.0,0.0,2,2,0,0,0.5,0.2807618025751071
1,5.666666666666667,26,9,4,4,1,0,0,5,1,6,2,3,3,3,0,4.235294117647059,1.7647058823529411,9.529411764705882,1.0588235294117645,1.0588235294117645,5.294117647058823,5.0,0.36,0.38461538461538464,0.6,0.9846153846153847,0.42105263157894735,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.5,0.5,1.0,242.44,0.31759656652360535,-0.5150999999999999,25,0,0,1,1,6,6,0,0,,POS,S12,3244,False,SYR,SYR,2,2.8240674318507892,6.0,90,2.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.07118025751072958
4,21.0,92,28,14,14,2,0,0,12,4,14,8,16,11,15,0,4.0,1.4285714285714286,8.0,1.1428571428571428,0.5714285714285714,3.4285714285714284,6.0,0.3111111111111111,0.32608695652173914,0.5666666666666667,0.8927536231884058,0.32432432432432434,0.043478260869565216,0.13043478260869565,0.021739130434782608,0.49019607843137253,0.5098039215686274,0.9615384615384616,242.70652173913044,0.15389331698344713,0.2041,90,0,0,9,1,25,26,0,0,,EG-S,S12,3246,False,WKU,WKU,6,3.3842915214866434,21.0,129,10.0,3.0,2.0,1.0,0.0,2,1,0,0,0.6666666666666666,0.3488595953402819
1,5.0,21,5,3,3,3,0,0,2,1,3,5,2,4,0,0,3.6,1.6,6.0,1.2000000000000002,3.5999999999999996,2.4000000000000004,0.6666666666666666,0.2777777777777778,0.38095238095238093,0.5,0.8809523809523809,0.26666666666666666,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.6923076923076923,0.3076923076923077,2.25,255.33333333333334,-0.06866952789699554,-0.060899999999999975,18,0,0,1,0,9,4,0,0,,POS,S12,3248,False,OWL,OWL,2,5.365243902439024,5.0,54,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09001072961373388
1,1.0,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0.0,1.0,6.0,0.0,0.0,12.0,,0.25,0.25,0.5,0.75,0.5,0.0,0.5,0.0,1.0,0.0,,270.25,-0.6137339055793991,0.08360000000000001,4,0,0,1,0,1,0,0,0,,POS,S12,3249,False,FUR,FUR,2,-2.2347560975609753,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,0.07721030042918454
1,2.0,9,2,0,0,2,0,0,2,0,2,0,1,2,0,0,0.0,2.0,6.0,0.0,6.0,6.0,1.0,0.2857142857142857,0.4444444444444444,0.2857142857142857,0.7301587301587301,0.4,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5,228.7,-1.2274678111587982,0.3086,7,0,0,0,0,1,2,0,1,0.0,POS,S12,3253,False,LSU,LSU,2,2.7652439024390247,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15837982832618025
2,4.0,19,4,2,2,3,0,0,3,0,1,1,3,4,1,0,3.0,1.75,6.0,0.0,4.5,4.5,1.0,0.25,0.3684210526315789,0.5,0.868421052631579,0.3076923076923077,0.0,0.15789473684210525,0.15789473684210525,0.4444444444444444,0.5555555555555556,0.8,234.10526315789474,-0.4549356223175962,0.024599999999999997,16,0,0,2,1,4,5,0,0,,POS,S12,3254,False,SYR,SYR,6,2.5152439024390247,4.0,68,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0.0,0.12071888412017162
2,6.0,27,5,5,5,4,0,0,2,0,1,4,1,7,4,0,5.0,1.5,5.0,0.0,4.0,2.0,0.5,0.22727272727272727,0.3333333333333333,0.4090909090909091,0.7424242424242424,0.23809523809523808,0.0,0.07407407407407407,0.14814814814814814,0.3125,0.6875,0.45454545454545453,246.8148148148148,1.3175965665236058,-0.3789,22,1,0,4,0,5,11,0,0,,POS,S12,3255,False,UOM,UOM,3,3.0985772357723578,6.0,0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0.0,-0.024860515021459296
2,1.6666666666666667,8,2,2,2,1,0,0,3,0,0,1,0,0,1,0,7.199999999999999,1.7999999999999998,7.199999999999999,0.0,3.5999999999999996,10.799999999999999,3.0,0.2857142857142857,0.375,0.7142857142857143,1.0892857142857144,0.5,0.0,0.375,0.125,0.5,0.5,1.0,262.75,0.7725321888412018,-0.32889999999999997,7,0,0,1,1,1,1,0,0,,POS,S12,3256,False,FUR,FUR,4,-0.03475609756097531,2.0,136,1.0,0.0,2.0,0.0,0.0,0,1,0,0,0.0,-0.04557939914163091
2,2.3333333333333335,12,4,3,3,1,0,0,1,0,1,1,1,1,3,0,7.7142857142857135,2.142857142857143,10.285714285714285,0.0,2.571428571428571,2.571428571428571,1.0,0.36363636363636365,0.4166666666666667,0.8181818181818182,1.2348484848484849,0.4,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.5,240.25,1.1587982832618025,-0.19249999999999995,11,0,0,1,2,2,4,0,0,,POS,S12,3257,False,LSU,LSU,6,2.193815331010453,2.6666666666666665,295,2.901722391084093,0.0,2.0,0.0,0.0,0,1,0,0,0.0,-0.06836909871244634
1,5.0,25,7,4,4,3,0,0,2,0,6,3,5,5,0,0,4.8,2.0,8.399999999999999,0.0,3.5999999999999996,2.4000000000000004,0.6666666666666666,0.3181818181818182,0.4,0.4090909090909091,0.8090909090909091,0.35,0.0,0.08,0.12,0.6153846153846154,0.38461538461538464,1.6,240.16666666666666,0.9313304721030047,-0.23520000000000002,22,0,0,0,1,8,5,0,0,,POS,S12,3258,False,WKU,WKU,5,2.7652439024390247,5.0,54,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.005847639484978495
2,10.0,46,11,9,9,6,0,0,5,4,3,2,2,5,15,0,5.4,1.7,6.6000000000000005,2.4000000000000004,3.5999999999999996,3.0,0.8333333333333334,0.275,0.3695652173913043,0.7,1.0695652173913044,0.22580645161290322,0.08695652173913043,0.10869565217391304,0.13043478260869565,0.2,0.8,0.25,233.61363636363637,2.8626609442060094,-0.45859999999999995,40,0,0,3,1,5,20,0,0,,WC-B,S12,3267,False,UOM,UOM,6,7.765243902439025,10.0,163,6.0,2.0,1.0,1.0,0.0,0,2,0,0,0.0,-0.10414163090128765
2,9.0,35,6,5,5,3,0,0,4,1,2,3,0,4,15,0,3.3333333333333335,1.0,4.0,0.6666666666666666,2.0,2.6666666666666665,1.3333333333333333,0.1875,0.2571428571428571,0.375,0.6321428571428571,0.18518518518518517,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.17391304347826086,0.8260869565217391,0.21052631578947367,267.0,-0.5236051502145924,0.17540000000000003,32,0,0,3,0,4,19,0,0,,WC-H,S12,3269,False,FUR,FUR,6,3.32079945799458,9.0,0,0.0,1.0,2.0,1.0,0.0,1,0,0,0,1.0,0.19093347639484978
