OBC,Outs,RunExpectancy
0,0,0.7040704070407041
0,1,0.4165477888730385
0,2,0.2411467116357504
1,0,1.089820359281437
1,1,0.6231884057971014
1,2,0.45867768595041325
2,0,1.3979591836734695
2,1,1.0567375886524824
2,2,0.5284090909090909
3,0,1.5769230769230769
3,1,0.8048780487804879
3,2,0.43103448275862066
4,0,1.8421052631578947
4,1,0.9830508474576272
4,2,0.6875
5,0,2.125
5,1,1.8421052631578947
5,2,0.9375
6,0,2.1875
6,1,1.103448275862069
6,2,0.631578947368421
7,0,3.142857142857143
7,1,2.2857142857142856
7,2,1.0952380952380953
