G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
5.0,4.333333333333333,22.0,7.0,5.0,3.0,0.0,0.0,6.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,6.923076923076923,2.307692307692308,9.692307692307693,1.3846153846153846,4.153846153846154,8.307692307692308,2.0,0.3684210526315789,0.45454545454545453,0.7368421052631579,1.1913875598086123,0.5,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.7142857142857143,0.2857142857142857,2.5,218.42857142857142,1.3972245288604785,0.046400000000000025,19.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,S11,258,BOS,False,BOS,3.5709057144660097,5.0,108,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,-0.05649743755802823
6.0,31.0,128.0,23.0,10.0,15.0,0.0,0.0,43.0,4.0,11.0,8.0,7.0,24.0,8.0,0.0,1.935483870967742,1.2258064516129032,4.451612903225806,0.7741935483870968,2.903225806451613,8.322580645161292,2.8666666666666667,0.2072072072072072,0.296875,0.3963963963963964,0.6932713963963963,0.2878787878787879,0.03125,0.3359375,0.1171875,0.36,0.64,0.5625,240.03053435114504,-13.46973007874617,1.4094,111.0,2.0,0.0,7.0,1.0,18.0,32.0,3.0,0.0,1.0,S11,270,CIN,False,CIN,1.6180521164511212,31.0,134,5.0,6.0,5.0,2.0,4.0,1.0,0.0,0.0,0.8,1.831191278874004
10.0,33.333333333333336,141.0,37.0,20.0,12.0,0.0,0.0,24.0,5.0,16.0,16.0,18.0,22.0,12.0,0.0,3.5999999999999996,1.47,6.659999999999999,0.8999999999999999,2.16,4.32,2.0,0.2868217054263566,0.3475177304964539,0.5658914728682171,0.913409203364671,0.32,0.03546099290780142,0.1702127659574468,0.0851063829787234,0.5405405405405406,0.4594594594594595,1.1764705882352942,251.4758620689655,-2.064561712111024,-0.27280000000000015,129.0,0.0,0.0,11.0,5.0,40.0,34.0,2.0,2.0,0.5,S11,275,SDP,False,SDP,2.8532134067737016,35.333333333333336,84,5.0,6.0,3.0,0.0,1.0,5.0,1.0,0.0,0.16666666666666666,0.7398528603588646
10.0,39.0,162.0,37.0,16.0,14.0,0.0,0.0,30.0,8.0,22.0,21.0,20.0,27.0,12.0,1.0,2.4615384615384617,1.3076923076923077,5.692307692307692,1.2307692307692308,2.1538461538461537,4.615384615384616,2.142857142857143,0.25170068027210885,0.3148148148148148,0.47619047619047616,0.7910052910052909,0.2636363636363636,0.04938271604938271,0.18518518518518517,0.08641975308641975,0.5411764705882353,0.4588235294117647,1.1794871794871795,260.1890243902439,-9.702432220489165,0.6178,147.0,1.0,0.0,5.0,2.0,46.0,39.0,1.0,1.0,0.5,S11,290,LAD,False,LAD,3.468341611901907,42.0,145,6.0,6.0,2.0,2.0,4.0,2.0,0.0,0.0,0.6666666666666666,1.5830819712825155
7.0,22.666666666666668,91.0,18.0,12.0,8.0,0.0,0.0,30.0,2.0,11.0,3.0,8.0,16.0,8.0,0.0,3.176470588235294,1.1470588235294117,4.764705882352941,0.5294117647058822,2.117647058823529,7.9411764705882355,3.75,0.21951219512195122,0.2857142857142857,0.36585365853658536,0.6515679442508711,0.3137254901960784,0.02197802197802198,0.32967032967032966,0.08791208791208792,0.35135135135135137,0.6486486486486487,0.5416666666666666,247.10752688172042,-3.558326631678633,-0.02260000000000001,82.0,1.0,0.0,4.0,1.0,13.0,24.0,1.0,1.0,0.5,S11,296,NYM,False,NYM,0.8220369361854665,23.0,113,5.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.25,0.70008159020649
8.0,31.0,117.0,23.0,13.0,6.0,0.0,0.0,11.0,6.0,7.0,11.0,10.0,19.0,37.0,0.0,2.5161290322580645,0.9354838709677419,4.451612903225806,1.161290322580645,1.161290322580645,2.129032258064516,1.8333333333333333,0.2072072072072072,0.24786324786324787,0.4594594594594595,0.7073227073227073,0.18085106382978725,0.05128205128205128,0.09401709401709402,0.05128205128205128,0.30864197530864196,0.691358024691358,0.44642857142857145,267.672268907563,-10.733749594019883,0.858,111.0,0.0,0.0,10.0,0.0,25.0,56.0,1.0,1.0,0.5,S11,301,CLE,False,CLE,3.6503101809672502,32.666666666666664,185,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,1.5159807227373654
5.0,21.333333333333332,102.0,25.0,22.0,16.0,0.0,0.0,29.0,9.0,10.0,4.0,6.0,15.0,7.0,0.0,6.1875,1.921875,7.03125,2.53125,4.5,8.15625,1.8125,0.29069767441860467,0.4019607843137255,0.686046511627907,1.0880072959416325,0.3333333333333333,0.08823529411764706,0.28431372549019607,0.1568627450980392,0.37142857142857144,0.6285714285714286,0.5909090909090909,228.7450980392157,7.619282911556085,-1.0229,86.0,0.0,0.0,5.0,1.0,13.0,22.0,0.0,0.0,0.0,S11,310,CIN,False,CIN,6.278838406773701,22.333333333333332,77,4.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.4,-0.376066856452972
2.0,3.3333333333333335,14.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.5999999999999996,1.5,5.3999999999999995,0.0,3.5999999999999996,3.5999999999999996,1.0,0.25,0.35714285714285715,0.5,0.8571428571428572,0.3,0.0,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,239.64285714285714,-0.6802271011308556,-0.11089999999999997,12.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,S11,331,SDP,False,SDP,1.8632134067737018,4.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209840835036435
7.0,18.0,97.0,33.0,27.0,14.0,0.0,1.0,18.0,5.0,17.0,8.0,3.0,16.0,5.0,0.0,9.0,2.611111111111111,11.0,1.6666666666666667,4.666666666666667,6.0,1.2857142857142858,0.4024390243902439,0.4845360824742268,0.7682926829268293,1.2528287654010561,0.4666666666666667,0.05154639175257732,0.18556701030927836,0.14432989690721648,0.4,0.6,0.6666666666666666,208.51546391752578,20.044026847998527,-1.3769,82.0,1.0,0.0,7.0,4.0,14.0,21.0,0.0,1.0,0.0,S11,337,TOR,False,TOR,5.207657851218146,20.0,51,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.63745602630813
1.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,6.0,0.0,12.0,6.0,0.5,0.3333333333333333,0.5,0.6666666666666666,1.1666666666666665,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,198.5,-0.02356406480117823,-0.0007000000000000001,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,S11,349,CIN,False,CIN,5.263213406773701,1.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025054137933214083
5.0,13.666666666666666,65.0,19.0,13.0,6.0,0.0,0.0,9.0,9.0,4.0,3.0,7.0,13.0,8.0,0.0,5.707317073170732,1.829268292682927,8.341463414634147,3.951219512195122,2.6341463414634148,3.951219512195122,1.5,0.3333333333333333,0.38461538461538464,0.9473684210526315,1.3319838056680162,0.24390243902439024,0.13846153846153847,0.13846153846153847,0.09230769230769231,0.34375,0.65625,0.5238095238095238,225.41538461538462,3.3380690223903327,-0.5337,57.0,2.0,0.0,4.0,2.0,11.0,21.0,0.0,0.0,0.0,S11,361,PIT,False,PIT,9.824189016529798,14.333333333333334,40,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.25,-0.08791481149715707
11.0,18.333333333333332,77.0,16.0,11.0,9.0,1.0,0.0,20.0,5.0,9.0,11.0,5.0,8.0,7.0,1.0,3.6,1.3636363636363638,5.236363636363636,1.6363636363636367,2.9454545454545458,6.545454545454547,2.2222222222222223,0.24242424242424243,0.3246753246753247,0.5151515151515151,0.8398268398268398,0.2558139534883721,0.06493506493506493,0.2597402597402597,0.11688311688311688,0.5454545454545454,0.45454545454545453,1.2,270.3974358974359,-3.7625548461804144,0.15630000000000013,66.0,2.0,0.0,1.0,1.0,18.0,15.0,1.0,1.0,0.5,S11,371,ANA,False,ANA,4.099577043137338,23.0,142,1.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,0.6666666666666666,0.6675430382661102
4.0,16.666666666666668,70.0,18.0,9.0,6.0,0.0,0.0,7.0,3.0,6.0,4.0,8.0,22.0,5.0,0.0,3.2399999999999998,1.44,6.479999999999999,1.08,2.16,2.52,1.1666666666666667,0.2903225806451613,0.34285714285714286,0.5967741935483871,0.93963133640553,0.2777777777777778,0.04285714285714286,0.1,0.08571428571428572,0.34146341463414637,0.6585365853658537,0.5185185185185185,233.36111111111111,-0.22646487393941606,-0.20750000000000002,62.0,2.0,0.0,8.0,1.0,14.0,27.0,0.0,2.0,0.0,S11,373,TBR,False,TBR,3.8432134067737014,17.0,85,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.28745335434673136
9.0,28.333333333333332,127.0,39.0,18.0,13.0,2.0,0.0,10.0,5.0,24.0,21.0,19.0,16.0,9.0,0.0,3.811764705882353,1.835294117647059,8.258823529411764,1.0588235294117647,2.7529411764705882,2.1176470588235294,0.7692307692307693,0.34513274336283184,0.4094488188976378,0.5752212389380531,0.9846700578356908,0.3434343434343434,0.03937007874015748,0.07874015748031496,0.10236220472440945,0.6428571428571429,0.35714285714285715,1.8,246.61940298507463,-0.25047799072851695,-0.8977000000000004,113.0,1.0,0.0,9.0,1.0,45.0,25.0,4.0,5.0,0.4444444444444444,S11,378,ATL,False,ATL,4.227919289126643,30.333333333333332,84,4.0,5.0,2.0,0.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.5054831148300559
6.0,27.0,126.0,39.0,23.0,12.0,1.0,1.0,22.0,5.0,14.0,8.0,14.0,21.0,10.0,0.0,5.111111111111111,1.8888888888888888,8.666666666666666,1.1111111111111112,2.6666666666666665,4.888888888888888,1.8333333333333333,0.35135135135135137,0.40476190476190477,0.7027027027027027,1.1074646074646075,0.39080459770114945,0.03968253968253968,0.1746031746031746,0.09523809523809523,0.46551724137931033,0.5344827586206896,0.8709677419354839,235.65384615384616,4.762928235597836,-0.26480000000000004,111.0,3.0,0.0,16.0,4.0,27.0,31.0,5.0,1.0,0.8333333333333334,S11,390,BOS,False,BOS,3.374324517884813,27.333333333333332,55,5.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.4,0.0003595369552378713
3.0,6.666666666666667,24.0,5.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,0.0,1.7999999999999998,0.75,4.5,0.8999999999999999,0.0,4.5,0.0,0.20833333333333334,0.20833333333333334,0.375,0.5833333333333334,0.2222222222222222,0.041666666666666664,0.20833333333333334,0.0,0.3333333333333333,0.6666666666666666,0.5,245.29166666666666,-2.5045961043716405,0.29259999999999997,24.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,S11,392,TBR,False,TBR,1.7132134067737017,7.0,152,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3412505362495491
5.0,16.666666666666668,72.0,25.0,12.0,4.0,0.0,0.0,8.0,3.0,15.0,10.0,12.0,11.0,2.0,0.0,4.319999999999999,1.7399999999999998,9.0,1.08,1.44,2.88,2.0,0.36764705882352944,0.4027777777777778,0.6323529411764706,1.0351307189542482,0.38596491228070173,0.041666666666666664,0.1111111111111111,0.05555555555555555,0.6666666666666666,0.3333333333333333,2.0,242.0759493670886,-0.6046930970927926,-0.34650000000000003,68.0,0.0,0.0,5.0,2.0,26.0,13.0,4.0,3.0,0.5714285714285714,S11,394,TOR,False,TOR,3.3632134067737014,16.333333333333332,60,4.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.33284208714643443
