G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
5.0,26.0,108.0,22.0,12.0,10.0,0.0,0.0,11.0,5.0,8.0,18.0,16.0,24.0,7.0,0.0,2.769230769230769,1.2307692307692308,5.076923076923077,1.153846153846154,2.307692307692308,2.5384615384615383,1.1,0.2268041237113402,0.2962962962962963,0.4845360824742268,0.7808323787705231,0.2073170731707317,0.046296296296296294,0.10185185185185185,0.09259259259259259,0.5373134328358209,0.4626865671641791,1.1612903225806452,258.44144144144144,-4.372091939870916,0.4301999999999999,97.0,1.0,0.0,8.0,1.0,36.0,31.0,3.0,0.0,1.0,S11,114,TEX,False,TEX,4.07090571446601,26.333333333333332,145,5.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.8457683601428243
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,206.66666666666666,-0.6811048336472065,0.0001,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,S11,117,HOU,False,HOU,1.2632134067737018,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07945934909126878
4.0,17.333333333333332,69.0,17.0,8.0,4.0,0.0,0.0,8.0,4.0,8.0,8.0,9.0,17.0,6.0,0.0,2.7692307692307696,1.2115384615384617,5.884615384615385,1.3846153846153846,1.3846153846153846,2.769230769230769,2.0,0.26153846153846155,0.30434782608695654,0.5230769230769231,0.8274247491638796,0.24528301886792453,0.057971014492753624,0.11594202898550725,0.057971014492753624,0.4523809523809524,0.5476190476190477,0.8260869565217391,259.4225352112676,-2.1787853046988905,-0.27540000000000003,65.0,0.0,0.0,5.0,0.0,19.0,23.0,0.0,2.0,0.0,S11,149,PHI,False,PHI,4.032444176004471,17.333333333333332,65,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.47890244218049605
8.0,18.0,83.0,18.0,15.0,13.0,0.0,0.0,8.0,4.0,6.0,7.0,6.0,26.0,5.0,0.0,5.0,1.7222222222222223,6.0,1.3333333333333333,4.333333333333333,2.6666666666666665,0.6153846153846154,0.2647058823529412,0.37349397590361444,0.5882352941176471,0.9617292700212615,0.2413793103448276,0.04819277108433735,0.0963855421686747,0.1566265060240964,0.32608695652173914,0.6739130434782609,0.4838709677419355,222.64705882352942,3.9479580387629465,-0.4570999999999999,68.0,2.0,0.0,6.0,2.0,15.0,31.0,2.0,0.0,1.0,S11,166,SFG,False,SFG,5.429880073440369,19.666666666666668,85,5.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.4,-0.08081051877512971
5.0,8.333333333333334,43.0,13.0,10.0,7.0,0.0,0.0,5.0,4.0,6.0,2.0,0.0,6.0,10.0,0.0,7.199999999999999,2.4,9.36,2.88,5.04,3.5999999999999996,0.7142857142857143,0.37142857142857144,0.46511627906976744,0.8,1.2651162790697674,0.3333333333333333,0.09302325581395349,0.11627906976744186,0.16279069767441862,0.15789473684210525,0.8421052631578947,0.1875,209.38636363636363,2.494621503820559,-0.3040999999999999,35.0,1.0,0.0,3.0,0.0,3.0,16.0,0.0,1.0,0.0,S11,183,SDP,False,SDP,8.823213406773702,10.333333333333334,40,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.08679507496819935
7.0,28.0,127.0,35.0,26.0,11.0,0.0,1.0,26.0,13.0,15.0,14.0,15.0,12.0,14.0,0.0,5.571428571428571,1.6428571428571428,7.5,2.7857142857142856,2.357142857142857,5.571428571428571,2.3636363636363638,0.3017241379310345,0.36220472440944884,0.6982758620689655,1.0604805864784144,0.2857142857142857,0.10236220472440945,0.2047244094488189,0.08661417322834646,0.5517241379310345,0.4482758620689655,1.2307692307692308,239.828125,6.7257099210358415,-0.32440000000000013,116.0,0.0,0.0,7.0,0.0,32.0,26.0,2.0,0.0,1.0,S11,198,2TM,False,ATL,6.620356263916559,29.0,84,5.0,5.0,3.0,0.0,2.0,2.0,1.0,0.0,0.5,-0.1921356763463799
6.0,23.0,107.0,30.0,22.0,11.0,0.0,1.0,19.0,11.0,13.0,12.0,12.0,10.0,13.0,0.0,5.739130434782608,1.7826086956521738,7.826086956521739,2.8695652173913047,2.8695652173913047,4.956521739130435,1.7272727272727273,0.3125,0.38317757009345793,0.71875,1.1019275700934579,0.2878787878787879,0.102803738317757,0.17757009345794392,0.102803738317757,0.54,0.46,1.173913043478261,235.90740740740742,6.1312340892718735,-0.07170000000000007,96.0,0.0,0.0,6.0,0.0,27.0,23.0,2.0,0.0,1.0,S11,198,KCR,True,KCR,7.263213406773701,24.0,87,4.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,0.6666666666666666,-0.20834719801363732
1.0,5.0,20.0,5.0,4.0,0.0,0.0,0.0,7.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,4.8,1.0,6.0,2.4000000000000004,0.0,8.399999999999999,0.0,0.25,0.25,0.6,0.85,0.2727272727272727,0.1,0.35,0.0,0.625,0.375,1.6666666666666667,261.0,0.5944758317639671,-0.2527,20.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,S11,198,ATL,True,ATL,3.6632134067737017,5.0,72,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0162115216672575
10.0,12.666666666666666,55.0,15.0,10.0,6.0,0.0,0.0,6.0,2.0,7.0,7.0,12.0,5.0,4.0,0.0,4.736842105263158,1.6578947368421053,7.105263157894738,0.9473684210526316,2.8421052631578947,2.8421052631578947,1.0,0.3125,0.38181818181818183,0.5833333333333334,0.9651515151515152,0.3170731707317073,0.03636363636363636,0.10909090909090909,0.10909090909090909,0.71875,0.28125,2.5555555555555554,250.41071428571428,-0.4944184192713814,-0.3016000000000001,48.0,1.0,0.0,5.0,1.0,23.0,9.0,1.0,0.0,1.0,S11,219,CHC,False,CHC,3.7895291962473863,15.0,78,0.0,8.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.2575043802471872
8.0,25.333333333333332,115.0,34.0,25.0,10.0,0.0,0.0,9.0,4.0,14.0,10.0,15.0,29.0,8.0,0.0,5.921052631578948,1.736842105263158,8.052631578947368,0.9473684210526316,2.3684210526315788,2.1315789473684212,0.9,0.3333333333333333,0.3826086956521739,0.6666666666666666,1.0492753623188404,0.32608695652173914,0.034782608695652174,0.0782608695652174,0.08695652173913043,0.4393939393939394,0.5606060606060606,0.7837837837837838,230.14406779661016,11.39375869807964,-1.3928,102.0,3.0,0.0,10.0,6.0,29.0,37.0,2.0,1.0,0.6666666666666666,S11,249,CWS,False,CWS,3.7895291962473863,25.666666666666668,61,8.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.16666666666666666,-0.7043360169569524
